Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4183.8343   -4183.8343       0.0000     0.0
0.0005       -4183.8344   -4183.8404       0.0061     6.7
0.0010       -4183.8343   -4183.8556       0.0213    23.6
0.0015       -4183.8308   -4183.8820       0.0513    56.7
0.0020       -4183.8233   -4183.9191       0.0958   105.9
0.0025       -4183.8087   -4183.9654       0.1566   173.1
0.0030       -4183.8099   -4184.0169       0.2069   228.7
0.0035       -4183.8061   -4184.0687       0.2626   290.2
0.0040       -4183.7950   -4184.1173       0.3223   356.2
0.0045       -4183.7720   -4184.1617       0.3897   430.6
0.0050       -4183.7793   -4184.1972       0.4179   461.8
0.0055       -4183.7913   -4184.2196       0.4283   473.3
0.0060       -4183.8037   -4184.2316       0.4279   472.9
0.0065       -4183.8011   -4184.2346       0.4335   479.1
0.0070       -4183.8056   -4184.2292       0.4237   468.2
0.0075       -4183.8260   -4184.2172       0.3912   432.4
0.0080       -4183.8409   -4184.2023       0.3614   399.4
0.0085       -4183.8254   -4184.1843       0.3589   396.6
0.0090       -4183.8308   -4184.1633       0.3326   367.5
0.0095       -4183.8432   -4184.1420       0.2988   330.2
0.0100       -4183.8538   -4184.1196       0.2657   293.7
0.0105       -4183.8437   -4184.0978       0.2541   280.8
0.0110       -4183.8294   -4184.0753       0.2459   271.8
0.0115       -4183.8319   -4184.0538       0.2219   245.2
0.0120       -4183.8248   -4184.0341       0.2094   231.4
0.0125       -4183.8081   -4184.0171       0.2090   231.0
0.0130       -4183.7863   -4184.0005       0.2142   236.8
0.0135       -4183.7694   -4183.9855       0.2160   238.8
0.0140       -4183.7909   -4183.9720       0.1812   200.2
0.0145       -4183.7811   -4183.9600       0.1789   197.7
0.0150       -4183.8099   -4183.9506       0.1406   155.4
0.0155       -4183.8019   -4183.9418       0.1399   154.6
0.0160       -4183.7680   -4183.9317       0.1637   181.0
0.0165       -4183.7867   -4183.9214       0.1347   148.9
0.0170       -4183.7559   -4183.9120       0.1560   172.5
0.0175       -4183.7512   -4183.9024       0.1512   167.1
0.0180       -4183.7160   -4183.8953       0.1793   198.1
0.0185       -4183.7058   -4183.8887       0.1829   202.1
0.0190       -4183.6867   -4183.8836       0.1969   217.6
0.0195       -4183.6790   -4183.8836       0.2046   226.1
0.0200       -4183.6845   -4183.8892       0.2047   226.3
0.0205       -4183.6721   -4183.9002       0.2282   252.2
0.0210       -4183.6833   -4183.9156       0.2324   256.8
0.0215       -4183.6955   -4183.9322       0.2366   261.5
0.0220       -4183.6830   -4183.9500       0.2670   295.1
0.0225       -4183.6781   -4183.9702       0.2921   322.8
0.0230       -4183.6942   -4183.9952       0.3010   332.7
0.0235       -4183.6746   -4184.0260       0.3514   388.4
0.0240       -4183.6742   -4184.0606       0.3865   427.1
0.0245       -4183.6763   -4184.0960       0.4196   463.8
0.0250       -4183.6609   -4184.1278       0.4669   516.0
0.0255       -4183.6476   -4184.1528       0.5052   558.3
0.0260       -4183.6425   -4184.1689       0.5265   581.9
0.0265       -4183.6337   -4184.1721       0.5385   595.1
0.0270       -4183.6423   -4184.1621       0.5198   574.5
0.0275       -4183.6617   -4184.1418       0.4801   530.6
0.0280       -4183.6628   -4184.1149       0.4521   499.7
0.0285       -4183.6409   -4184.0809       0.4400   486.3
0.0290       -4183.6695   -4184.0422       0.3727   411.9
0.0295       -4183.6665   -4184.0052       0.3387   374.3
0.0300       -4183.6480   -4183.9737       0.3257   359.9
0.0305       -4183.6356   -4183.9513       0.3157   348.9
0.0310       -4183.6676   -4183.9359       0.2683   296.5
