Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4180.2083   -4180.2083       0.0000     0.0
0.0005       -4180.2001   -4180.2201       0.0200    22.1
0.0010       -4180.1906   -4180.2495       0.0590    65.2
0.0015       -4180.1895   -4180.2950       0.1055   116.6
0.0020       -4180.1950   -4180.3561       0.1611   178.1
0.0025       -4180.2076   -4180.4300       0.2224   245.8
0.0030       -4180.1844   -4180.5205       0.3361   371.4
0.0035       -4180.1745   -4180.6290       0.4545   502.3
0.0040       -4180.1988   -4180.7512       0.5524   610.5
0.0045       -4180.2242   -4180.8862       0.6620   731.7
0.0050       -4180.2091   -4181.0336       0.8245   911.2
0.0055       -4180.1672   -4181.1913       1.0242  1131.9
0.0060       -4180.1612   -4181.3553       1.1941  1319.7
0.0065       -4180.1890   -4181.5187       1.3298  1469.6
0.0070       -4180.2088   -4181.6801       1.4713  1626.0
0.0075       -4180.2201   -4181.8385       1.6184  1788.7
0.0080       -4180.2370   -4181.9881       1.7512  1935.4
0.0085       -4180.2822   -4182.1269       1.8448  2038.8
0.0090       -4180.3303   -4182.2554       1.9251  2127.6
0.0095       -4180.3127   -4182.3763       2.0636  2280.7
0.0100       -4180.3000   -4182.4897       2.1897  2420.1
0.0105       -4180.3538   -4182.5882       2.2344  2469.4
0.0110       -4180.3829   -4182.6670       2.2841  2524.3
0.0115       -4180.4516   -4182.7222       2.2706  2509.5
0.0120       -4180.4613   -4182.7553       2.2940  2535.3
0.0125       -4180.4381   -4182.7671       2.3290  2574.0
0.0130       -4180.4462   -4182.7625       2.3163  2560.0
0.0135       -4180.5148   -4182.7487       2.2339  2468.9
0.0140       -4180.5666   -4182.7283       2.1617  2389.1
0.0145       -4180.5455   -4182.7045       2.1590  2386.1
0.0150       -4180.5596   -4182.6784       2.1188  2341.7
0.0155       -4180.6452   -4182.6512       2.0060  2217.0
0.0160       -4180.6884   -4182.6224       1.9340  2137.4
0.0165       -4180.7208   -4182.5959       1.8752  2072.4
0.0170       -4180.7710   -4182.5640       1.7930  1981.6
0.0175       -4180.7822   -4182.5312       1.7491  1933.1
0.0180       -4180.7808   -4182.5015       1.7207  1901.7
0.0185       -4180.7638   -4182.4780       1.7142  1894.5
0.0190       -4180.7607   -4182.4641       1.7033  1882.5
0.0195       -4180.7585   -4182.4626       1.7041  1883.4
0.0200       -4180.7472   -4182.4759       1.7287  1910.5
0.0205       -4180.7879   -4182.4994       1.7114  1891.5
0.0210       -4180.7440   -4182.5343       1.7903  1978.6
0.0215       -4180.7470   -4182.5752       1.8281  2020.4
0.0220       -4180.7556   -4182.6188       1.8632  2059.2
0.0225       -4180.7939   -4182.6625       1.8686  2065.2
0.0230       -4180.7762   -4182.7114       1.9352  2138.7
0.0235       -4180.7904   -4182.7642       1.9738  2181.4
0.0240       -4180.7459   -4182.8162       2.0703  2288.1
0.0245       -4180.7865   -4182.8645       2.0780  2296.6
0.0250       -4180.7924   -4182.9088       2.1164  2339.0
0.0255       -4180.8317   -4182.9473       2.1156  2338.2
0.0260       -4180.9012   -4182.9855       2.0843  2303.6
0.0265       -4180.9935   -4183.0249       2.0314  2245.1
0.0270       -4180.9600   -4183.0625       2.1025  2323.7
0.0275       -4181.0363   -4183.0971       2.0608  2277.6
0.0280       -4181.0809   -4183.1256       2.0447  2259.7
0.0285       -4181.1225   -4183.1482       2.0257  2238.8
0.0290       -4181.0998   -4183.1653       2.0655  2282.7
0.0295       -4181.1345   -4183.1752       2.0407  2255.4
0.0300       -4181.1841   -4183.1746       1.9905  2199.9
0.0305       -4181.1635   -4183.1609       1.9973  2207.4
0.0310       -4181.1710   -4183.1343       1.9633  2169.8
0.0315       -4181.2857   -4183.0981       1.8124  2003.0
0.0320       -4181.3336   -4183.0533       1.7197  1900.6
0.0325       -4181.3557   -4183.0020       1.6462  1819.4
0.0330       -4181.3684   -4182.9415       1.5732  1738.7
0.0335       -4181.3957   -4182.8709       1.4752  1630.4
0.0340       -4181.3874   -4182.7909       1.4035  1551.1
0.0345       -4181.4364   -4182.7054       1.2690  1402.5
0.0350       -4181.4137   -4182.6191       1.2054  1332.2
0.0355       -4181.4234   -4182.5350       1.1116  1228.5
0.0360       -4181.3860   -4182.4552       1.0691  1181.6
0.0365       -4181.3944   -4182.3813       0.9868  1090.6
0.0370       -4181.4022   -4182.3213       0.9191  1015.8
0.0375       -4181.4698   -4182.2768       0.8070   891.9
0.0380       -4181.4639   -4182.2447       0.7809   863.0
0.0385       -4181.4371   -4182.2197       0.7826   864.9
0.0390       -4181.4114   -4182.1968       0.7853   868.0
0.0395       -4181.4105   -4182.1810       0.7704   851.5
0.0400       -4181.4314   -4182.1674       0.7360   813.4
0.0405       -4181.4193   -4182.1553       0.7361   813.5
0.0410       -4181.4238   -4182.1497       0.7260   802.3
0.0415       -4181.4037   -4182.1493       0.7456   824.1
0.0420       -4181.4050   -4182.1517       0.7466   825.2
0.0425       -4181.4143   -4182.1538       0.7395   817.3
0.0430       -4181.3973   -4182.1592       0.7620   842.1
0.0435       -4181.4252   -4182.1654       0.7403   818.1
0.0440       -4181.4583   -4182.1656       0.7073   781.7
0.0445       -4181.4629   -4182.1588       0.6959   769.1
0.0450       -4181.4675   -4182.1436       0.6761   747.2
0.0455       -4181.4664   -4182.1148       0.6484   716.6
0.0460       -4181.4818   -4182.0776       0.5958   658.5
0.0465       -4181.4895   -4182.0395       0.5501   607.9
0.0470       -4181.4879   -4182.0025       0.5147   568.8
0.0475       -4181.4638   -4181.9674       0.5036   556.6
0.0480       -4181.4503   -4181.9404       0.4901   541.7
0.0485       -4181.4693   -4181.9286       0.4593   507.6
0.0490       -4181.4474   -4181.9360       0.4886   540.0
0.0495       -4181.4239   -4181.9633       0.5394   596.1
0.0500       -4181.4146   -4182.0011       0.5866   648.3
