Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24726.2071  -24726.2071       0.0000     0.0
0.0005      -24726.1985  -24726.2091       0.0106     2.7
0.0010      -24726.1834  -24726.2158       0.0324     8.4
0.0015      -24726.1698  -24726.2271       0.0574    14.8
0.0020      -24726.1611  -24726.2423       0.0813    21.0
0.0025      -24726.1520  -24726.2614       0.1094    28.2
0.0030      -24726.1412  -24726.2837       0.1425    36.7
0.0035      -24726.1354  -24726.3062       0.1708    44.1
0.0040      -24726.1055  -24726.3309       0.2254    58.1
0.0045      -24726.1038  -24726.3581       0.2543    65.6
0.0050      -24726.1279  -24726.3866       0.2587    66.7
0.0055      -24726.1143  -24726.4154       0.3011    77.6
0.0060      -24726.1066  -24726.4425       0.3359    86.6
0.0065      -24726.1194  -24726.4658       0.3464    89.3
0.0070      -24726.1082  -24726.4864       0.3782    97.5
0.0075      -24726.0915  -24726.5046       0.4131   106.5
0.0080      -24726.0794  -24726.5195       0.4401   113.5
0.0085      -24726.0776  -24726.5323       0.4546   117.2
0.0090      -24726.0644  -24726.5433       0.4789   123.5
0.0095      -24726.0838  -24726.5505       0.4667   120.4
0.0100      -24726.0828  -24726.5548       0.4720   121.7
0.0105      -24726.0911  -24726.5592       0.4680   120.7
0.0110      -24726.0856  -24726.5622       0.4766   122.9
0.0115      -24726.0532  -24726.5650       0.5119   132.0
0.0120      -24726.0245  -24726.5639       0.5394   139.1
0.0125      -24726.0363  -24726.5561       0.5198   134.1
0.0130      -24726.0120  -24726.5436       0.5316   137.1
0.0135      -24726.0233  -24726.5285       0.5052   130.3
0.0140      -24726.0620  -24726.5137       0.4517   116.5
0.0145      -24726.0606  -24726.5002       0.4396   113.4
0.0150      -24726.0344  -24726.4885       0.4541   117.1
0.0155      -24726.0308  -24726.4795       0.4487   115.7
0.0160      -24726.0143  -24726.4727       0.4584   118.2
0.0165      -24726.0104  -24726.4669       0.4566   117.7
0.0170      -24726.0117  -24726.4642       0.4525   116.7
0.0175      -24725.9952  -24726.4640       0.4688   120.9
0.0180      -24725.9713  -24726.4658       0.4945   127.5
0.0185      -24725.9527  -24726.4682       0.5155   132.9
0.0190      -24725.9426  -24726.4724       0.5298   136.6
0.0195      -24725.9428  -24726.4780       0.5352   138.0
0.0200      -24725.9381  -24726.4846       0.5465   140.9
0.0205      -24725.9154  -24726.4936       0.5782   149.1
0.0210      -24725.8958  -24726.5049       0.6091   157.1
0.0215      -24725.9102  -24726.5208       0.6106   157.4
0.0220      -24725.9035  -24726.5392       0.6357   163.9
0.0225      -24725.9096  -24726.5559       0.6464   166.7
0.0230      -24725.9034  -24726.5730       0.6696   172.7
0.0235      -24725.9016  -24726.5877       0.6861   176.9
0.0240      -24725.9140  -24726.6031       0.6891   177.7
0.0245      -24725.9377  -24726.6157       0.6780   174.8
0.0250      -24725.9239  -24726.6269       0.7030   181.3
0.0255      -24725.9095  -24726.6360       0.7265   187.4
0.0260      -24725.8823  -24726.6456       0.7633   196.8
0.0265      -24725.8506  -24726.6531       0.8025   207.0
0.0270      -24725.8431  -24726.6589       0.8158   210.4
0.0275      -24725.8101  -24726.6607       0.8506   219.4
0.0280      -24725.7792  -24726.6586       0.8794   226.8
0.0285      -24725.7854  -24726.6533       0.8679   223.8
0.0290      -24725.7730  -24726.6466       0.8737   225.3
0.0295      -24725.7383  -24726.6396       0.9013   232.4
0.0300      -24725.7479  -24726.6371       0.8892   229.3
0.0305      -24725.7392  -24726.6376       0.8983   231.7
0.0310      -24725.7749  -24726.6393       0.8644   222.9
0.0315      -24725.7738  -24726.6407       0.8669   223.6
0.0320      -24725.7773  -24726.6418       0.8645   222.9
0.0325      -24725.7624  -24726.6430       0.8806   227.1
0.0330      -24725.7736  -24726.6402       0.8667   223.5
0.0335      -24725.7777  -24726.6315       0.8537   220.2
0.0340      -24725.7589  -24726.6181       0.8592   221.6
0.0345      -24725.7595  -24726.6084       0.8488   218.9
0.0350      -24725.7803  -24726.6091       0.8288   213.7
0.0355      -24725.7761  -24726.6266       0.8504   219.3
0.0360      -24725.7866  -24726.6572       0.8706   224.5
0.0365      -24725.7529  -24726.6984       0.9455   243.8
0.0370      -24725.7768  -24726.7455       0.9687   249.8
0.0375      -24725.8159  -24726.7914       0.9755   251.6
0.0380      -24725.8268  -24726.8286       1.0018   258.3
0.0385      -24725.7912  -24726.8535       1.0623   273.9
0.0390      -24725.7982  -24726.8629       1.0647   274.6
0.0395      -24725.7865  -24726.8602       1.0738   276.9
0.0400      -24725.7915  -24726.8485       1.0570   272.6
0.0405      -24725.7600  -24726.8322       1.0723   276.5
0.0410      -24725.7426  -24726.8185       1.0759   277.5
0.0415      -24725.7728  -24726.8041       1.0313   265.9
0.0420      -24725.7260  -24726.7927       1.0667   275.1
0.0425      -24725.7595  -24726.7860       1.0265   264.7
0.0430      -24725.7548  -24726.7810       1.0262   264.6
0.0435      -24725.7835  -24726.7772       0.9938   256.3
0.0440      -24725.7820  -24726.7735       0.9915   255.7
0.0445      -24725.7870  -24726.7616       0.9745   251.3
0.0450      -24725.7741  -24726.7401       0.9660   249.1
0.0455      -24725.7450  -24726.7092       0.9643   248.7
0.0460      -24725.7537  -24726.6723       0.9186   236.9
0.0465      -24725.7576  -24726.6352       0.8776   226.3
0.0470      -24725.7534  -24726.6085       0.8550   220.5
0.0475      -24725.7253  -24726.5963       0.8710   224.6
0.0480      -24725.7283  -24726.5979       0.8696   224.3
0.0485      -24725.7362  -24726.6123       0.8761   225.9
0.0490      -24725.7240  -24726.6330       0.9090   234.4
0.0495      -24725.7375  -24726.6539       0.9165   236.3
0.0500      -24725.7499  -24726.6645       0.9146   235.9
0.0505      -24725.7921  -24726.6672       0.8751   225.7
0.0510      -24725.8252  -24726.6677       0.8425   217.3
0.0515      -24725.8343  -24726.6685       0.8341   215.1
0.0520      -24725.8532  -24726.6692       0.8160   210.4
0.0525      -24725.8711  -24726.6718       0.8006   206.5
0.0530      -24725.8626  -24726.6738       0.8113   209.2
0.0535      -24725.8188  -24726.6776       0.8587   221.5
0.0540      -24725.8183  -24726.6822       0.8639   222.8
0.0545      -24725.7927  -24726.6843       0.8915   229.9
0.0550      -24725.7616  -24726.6822       0.9206   237.4
0.0555      -24725.7577  -24726.6759       0.9183   236.8
0.0560      -24725.7256  -24726.6691       0.9435   243.3
0.0565      -24725.7326  -24726.6586       0.9260   238.8
0.0570      -24725.7366  -24726.6450       0.9084   234.3
0.0575      -24725.7473  -24726.6318       0.8845   228.1
0.0580      -24725.7500  -24726.6220       0.8721   224.9
0.0585      -24725.7371  -24726.6205       0.8834   227.8
0.0590      -24725.7214  -24726.6263       0.9049   233.4
0.0595      -24725.7461  -24726.6334       0.8873   228.8
0.0600      -24725.7782  -24726.6398       0.8615   222.2
0.0605      -24725.7497  -24726.6458       0.8961   231.1
0.0610      -24725.7553  -24726.6530       0.8976   231.5
0.0615      -24725.7584  -24726.6637       0.9053   233.5
0.0620      -24725.7441  -24726.6803       0.9362   241.4
0.0625      -24725.7410  -24726.6951       0.9542   246.1
0.0630      -24725.7469  -24726.7032       0.9563   246.6
0.0635      -24725.7908  -24726.7010       0.9102   234.7
0.0640      -24725.7859  -24726.6867       0.9008   232.3
0.0645      -24725.7933  -24726.6620       0.8687   224.0
0.0650      -24725.7576  -24726.6295       0.8719   224.8
0.0655      -24725.7305  -24726.5959       0.8654   223.2
0.0660      -24725.7413  -24726.5661       0.8248   212.7
0.0665      -24725.7248  -24726.5465       0.8217   211.9
0.0670      -24725.7395  -24726.5352       0.7957   205.2
0.0675      -24725.6935  -24726.5292       0.8357   215.5
0.0680      -24725.6967  -24726.5236       0.8268   213.2
0.0685      -24725.7021  -24726.5166       0.8145   210.0
0.0690      -24725.6769  -24726.5132       0.8364   215.7
0.0695      -24725.6888  -24726.5116       0.8228   212.2
0.0700      -24725.7069  -24726.5088       0.8018   206.8
0.0705      -24725.7244  -24726.5035       0.7791   200.9
0.0710      -24725.7064  -24726.4926       0.7861   202.7
0.0715      -24725.7141  -24726.4804       0.7663   197.6
0.0720      -24725.7047  -24726.4717       0.7670   197.8
0.0725      -24725.7079  -24726.4684       0.7605   196.1
0.0730      -24725.7010  -24726.4707       0.7697   198.5
0.0735      -24725.7039  -24726.4832       0.7793   201.0
0.0740      -24725.6817  -24726.5046       0.8230   212.2
0.0745      -24725.6348  -24726.5294       0.8946   230.7
0.0750      -24725.6340  -24726.5505       0.9165   236.3
0.0755      -24725.6268  -24726.5625       0.9358   241.3
