Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.0128  -24729.0128       0.0000     0.0
0.0005      -24729.0015  -24729.0140       0.0125     3.2
0.0010      -24728.9901  -24729.0185       0.0284     7.3
0.0015      -24728.9766  -24729.0263       0.0497    12.8
0.0020      -24728.9611  -24729.0367       0.0756    19.5
0.0025      -24728.9485  -24729.0492       0.1007    26.0
0.0030      -24728.9348  -24729.0629       0.1281    33.0
0.0035      -24728.9319  -24729.0787       0.1468    37.9
0.0040      -24728.9088  -24729.0933       0.1845    47.6
0.0045      -24728.9063  -24729.1060       0.1997    51.5
0.0050      -24728.8828  -24729.1180       0.2352    60.7
0.0055      -24728.8708  -24729.1309       0.2601    67.1
0.0060      -24728.8507  -24729.1424       0.2918    75.2
0.0065      -24728.8361  -24729.1525       0.3165    81.6
0.0070      -24728.8409  -24729.1602       0.3193    82.3
0.0075      -24728.8312  -24729.1645       0.3333    86.0
0.0080      -24728.8093  -24729.1655       0.3562    91.9
0.0085      -24728.7977  -24729.1631       0.3654    94.2
0.0090      -24728.7992  -24729.1578       0.3586    92.5
0.0095      -24728.7944  -24729.1490       0.3546    91.4
0.0100      -24728.7726  -24729.1363       0.3637    93.8
0.0105      -24728.7695  -24729.1223       0.3527    91.0
0.0110      -24728.7687  -24729.1097       0.3410    87.9
0.0115      -24728.7503  -24729.0989       0.3486    89.9
0.0120      -24728.7487  -24729.0885       0.3398    87.6
0.0125      -24728.7500  -24729.0791       0.3290    84.8
0.0130      -24728.7457  -24729.0721       0.3264    84.2
0.0135      -24728.7324  -24729.0670       0.3346    86.3
0.0140      -24728.7222  -24729.0628       0.3405    87.8
0.0145      -24728.7205  -24729.0600       0.3395    87.5
0.0150      -24728.7211  -24729.0606       0.3395    87.6
0.0155      -24728.7076  -24729.0650       0.3574    92.2
0.0160      -24728.7376  -24729.0716       0.3340    86.1
0.0165      -24728.7290  -24729.0786       0.3496    90.1
0.0170      -24728.7004  -24729.0852       0.3849    99.2
0.0175      -24728.7042  -24729.0924       0.3882   100.1
0.0180      -24728.7172  -24729.0971       0.3799    98.0
0.0185      -24728.7149  -24729.1001       0.3852    99.3
0.0190      -24728.6836  -24729.1033       0.4197   108.2
0.0195      -24728.6948  -24729.1060       0.4112   106.0
0.0200      -24728.6738  -24729.1083       0.4345   112.0
0.0205      -24728.6417  -24729.1101       0.4684   120.8
0.0210      -24728.6347  -24729.1074       0.4727   121.9
0.0215      -24728.6472  -24729.0977       0.4506   116.2
0.0220      -24728.6488  -24729.0809       0.4321   111.4
0.0225      -24728.6561  -24729.0572       0.4011   103.4
0.0230      -24728.6457  -24729.0303       0.3846    99.2
0.0235      -24728.6328  -24729.0044       0.3717    95.8
0.0240      -24728.5983  -24728.9814       0.3831    98.8
0.0245      -24728.5809  -24728.9673       0.3864    99.6
0.0250      -24728.5708  -24728.9614       0.3905   100.7
0.0255      -24728.5346  -24728.9583       0.4238   109.3
0.0260      -24728.5289  -24728.9542       0.4253   109.7
0.0265      -24728.5456  -24728.9512       0.4056   104.6
0.0270      -24728.5328  -24728.9493       0.4165   107.4
0.0275      -24728.5148  -24728.9508       0.4360   112.4
0.0280      -24728.4977  -24728.9537       0.4560   117.6
0.0285      -24728.4978  -24728.9594       0.4617   119.1
0.0290      -24728.5176  -24728.9639       0.4463   115.1
0.0295      -24728.5192  -24728.9649       0.4457   114.9
0.0300      -24728.5306  -24728.9648       0.4342   112.0
0.0305      -24728.5337  -24728.9623       0.4285   110.5
0.0310      -24728.5709  -24728.9556       0.3846    99.2
0.0315      -24728.5524  -24728.9435       0.3911   100.9
0.0320      -24728.5293  -24728.9320       0.4027   103.8
0.0325      -24728.5591  -24728.9249       0.3658    94.3
0.0330      -24728.5687  -24728.9237       0.3550    91.5
0.0335      -24728.5503  -24728.9269       0.3766    97.1
0.0340      -24728.5433  -24728.9312       0.3879   100.0
0.0345      -24728.5190  -24728.9359       0.4169   107.5
