Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4183.6376   -4183.6376       0.0000     0.0
0.0005       -4183.6337   -4183.6432       0.0095    10.5
0.0010       -4183.6286   -4183.6623       0.0337    37.2
0.0015       -4183.6259   -4183.6941       0.0681    75.3
0.0020       -4183.6158   -4183.7333       0.1174   129.8
0.0025       -4183.6234   -4183.7777       0.1543   170.5
0.0030       -4183.6390   -4183.8251       0.1860   205.6
0.0035       -4183.6350   -4183.8736       0.2386   263.7
0.0040       -4183.6195   -4183.9216       0.3022   333.9
0.0045       -4183.6380   -4183.9659       0.3280   362.5
0.0050       -4183.6447   -4184.0033       0.3586   396.3
0.0055       -4183.6612   -4184.0314       0.3702   409.1
0.0060       -4183.6720   -4184.0496       0.3776   417.3
0.0065       -4183.6843   -4184.0584       0.3742   413.5
0.0070       -4183.6890   -4184.0600       0.3710   410.0
0.0075       -4183.6865   -4184.0553       0.3688   407.6
0.0080       -4183.6998   -4184.0472       0.3474   383.9
0.0085       -4183.6991   -4184.0396       0.3405   376.4
0.0090       -4183.6787   -4184.0343       0.3557   393.1
0.0095       -4183.6817   -4184.0294       0.3476   384.2
0.0100       -4183.6903   -4184.0235       0.3333   368.3
0.0105       -4183.6909   -4184.0156       0.3247   358.9
0.0110       -4183.6813   -4184.0075       0.3262   360.6
0.0115       -4183.6619   -4183.9998       0.3379   373.4
0.0120       -4183.6539   -4183.9931       0.3392   374.9
0.0125       -4183.6669   -4183.9862       0.3193   352.8
0.0130       -4183.6542   -4183.9803       0.3260   360.3
0.0135       -4183.6697   -4183.9751       0.3054   337.5
0.0140       -4183.6557   -4183.9708       0.3151   348.2
0.0145       -4183.6414   -4183.9672       0.3257   360.0
0.0150       -4183.6333   -4183.9619       0.3286   363.1
0.0155       -4183.6496   -4183.9537       0.3041   336.1
0.0160       -4183.6272   -4183.9421       0.3149   348.0
0.0165       -4183.6358   -4183.9282       0.2923   323.1
0.0170       -4183.6352   -4183.9140       0.2787   308.0
0.0175       -4183.6597   -4183.9012       0.2415   266.9
0.0180       -4183.6481   -4183.8932       0.2451   270.9
0.0185       -4183.6391   -4183.8890       0.2499   276.2
0.0190       -4183.6286   -4183.8857       0.2570   284.1
0.0195       -4183.6168   -4183.8823       0.2655   293.5
0.0200       -4183.6265   -4183.8767       0.2502   276.5
0.0205       -4183.6178   -4183.8724       0.2546   281.4
0.0210       -4183.6075   -4183.8727       0.2652   293.1
0.0215       -4183.6311   -4183.8761       0.2450   270.7
0.0220       -4183.6017   -4183.8813       0.2795   308.9
0.0225       -4183.5996   -4183.8869       0.2873   317.5
0.0230       -4183.5907   -4183.8939       0.3032   335.1
0.0235       -4183.5867   -4183.9053       0.3185   352.0
0.0240       -4183.5798   -4183.9193       0.3395   375.3
0.0245       -4183.5804   -4183.9357       0.3553   392.7
0.0250       -4183.6133   -4183.9533       0.3400   375.7
0.0255       -4183.6186   -4183.9717       0.3531   390.3
0.0260       -4183.6511   -4183.9919       0.3409   376.7
0.0265       -4183.6443   -4184.0136       0.3693   408.2
0.0270       -4183.6452   -4184.0360       0.3907   431.8
0.0275       -4183.6521   -4184.0567       0.4046   447.2
0.0280       -4183.6278   -4184.0725       0.4447   491.5
0.0285       -4183.6291   -4184.0835       0.4544   502.2
0.0290       -4183.6173   -4184.0877       0.4703   519.8
0.0295       -4183.6288   -4184.0842       0.4554   503.3
0.0300       -4183.6374   -4184.0742       0.4368   482.7
0.0305       -4183.6130   -4184.0615       0.4485   495.7
0.0310       -4183.5985   -4184.0491       0.4505   497.9
0.0315       -4183.6240   -4184.0376       0.4136   457.1
0.0320       -4183.6007   -4184.0274       0.4266   471.5
0.0325       -4183.6030   -4184.0236       0.4206   464.8
0.0330       -4183.5730   -4184.0235       0.4505   497.9
0.0335       -4183.5718   -4184.0250       0.4532   500.9
0.0340       -4183.5454   -4184.0261       0.4807   531.3
0.0345       -4183.5509   -4184.0257       0.4748   524.7
0.0350       -4183.6081   -4184.0218       0.4138   457.3
0.0355       -4183.5783   -4184.0164       0.4381   484.2
0.0360       -4183.6067   -4184.0128       0.4061   448.8
0.0365       -4183.6086   -4184.0129       0.4042   446.7
0.0370       -4183.5852   -4184.0193       0.4341   479.8
0.0375       -4183.5946   -4184.0277       0.4332   478.7
0.0380       -4183.5864   -4184.0360       0.4496   496.9
0.0385       -4183.5727   -4184.0405       0.4678   517.1
0.0390       -4183.5684   -4184.0367       0.4683   517.5
0.0395       -4183.5725   -4184.0254       0.4529   500.6
0.0400       -4183.5548   -4184.0070       0.4523   499.9
0.0405       -4183.5556   -4183.9802       0.4246   469.2
0.0410       -4183.5442   -4183.9480       0.4038   446.2
0.0415       -4183.5543   -4183.9132       0.3589   396.7
0.0420       -4183.5342   -4183.8800       0.3459   382.2
0.0425       -4183.5293   -4183.8533       0.3239   358.0
0.0430       -4183.5478   -4183.8353       0.2874   317.7
0.0435       -4183.5670   -4183.8267       0.2597   287.0
0.0440       -4183.5857   -4183.8252       0.2395   264.7
0.0445       -4183.6037   -4183.8294       0.2257   249.5
0.0450       -4183.5966   -4183.8346       0.2381   263.1
0.0455       -4183.5959   -4183.8389       0.2431   268.6
0.0460       -4183.6000   -4183.8401       0.2400   265.3
0.0465       -4183.5899   -4183.8410       0.2512   277.6
0.0470       -4183.5811   -4183.8440       0.2629   290.5
0.0475       -4183.5707   -4183.8468       0.2761   305.1
0.0480       -4183.5934   -4183.8544       0.2610   288.5
0.0485       -4183.5908   -4183.8684       0.2775   306.7
0.0490       -4183.5947   -4183.8866       0.2919   322.6
0.0495       -4183.5763   -4183.9083       0.3321   367.0
0.0500       -4183.5496   -4183.9311       0.3815   421.6
0.0505       -4183.5349   -4183.9527       0.4177   461.7
0.0510       -4183.5212   -4183.9705       0.4493   496.6
0.0515       -4183.5215   -4183.9879       0.4664   515.5
0.0520       -4183.5254   -4183.9994       0.4740   523.9
0.0525       -4183.5243   -4183.9994       0.4751   525.1
0.0530       -4183.5285   -4183.9923       0.4638   512.6
0.0535       -4183.5105   -4183.9787       0.4682   517.4
0.0540       -4183.5309   -4183.9641       0.4332   478.8
0.0545       -4183.5377   -4183.9501       0.4125   455.9
0.0550       -4183.5194   -4183.9388       0.4194   463.5
0.0555       -4183.5152   -4183.9364       0.4211   465.4
0.0560       -4183.5013   -4183.9406       0.4393   485.5
0.0565       -4183.4910   -4183.9472       0.4562   504.1
0.0570       -4183.4699   -4183.9504       0.4805   531.0
0.0575       -4183.4927   -4183.9468       0.4541   501.9
0.0580       -4183.4748   -4183.9350       0.4602   508.6
0.0585       -4183.5009   -4183.9197       0.4188   462.8
0.0590       -4183.4965   -4183.9032       0.4068   449.5
0.0595       -4183.5272   -4183.8875       0.3603   398.2
0.0600       -4183.5035   -4183.8766       0.3731   412.4
0.0605       -4183.4966   -4183.8719       0.3753   414.7
0.0610       -4183.5224   -4183.8706       0.3482   384.8
0.0615       -4183.5114   -4183.8739       0.3625   400.6
0.0620       -4183.5120   -4183.8759       0.3640   402.3
0.0625       -4183.5169   -4183.8723       0.3554   392.8
0.0630       -4183.5247   -4183.8616       0.3369   372.3
0.0635       -4183.5085   -4183.8448       0.3363   371.6
0.0640       -4183.4991   -4183.8229       0.3239   357.9
0.0645       -4183.5078   -4183.8003       0.2925   323.3
0.0650       -4183.5195   -4183.7859       0.2663   294.3
0.0655       -4183.5179   -4183.7835       0.2655   293.5
0.0660       -4183.5025   -4183.7960       0.2934   324.3
0.0665       -4183.4874   -4183.8216       0.3342   369.4
0.0670       -4183.4727   -4183.8620       0.3894   430.3
0.0675       -4183.4635   -4183.9117       0.4482   495.3
0.0680       -4183.4719   -4183.9643       0.4924   544.2
0.0685       -4183.4600   -4184.0090       0.5490   606.7
0.0690       -4183.4519   -4184.0371       0.5852   646.8
0.0695       -4183.4186   -4184.0481       0.6295   695.7
0.0700       -4183.4616   -4184.0466       0.5849   646.5
0.0705       -4183.4630   -4184.0439       0.5808   641.9
0.0710       -4183.4737   -4184.0518       0.5781   638.9
0.0715       -4183.4808   -4184.0810       0.6002   663.3
0.0720       -4183.4484   -4184.1250       0.6766   747.8
0.0725       -4183.4419   -4184.1610       0.7191   794.8
0.0730       -4183.4213   -4184.1790       0.7577   837.4
0.0735       -4183.4447   -4184.1775       0.7329   809.9
0.0740       -4183.4353   -4184.1547       0.7194   795.0
0.0745       -4183.4090   -4184.1108       0.7017   775.6
0.0750       -4183.3997   -4184.0523       0.6526   721.3
0.0755       -4183.4406   -4183.9893       0.5488   606.5
0.0760       -4183.4631   -4183.9316       0.4685   517.7
0.0765       -4183.4480   -4183.8789       0.4309   476.2
0.0770       -4183.4640   -4183.8394       0.3754   414.9
0.0775       -4183.4569   -4183.8164       0.3595   397.3
0.0780       -4183.4568   -4183.8081       0.3512   388.2
0.0785       -4183.4708   -4183.8128       0.3420   378.0
0.0790       -4183.4664   -4183.8266       0.3602   398.1
0.0795       -4183.4507   -4183.8472       0.3965   438.3
0.0800       -4183.4404   -4183.8652       0.4248   469.4
0.0805       -4183.4357   -4183.8707       0.4350   480.8
0.0810       -4183.4327   -4183.8619       0.4291   474.3
0.0815       -4183.4360   -4183.8466       0.4106   453.8
0.0820       -4183.4387   -4183.8385       0.3998   441.8
0.0825       -4183.4484   -4183.8516       0.4032   445.6
0.0830       -4183.4614   -4183.8841       0.4227   467.2
0.0835       -4183.4785   -4183.9237       0.4453   492.1
0.0840       -4183.4716   -4183.9616       0.4900   541.5
0.0845       -4183.4616   -4183.9902       0.5286   584.3
0.0850       -4183.4485   -4184.0058       0.5573   615.9
0.0855       -4183.4635   -4184.0081       0.5446   601.9
0.0860       -4183.4569   -4184.0021       0.5452   602.5
0.0865       -4183.4584   -4183.9916       0.5332   589.3
0.0870       -4183.4563   -4183.9765       0.5202   574.9
0.0875       -4183.4269   -4183.9593       0.5324   588.4
0.0880       -4183.4455   -4183.9457       0.5002   552.9
0.0885       -4183.4429   -4183.9376       0.4946   546.7
0.0890       -4183.4510   -4183.9359       0.4850   536.0
0.0895       -4183.4713   -4183.9457       0.4743   524.2
0.0900       -4183.5044   -4183.9639       0.4595   507.8
0.0905       -4183.4960   -4183.9806       0.4846   535.6
0.0910       -4183.5060   -4183.9902       0.4842   535.2
0.0915       -4183.5099   -4183.9857       0.4758   525.8
0.0920       -4183.5209   -4183.9650       0.4441   490.8
0.0925       -4183.5215   -4183.9330       0.4115   454.8
0.0930       -4183.5486   -4183.8978       0.3492   385.9
0.0935       -4183.5256   -4183.8744       0.3489   385.6
0.0940       -4183.5236   -4183.8679       0.3442   380.4
0.0945       -4183.5585   -4183.8739       0.3154   348.6
0.0950       -4183.5478   -4183.8930       0.3452   381.5
0.0955       -4183.5435   -4183.9149       0.3714   410.5
0.0960       -4183.5275   -4183.9359       0.4084   451.4
0.0965       -4183.5076   -4183.9497       0.4421   488.6
0.0970       -4183.4946   -4183.9530       0.4584   506.6
0.0975       -4183.4600   -4183.9455       0.4855   536.5
0.0980       -4183.4528   -4183.9277       0.4749   524.8
0.0985       -4183.4336   -4183.9033       0.4697   519.2
0.0990       -4183.4715   -4183.8820       0.4104   453.6
0.0995       -4183.4499   -4183.8713       0.4213   465.7
0.1000       -4183.4364   -4183.8726       0.4362   482.1
0.1005       -4183.4329   -4183.8853       0.4524   500.0
0.1010       -4183.4376   -4183.9121       0.4745   524.4
0.1015       -4183.4125   -4183.9432       0.5307   586.6
0.1020       -4183.4100   -4183.9682       0.5582   616.9
0.1025       -4183.4095   -4183.9842       0.5747   635.2
0.1030       -4183.4013   -4183.9931       0.5918   654.0
0.1035       -4183.3623   -4184.0025       0.6402   707.6
0.1040       -4183.3324   -4184.0134       0.6810   752.6
0.1045       -4183.3771   -4184.0273       0.6502   718.5
0.1050       -4183.3559   -4184.0482       0.6923   765.2
0.1055       -4183.3459   -4184.0750       0.7290   805.7
0.1060       -4183.3717   -4184.0990       0.7273   803.8
0.1065       -4183.3908   -4184.1144       0.7236   799.8
0.1070       -4183.3893   -4184.1185       0.7292   805.9
0.1075       -4183.4139   -4184.1098       0.6959   769.1
0.1080       -4183.4434   -4184.0884       0.6450   712.8
0.1085       -4183.4200   -4184.0621       0.6420   709.6
0.1090       -4183.3999   -4184.0340       0.6341   700.8
0.1095       -4183.4048   -4184.0063       0.6015   664.7
0.1100       -4183.4161   -4183.9792       0.5631   622.3
0.1105       -4183.4445   -4183.9559       0.5115   565.3
0.1110       -4183.4341   -4183.9374       0.5033   556.2
0.1115       -4183.4462   -4183.9238       0.4776   527.8
0.1120       -4183.4193   -4183.9138       0.4945   546.5
0.1125       -4183.4102   -4183.9089       0.4986   551.1
0.1130       -4183.3858   -4183.9104       0.5246   579.8
0.1135       -4183.3759   -4183.9087       0.5327   588.8
0.1140       -4183.3964   -4183.9017       0.5053   558.4
0.1145       -4183.4065   -4183.8945       0.4880   539.4
0.1150       -4183.4271   -4183.8938       0.4667   515.8
0.1155       -4183.4200   -4183.9088       0.4888   540.2
0.1160       -4183.4288   -4183.9490       0.5202   574.9
0.1165       -4183.4340   -4184.0042       0.5701   630.1
0.1170       -4183.4421   -4184.0587       0.6166   681.5
0.1175       -4183.4558   -4184.1027       0.6468   714.9
0.1180       -4183.4828   -4184.1219       0.6391   706.3
0.1185       -4183.4929   -4184.1160       0.6231   688.6
0.1190       -4183.4544   -4184.0969       0.6426   710.1
0.1195       -4183.4100   -4184.0753       0.6653   735.3
0.1200       -4183.4325   -4184.0563       0.6238   689.4
0.1205       -4183.4423   -4184.0423       0.6000   663.2
0.1210       -4183.4096   -4184.0279       0.6183   683.4
0.1215       -4183.4246   -4184.0087       0.5841   645.5
0.1220       -4183.4140   -4183.9898       0.5758   636.4
0.1225       -4183.4041   -4183.9704       0.5663   625.9
0.1230       -4183.3689   -4183.9476       0.5788   639.7
0.1235       -4183.3793   -4183.9239       0.5446   601.9
0.1240       -4183.3931   -4183.8950       0.5019   554.7
0.1245       -4183.3941   -4183.8573       0.4632   511.9
0.1250       -4183.3952   -4183.8152       0.4200   464.1
0.1255       -4183.3829   -4183.7735       0.3906   431.6
0.1260       -4183.3851   -4183.7363       0.3512   388.1
0.1265       -4183.3956   -4183.7080       0.3125   345.3
0.1270       -4183.4074   -4183.6963       0.2888   319.2
0.1275       -4183.3948   -4183.7091       0.3143   347.3
0.1280       -4183.4062   -4183.7419       0.3358   371.1
0.1285       -4183.3988   -4183.7797       0.3810   421.0
0.1290       -4183.4044   -4183.8130       0.4086   451.6
0.1295       -4183.3984   -4183.8364       0.4380   484.1
0.1300       -4183.3767   -4183.8486       0.4719   521.5
0.1305       -4183.3767   -4183.8491       0.4724   522.1
0.1310       -4183.3660   -4183.8425       0.4765   526.6
0.1315       -4183.3704   -4183.8381       0.4677   516.9
0.1320       -4183.3465   -4183.8406       0.4941   546.0
0.1325       -4183.3524   -4183.8475       0.4950   547.1
0.1330       -4183.3712   -4183.8635       0.4923   544.1
0.1335       -4183.3737   -4183.8872       0.5135   567.5
0.1340       -4183.3524   -4183.9155       0.5631   622.4
0.1345       -4183.3426   -4183.9435       0.6008   664.0
0.1350       -4183.3257   -4183.9596       0.6339   700.6
0.1355       -4183.3181   -4183.9565       0.6384   705.6
0.1360       -4183.2949   -4183.9318       0.6369   703.9
0.1365       -4183.2747   -4183.8887       0.6140   678.6
0.1370       -4183.2570   -4183.8361       0.5791   640.0
0.1375       -4183.2637   -4183.7899       0.5262   581.5
0.1380       -4183.2677   -4183.7610       0.4933   545.2
0.1385       -4183.2747   -4183.7551       0.4803   530.9
0.1390       -4183.2563   -4183.7662       0.5100   563.6
0.1395       -4183.2667   -4183.7697       0.5030   555.9
0.1400       -4183.2884   -4183.7579       0.4695   518.9
0.1405       -4183.3209   -4183.7354       0.4145   458.1
0.1410       -4183.3237   -4183.7117       0.3880   428.8
0.1415       -4183.3198   -4183.6927       0.3729   412.1
0.1420       -4183.3370   -4183.6795       0.3425   378.6
0.1425       -4183.3398   -4183.6745       0.3348   370.0
0.1430       -4183.3437   -4183.6765       0.3328   367.8
0.1435       -4183.3564   -4183.6864       0.3301   364.8
0.1440       -4183.3735   -4183.7061       0.3325   367.5
0.1445       -4183.4028   -4183.7386       0.3358   371.1
0.1450       -4183.4024   -4183.7855       0.3831   423.4
0.1455       -4183.4113   -4183.8397       0.4284   473.4
0.1460       -4183.4322   -4183.8895       0.4573   505.4
0.1465       -4183.4267   -4183.9252       0.4985   551.0
0.1470       -4183.4435   -4183.9414       0.4979   550.3
0.1475       -4183.4494   -4183.9396       0.4902   541.8
0.1480       -4183.4358   -4183.9342       0.4984   550.9
0.1485       -4183.4461   -4183.9343       0.4881   539.5
0.1490       -4183.4418   -4183.9529       0.5112   564.9
0.1495       -4183.4613   -4183.9887       0.5274   582.8
0.1500       -4183.4129   -4184.0245       0.6116   676.0
0.1505       -4183.4176   -4184.0515       0.6339   700.6
0.1510       -4183.4270   -4184.0660       0.6390   706.2
0.1515       -4183.4164   -4184.0691       0.6527   721.3
0.1520       -4183.4318   -4184.0606       0.6287   694.9
0.1525       -4183.4171   -4184.0406       0.6235   689.1
0.1530       -4183.3968   -4184.0147       0.6179   682.9
0.1535       -4183.4209   -4183.9834       0.5624   621.6
0.1540       -4183.4469   -4183.9475       0.5006   553.3
0.1545       -4183.4047   -4183.9085       0.5038   556.8
0.1550       -4183.3879   -4183.8778       0.4899   541.5
0.1555       -4183.3901   -4183.8686       0.4785   528.9
0.1560       -4183.3870   -4183.8844       0.4974   549.7
0.1565       -4183.4067   -4183.9218       0.5151   569.3
0.1570       -4183.3766   -4183.9663       0.5897   651.8
0.1575       -4183.3744   -4183.9967       0.6223   687.8
0.1580       -4183.3529   -4183.9926       0.6397   707.0
0.1585       -4183.3591   -4183.9474       0.5882   650.1
0.1590       -4183.3562   -4183.8723       0.5160   570.3
0.1595       -4183.3746   -4183.7956       0.4210   465.3
0.1600       -4183.3739   -4183.7393       0.3653   403.8
0.1605       -4183.3610   -4183.7215       0.3605   398.4
0.1610       -4183.3561   -4183.7493       0.3933   434.7
0.1615       -4183.3676   -4183.8080       0.4403   486.6
0.1620       -4183.3829   -4183.8703       0.4874   538.7
0.1625       -4183.3971   -4183.9177       0.5206   575.3
0.1630       -4183.3911   -4183.9431       0.5520   610.1
0.1635       -4183.3968   -4183.9471       0.5503   608.2
0.1640       -4183.4204   -4183.9298       0.5094   563.0
0.1645       -4183.4131   -4183.8984       0.4852   536.3
0.1650       -4183.3976   -4183.8662       0.4686   517.9
0.1655       -4183.4233   -4183.8407       0.4174   461.3
0.1660       -4183.4448   -4183.8271       0.3823   422.5
0.1665       -4183.4470   -4183.8320       0.3850   425.5
0.1670       -4183.4360   -4183.8563       0.4203   464.5
0.1675       -4183.4027   -4183.8958       0.4931   545.0
0.1680       -4183.3858   -4183.9415       0.5556   614.1
0.1685       -4183.3841   -4183.9837       0.5996   662.7
0.1690       -4183.4076   -4184.0086       0.6010   664.2
0.1695       -4183.4412   -4184.0072       0.5660   625.5
0.1700       -4183.4699   -4183.9761       0.5062   559.5
0.1705       -4183.4352   -4183.9227       0.4875   538.8
0.1710       -4183.4584   -4183.8633       0.4049   447.5
0.1715       -4183.4324   -4183.8200       0.3876   428.4
0.1720       -4183.4305   -4183.8022       0.3717   410.8
0.1725       -4183.4517   -4183.8062       0.3545   391.8
0.1730       -4183.4668   -4183.8163       0.3495   386.3
0.1735       -4183.4682   -4183.8226       0.3544   391.6
0.1740       -4183.4743   -4183.8125       0.3382   373.8
0.1745       -4183.4640   -4183.7854       0.3214   355.2
0.1750       -4183.4776   -4183.7439       0.2663   294.4
