Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1217  -24729.1217       0.0000     0.0
0.0005      -24729.1078  -24729.1362       0.0284     7.3
0.0010      -24729.0968  -24729.1737       0.0769    19.8
0.0015      -24729.0915  -24729.2252       0.1337    34.5
0.0020      -24729.0934  -24729.2673       0.1739    44.9
0.0025      -24729.0893  -24729.2771       0.1879    48.4
0.0030      -24729.0883  -24729.2462       0.1579    40.7
0.0035      -24729.0777  -24729.1958       0.1181    30.5
0.0040      -24729.0631  -24729.1558       0.0927    23.9
0.0045      -24729.0579  -24729.1488       0.0909    23.4
0.0050      -24729.0380  -24729.1703       0.1324    34.1
0.0055      -24729.0226  -24729.2075       0.1849    47.7
0.0060      -24729.0081  -24729.2424       0.2343    60.4
0.0065      -24728.9931  -24729.2591       0.2660    68.6
0.0070      -24728.9711  -24729.2460       0.2749    70.9
0.0075      -24728.9513  -24729.2082       0.2569    66.2
0.0080      -24728.9345  -24729.1632       0.2287    59.0
0.0085      -24728.9335  -24729.1311       0.1977    51.0
0.0090      -24728.9206  -24729.1164       0.1958    50.5
0.0095      -24728.8992  -24729.1194       0.2202    56.8
0.0100      -24728.9060  -24729.1360       0.2300    59.3
0.0105      -24728.8963  -24729.1557       0.2594    66.9
0.0110      -24728.8734  -24729.1653       0.2919    75.3
0.0115      -24728.8511  -24729.1583       0.3072    79.2
0.0120      -24728.8597  -24729.1360       0.2763    71.3
0.0125      -24728.8352  -24729.1047       0.2695    69.5
0.0130      -24728.8187  -24729.0717       0.2529    65.2
0.0135      -24728.8123  -24729.0487       0.2364    60.9
0.0140      -24728.8071  -24729.0427       0.2356    60.8
0.0145      -24728.8031  -24729.0524       0.2493    64.3
0.0150      -24728.7931  -24729.0728       0.2797    72.1
0.0155      -24728.7727  -24729.0973       0.3247    83.7
0.0160      -24728.7514  -24729.1161       0.3647    94.1
0.0165      -24728.7562  -24729.1196       0.3634    93.7
0.0170      -24728.7536  -24729.1084       0.3548    91.5
0.0175      -24728.7676  -24729.0851       0.3175    81.9
0.0180      -24728.7516  -24729.0552       0.3036    78.3
0.0185      -24728.7493  -24729.0297       0.2805    72.3
0.0190      -24728.7306  -24729.0218       0.2912    75.1
0.0195      -24728.7190  -24729.0311       0.3121    80.5
0.0200      -24728.7048  -24729.0562       0.3513    90.6
0.0205      -24728.7096  -24729.0895       0.3798    97.9
0.0210      -24728.7049  -24729.1146       0.4097   105.6
0.0215      -24728.6949  -24729.1234       0.4285   110.5
0.0220      -24728.7026  -24729.1115       0.4089   105.4
0.0225      -24728.6985  -24729.0789       0.3804    98.1
0.0230      -24728.6891  -24729.0350       0.3459    89.2
0.0235      -24728.6972  -24728.9954       0.2981    76.9
0.0240      -24728.7089  -24728.9781       0.2691    69.4
0.0245      -24728.7141  -24728.9855       0.2714    70.0
0.0250      -24728.6998  -24729.0163       0.3165    81.6
0.0255      -24728.7000  -24729.0586       0.3586    92.5
0.0260      -24728.7133  -24729.0929       0.3795    97.9
0.0265      -24728.7317  -24729.1050       0.3733    96.3
0.0270      -24728.7257  -24729.0929       0.3672    94.7
0.0275      -24728.7395  -24729.0608       0.3213    82.9
0.0280      -24728.7376  -24729.0238       0.2861    73.8
0.0285      -24728.7349  -24728.9957       0.2609    67.3
0.0290      -24728.7293  -24728.9817       0.2524    65.1
0.0295      -24728.7279  -24728.9829       0.2551    65.8
0.0300      -24728.7171  -24728.9968       0.2797    72.1
0.0305      -24728.6761  -24729.0149       0.3389    87.4
0.0310      -24728.6869  -24729.0277       0.3407    87.9
0.0315      -24728.6881  -24729.0319       0.3438    88.7
0.0320      -24728.6951  -24729.0268       0.3317    85.5
0.0325      -24728.7057  -24729.0175       0.3118    80.4
0.0330      -24728.6880  -24729.0059       0.3179    82.0
0.0335      -24728.6855  -24728.9965       0.3110    80.2
0.0340      -24728.6686  -24728.9933       0.3247    83.7
0.0345      -24728.6490  -24728.9934       0.3444    88.8
0.0350      -24728.6444  -24728.9961       0.3517    90.7
0.0355      -24728.6414  -24728.9994       0.3580    92.3
0.0360      -24728.6563  -24729.0034       0.3471    89.5
0.0365      -24728.6366  -24729.0069       0.3703    95.5
0.0370      -24728.6558  -24729.0078       0.3521    90.8
0.0375      -24728.6640  -24729.0073       0.3434    88.5
0.0380      -24728.6534  -24729.0087       0.3553    91.6
0.0385      -24728.6354  -24729.0093       0.3738    96.4
0.0390      -24728.6141  -24729.0083       0.3942   101.6
0.0395      -24728.6107  -24729.0100       0.3993   103.0
0.0400      -24728.5924  -24729.0096       0.4171   107.6
0.0405      -24728.6243  -24729.0072       0.3829    98.7
0.0410      -24728.6502  -24729.0044       0.3542    91.3
0.0415      -24728.6400  -24728.9988       0.3588    92.5
0.0420      -24728.6297  -24728.9874       0.3577    92.2
0.0425      -24728.6319  -24728.9791       0.3472    89.5
0.0430      -24728.6427  -24728.9756       0.3329    85.8
0.0435      -24728.6321  -24728.9789       0.3468    89.4
0.0440      -24728.6199  -24728.9869       0.3670    94.6
0.0445      -24728.6175  -24728.9967       0.3792    97.8
0.0450      -24728.5980  -24729.0044       0.4064   104.8
0.0455      -24728.5596  -24729.0095       0.4499   116.0
0.0460      -24728.5229  -24729.0063       0.4834   124.7
0.0465      -24728.5183  -24728.9918       0.4735   122.1
0.0470      -24728.4832  -24728.9646       0.4814   124.1
0.0475      -24728.4698  -24728.9295       0.4597   118.5
0.0480      -24728.4724  -24728.8994       0.4270   110.1
0.0485      -24728.4554  -24728.8834       0.4280   110.4
0.0490      -24728.4341  -24728.8921       0.4580   118.1
0.0495      -24728.3994  -24728.9199       0.5205   134.2
0.0500      -24728.3759  -24728.9554       0.5794   149.4
0.0505      -24728.3696  -24728.9803       0.6107   157.5
0.0510      -24728.3446  -24728.9795       0.6350   163.7
0.0515      -24728.3169  -24728.9494       0.6325   163.1
0.0520      -24728.2820  -24728.8986       0.6165   159.0
0.0525      -24728.2980  -24728.8502       0.5521   142.4
0.0530      -24728.2823  -24728.8226       0.5403   139.3
0.0535      -24728.2712  -24728.8248       0.5536   142.8
0.0540      -24728.2289  -24728.8535       0.6247   161.1
0.0545      -24728.2136  -24728.8943       0.6807   175.5
0.0550      -24728.2617  -24728.9236       0.6619   170.7
0.0555      -24728.2451  -24728.9308       0.6857   176.8
0.0560      -24728.2461  -24728.9203       0.6742   173.9
0.0565      -24728.2935  -24728.9030       0.6095   157.2
0.0570      -24728.3122  -24728.8887       0.5765   148.7
0.0575      -24728.2877  -24728.8834       0.5957   153.6
0.0580      -24728.2815  -24728.8832       0.6018   155.2
0.0585      -24728.2769  -24728.8849       0.6081   156.8
0.0590      -24728.2603  -24728.8806       0.6203   160.0
0.0595      -24728.2581  -24728.8687       0.6106   157.5
0.0600      -24728.2444  -24728.8505       0.6062   156.3
0.0605      -24728.2306  -24728.8345       0.6040   155.7
0.0610      -24728.2297  -24728.8288       0.5991   154.5
0.0615      -24728.2115  -24728.8302       0.6187   159.5
0.0620      -24728.1619  -24728.8358       0.6738   173.8
0.0625      -24728.1488  -24728.8418       0.6930   178.7
0.0630      -24728.1443  -24728.8413       0.6971   179.8
0.0635      -24728.1333  -24728.8311       0.6977   179.9
0.0640      -24728.1184  -24728.8137       0.6953   179.3
0.0645      -24728.1393  -24728.7968       0.6575   169.6
0.0650      -24728.1479  -24728.7871       0.6392   164.8
0.0655      -24728.1419  -24728.7870       0.6451   166.4
0.0660      -24728.1032  -24728.7992       0.6960   179.5
0.0665      -24728.1161  -24728.8173       0.7013   180.8
0.0670      -24728.1220  -24728.8325       0.7105   183.2
0.0675      -24728.1080  -24728.8367       0.7287   187.9
0.0680      -24728.0837  -24728.8295       0.7458   192.3
0.0685      -24728.0672  -24728.8166       0.7494   193.3
0.0690      -24728.0371  -24728.8055       0.7684   198.2
0.0695      -24728.0309  -24728.7954       0.7646   197.2
0.0700      -24728.0012  -24728.7884       0.7872   203.0
0.0705      -24727.9842  -24728.7766       0.7924   204.3
0.0710      -24727.9738  -24728.7623       0.7884   203.3
0.0715      -24727.9693  -24728.7500       0.7808   201.3
0.0720      -24727.9592  -24728.7476       0.7884   203.3
0.0725      -24727.9631  -24728.7529       0.7898   203.7
0.0730      -24727.9689  -24728.7564       0.7875   203.1
0.0735      -24727.9811  -24728.7489       0.7678   198.0
0.0740      -24727.9531  -24728.7229       0.7698   198.5
0.0745      -24727.9591  -24728.6846       0.7255   187.1
0.0750      -24727.9457  -24728.6427       0.6970   179.7
0.0755      -24727.9428  -24728.6163       0.6735   173.7
0.0760      -24727.9339  -24728.6046       0.6707   172.9
0.0765      -24727.9525  -24728.5947       0.6422   165.6
0.0770      -24727.9467  -24728.5837       0.6370   164.3
0.0775      -24727.9449  -24728.5735       0.6286   162.1
0.0780      -24727.9480  -24728.5665       0.6185   159.5
