Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1037  -24729.1037       0.0000     0.0
0.0005      -24729.0956  -24729.1158       0.0202     5.2
0.0010      -24729.0911  -24729.1490       0.0579    14.9
0.0015      -24729.0626  -24729.1993       0.1367    35.2
0.0020      -24729.0630  -24729.2560       0.1930    49.8
0.0025      -24729.0595  -24729.2995       0.2400    61.9
0.0030      -24729.0588  -24729.3136       0.2548    65.7
0.0035      -24729.0577  -24729.2963       0.2386    61.5
0.0040      -24729.0569  -24729.2578       0.2010    51.8
0.0045      -24729.0314  -24729.2094       0.1781    45.9
0.0050      -24729.0272  -24729.1648       0.1377    35.5
0.0055      -24729.0215  -24729.1395       0.1180    30.4
0.0060      -24729.0191  -24729.1347       0.1156    29.8
0.0065      -24729.0010  -24729.1445       0.1435    37.0
0.0070      -24728.9875  -24729.1643       0.1768    45.6
0.0075      -24729.0029  -24729.1894       0.1865    48.1
0.0080      -24729.0130  -24729.2143       0.2013    51.9
0.0085      -24728.9864  -24729.2366       0.2502    64.5
0.0090      -24728.9587  -24729.2495       0.2908    75.0
0.0095      -24728.9648  -24729.2460       0.2812    72.5
0.0100      -24728.9342  -24729.2304       0.2962    76.4
0.0105      -24728.9312  -24729.2068       0.2756    71.1
0.0110      -24728.9196  -24729.1851       0.2655    68.5
0.0115      -24728.9203  -24729.1726       0.2523    65.1
0.0120      -24728.9082  -24729.1699       0.2617    67.5
0.0125      -24728.9049  -24729.1735       0.2686    69.3
0.0130      -24728.8898  -24729.1767       0.2869    74.0
0.0135      -24728.8950  -24729.1721       0.2771    71.5
0.0140      -24728.8719  -24729.1615       0.2895    74.7
0.0145      -24728.8564  -24729.1467       0.2904    74.9
0.0150      -24728.8301  -24729.1302       0.3001    77.4
0.0155      -24728.8260  -24729.1200       0.2940    75.8
0.0160      -24728.8094  -24729.1201       0.3107    80.1
0.0165      -24728.8027  -24729.1315       0.3288    84.8
0.0170      -24728.7811  -24729.1476       0.3665    94.5
0.0175      -24728.7890  -24729.1613       0.3723    96.0
0.0180      -24728.7823  -24729.1653       0.3830    98.8
0.0185      -24728.7816  -24729.1583       0.3768    97.2
0.0190      -24728.7670  -24729.1382       0.3712    95.7
0.0195      -24728.7604  -24729.1069       0.3465    89.3
0.0200      -24728.7489  -24729.0689       0.3200    82.5
0.0205      -24728.7329  -24729.0308       0.2979    76.8
0.0210      -24728.7190  -24728.9984       0.2794    72.1
0.0215      -24728.6992  -24728.9779       0.2787    71.9
0.0220      -24728.6857  -24728.9713       0.2855    73.6
0.0225      -24728.6811  -24728.9777       0.2966    76.5
0.0230      -24728.6867  -24728.9960       0.3093    79.8
0.0235      -24728.6790  -24729.0240       0.3450    89.0
0.0240      -24728.6659  -24729.0531       0.3873    99.9
0.0245      -24728.6573  -24729.0748       0.4175   107.7
0.0250      -24728.6302  -24729.0837       0.4535   117.0
0.0255      -24728.6093  -24729.0786       0.4693   121.0
0.0260      -24728.5683  -24729.0598       0.4915   126.8
0.0265      -24728.5214  -24729.0249       0.5035   129.8
0.0270      -24728.5126  -24728.9801       0.4675   120.6
0.0275      -24728.5064  -24728.9337       0.4273   110.2
0.0280      -24728.4943  -24728.8961       0.4017   103.6
0.0285      -24728.4947  -24728.8722       0.3775    97.3
0.0290      -24728.4640  -24728.8688       0.4048   104.4
0.0295      -24728.4639  -24728.8837       0.4198   108.3
0.0300      -24728.4381  -24728.9044       0.4664   120.3
0.0305      -24728.4075  -24728.9279       0.5204   134.2
0.0310      -24728.3948  -24728.9505       0.5557   143.3
0.0315      -24728.4122  -24728.9702       0.5580   143.9
0.0320      -24728.4372  -24728.9870       0.5498   141.8
0.0325      -24728.4376  -24729.0028       0.5652   145.8
0.0330      -24728.4144  -24729.0178       0.6034   155.6
