Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.0786  -24729.0786       0.0000     0.0
0.0005      -24729.0676  -24729.0812       0.0136     3.5
0.0010      -24729.0567  -24729.0884       0.0317     8.2
0.0015      -24729.0491  -24729.0986       0.0495    12.8
0.0020      -24729.0367  -24729.1102       0.0735    19.0
0.0025      -24729.0166  -24729.1205       0.1038    26.8
0.0030      -24729.0167  -24729.1276       0.1109    28.6
0.0035      -24729.0145  -24729.1308       0.1163    30.0
0.0040      -24728.9972  -24729.1295       0.1323    34.1
0.0045      -24728.9806  -24729.1275       0.1469    37.9
0.0050      -24728.9763  -24729.1268       0.1505    38.8
0.0055      -24728.9799  -24729.1277       0.1478    38.1
0.0060      -24728.9507  -24729.1313       0.1807    46.6
0.0065      -24728.9573  -24729.1387       0.1815    46.8
0.0070      -24728.9435  -24729.1471       0.2036    52.5
0.0075      -24728.9398  -24729.1524       0.2126    54.8
0.0080      -24728.9238  -24729.1548       0.2310    59.6
0.0085      -24728.9269  -24729.1538       0.2269    58.5
0.0090      -24728.9090  -24729.1494       0.2404    62.0
0.0095      -24728.8973  -24729.1427       0.2454    63.3
0.0100      -24728.9042  -24729.1352       0.2310    59.6
0.0105      -24728.8912  -24729.1285       0.2374    61.2
0.0110      -24728.8778  -24729.1259       0.2481    64.0
0.0115      -24728.8589  -24729.1264       0.2675    69.0
0.0120      -24728.8515  -24729.1277       0.2761    71.2
0.0125      -24728.8380  -24729.1299       0.2919    75.3
0.0130      -24728.8362  -24729.1333       0.2971    76.6
0.0135      -24728.8238  -24729.1380       0.3141    81.0
0.0140      -24728.8175  -24729.1422       0.3246    83.7
0.0145      -24728.7969  -24729.1481       0.3512    90.6
0.0150      -24728.7893  -24729.1546       0.3653    94.2
0.0155      -24728.7832  -24729.1589       0.3757    96.9
0.0160      -24728.7907  -24729.1624       0.3717    95.9
0.0165      -24728.7904  -24729.1653       0.3750    96.7
0.0170      -24728.7745  -24729.1650       0.3904   100.7
0.0175      -24728.7581  -24729.1610       0.4029   103.9
0.0180      -24728.7201  -24729.1567       0.4366   112.6
0.0185      -24728.6822  -24729.1513       0.4691   121.0
0.0190      -24728.6790  -24729.1442       0.4652   120.0
0.0195      -24728.6738  -24729.1345       0.4607   118.8
0.0200      -24728.6764  -24729.1235       0.4471   115.3
0.0205      -24728.6723  -24729.1120       0.4397   113.4
0.0210      -24728.6692  -24729.1012       0.4320   111.4
0.0215      -24728.6738  -24729.0906       0.4168   107.5
0.0220      -24728.6856  -24729.0802       0.3946   101.8
0.0225      -24728.6721  -24729.0708       0.3987   102.8
0.0230      -24728.6622  -24729.0638       0.4017   103.6
0.0235      -24728.6142  -24729.0580       0.4437   114.4
0.0240      -24728.5831  -24729.0513       0.4682   120.7
0.0245      -24728.5601  -24729.0432       0.4831   124.6
0.0250      -24728.5618  -24729.0320       0.4702   121.3
0.0255      -24728.5495  -24729.0187       0.4692   121.0
0.0260      -24728.5322  -24729.0060       0.4738   122.2
0.0265      -24728.5263  -24728.9952       0.4689   120.9
0.0270      -24728.5587  -24728.9871       0.4284   110.5
0.0275      -24728.5534  -24728.9860       0.4327   111.6
0.0280      -24728.5512  -24728.9897       0.4386   113.1
0.0285      -24728.5513  -24728.9929       0.4416   113.9
0.0290      -24728.5291  -24728.9945       0.4654   120.0
0.0295      -24728.5390  -24728.9919       0.4529   116.8
0.0300      -24728.5473  -24728.9849       0.4376   112.8
0.0305      -24728.5511  -24728.9725       0.4214   108.7
0.0310      -24728.5532  -24728.9564       0.4032   104.0
0.0315      -24728.5368  -24728.9387       0.4019   103.6
0.0320      -24728.5188  -24728.9187       0.3999   103.1
0.0325      -24728.5136  -24728.8991       0.3855    99.4
0.0330      -24728.4867  -24728.8804       0.3937   101.5
0.0335      -24728.4928  -24728.8638       0.3710    95.7
0.0340      -24728.4585  -24728.8489       0.3904   100.7
0.0345      -24728.4469  -24728.8382       0.3913   100.9
0.0350      -24728.4356  -24728.8338       0.3983   102.7
0.0355      -24728.4136  -24728.8349       0.4213   108.7
0.0360      -24728.3939  -24728.8382       0.4443   114.6
0.0365      -24728.3926  -24728.8377       0.4451   114.8
0.0370      -24728.4103  -24728.8317       0.4213   108.7
0.0375      -24728.4153  -24728.8231       0.4078   105.2
0.0380      -24728.3992  -24728.8118       0.4126   106.4
0.0385      -24728.3702  -24728.8008       0.4306   111.0
0.0390      -24728.3542  -24728.7938       0.4396   113.4
0.0395      -24728.3336  -24728.7947       0.4611   118.9
0.0400      -24728.3263  -24728.8007       0.4744   122.3
0.0405      -24728.3270  -24728.8097       0.4827   124.5
0.0410      -24728.3302  -24728.8221       0.4919   126.9
0.0415      -24728.3370  -24728.8339       0.4969   128.1
0.0420      -24728.3129  -24728.8431       0.5302   136.7
0.0425      -24728.3149  -24728.8482       0.5333   137.5
0.0430      -24728.3207  -24728.8494       0.5286   136.3
0.0435      -24728.3138  -24728.8476       0.5338   137.7
0.0440      -24728.2902  -24728.8445       0.5542   142.9
0.0445      -24728.2951  -24728.8396       0.5445   140.4
0.0450      -24728.3011  -24728.8366       0.5356   138.1
0.0455      -24728.3048  -24728.8356       0.5309   136.9
0.0460      -24728.2919  -24728.8377       0.5458   140.8
0.0465      -24728.2751  -24728.8432       0.5681   146.5
0.0470      -24728.3002  -24728.8528       0.5526   142.5
0.0475      -24728.2804  -24728.8608       0.5804   149.7
0.0480      -24728.3008  -24728.8640       0.5632   145.2
0.0485      -24728.3088  -24728.8617       0.5529   142.6
0.0490      -24728.3071  -24728.8554       0.5483   141.4
0.0495      -24728.2500  -24728.8437       0.5938   153.1
0.0500      -24728.2366  -24728.8260       0.5894   152.0
0.0505      -24728.2312  -24728.8071       0.5759   148.5
0.0510      -24728.2277  -24728.7909       0.5632   145.2
0.0515      -24728.1910  -24728.7782       0.5873   151.4
0.0520      -24728.1889  -24728.7723       0.5834   150.5
0.0525      -24728.1582  -24728.7727       0.6145   158.5
0.0530      -24728.1936  -24728.7763       0.5828   150.3
0.0535      -24728.1634  -24728.7787       0.6153   158.7
0.0540      -24728.1325  -24728.7825       0.6499   167.6
0.0545      -24728.1417  -24728.7816       0.6399   165.0
0.0550      -24728.1268  -24728.7783       0.6515   168.0
0.0555      -24728.1146  -24728.7740       0.6594   170.0
0.0560      -24728.0941  -24728.7700       0.6759   174.3
0.0565      -24728.0707  -24728.7661       0.6955   179.4
0.0570      -24728.0686  -24728.7667       0.6981   180.0
0.0575      -24728.0430  -24728.7670       0.7240   186.7
