Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24728.7916  -24728.7916       0.0000     0.0
0.0005      -24728.7818  -24728.7937       0.0119     3.1
0.0010      -24728.7684  -24728.7999       0.0315     8.1
0.0015      -24728.7615  -24728.8096       0.0481    12.4
0.0020      -24728.7415  -24728.8228       0.0813    21.0
0.0025      -24728.7222  -24728.8374       0.1152    29.7
0.0030      -24728.7204  -24728.8536       0.1332    34.3
0.0035      -24728.7128  -24728.8706       0.1578    40.7
0.0040      -24728.6987  -24728.8895       0.1907    49.2
0.0045      -24728.6770  -24728.9090       0.2320    59.8
0.0050      -24728.6620  -24728.9277       0.2657    68.5
0.0055      -24728.6540  -24728.9464       0.2924    75.4
0.0060      -24728.6533  -24728.9653       0.3120    80.5
0.0065      -24728.6349  -24728.9842       0.3493    90.1
0.0070      -24728.6294  -24729.0022       0.3728    96.1
0.0075      -24728.6153  -24729.0175       0.4023   103.7
0.0080      -24728.5929  -24729.0298       0.4368   112.6
0.0085      -24728.5881  -24729.0363       0.4482   115.6
0.0090      -24728.5748  -24729.0368       0.4619   119.1
0.0095      -24728.5647  -24729.0325       0.4679   120.7
0.0100      -24728.5240  -24729.0246       0.5006   129.1
0.0105      -24728.5160  -24729.0149       0.4989   128.6
0.0110      -24728.5372  -24729.0061       0.4688   120.9
0.0115      -24728.5323  -24729.0007       0.4684   120.8
0.0120      -24728.5338  -24728.9969       0.4631   119.4
0.0125      -24728.5257  -24728.9900       0.4644   119.7
0.0130      -24728.5211  -24728.9818       0.4607   118.8
0.0135      -24728.5098  -24728.9714       0.4616   119.0
0.0140      -24728.5110  -24728.9605       0.4495   115.9
0.0145      -24728.5150  -24728.9522       0.4373   112.8
0.0150      -24728.5175  -24728.9491       0.4316   111.3
0.0155      -24728.4788  -24728.9525       0.4737   122.2
0.0160      -24728.4594  -24728.9681       0.5088   131.2
0.0165      -24728.4377  -24728.9931       0.5554   143.2
0.0170      -24728.4424  -24729.0182       0.5758   148.5
0.0175      -24728.4683  -24729.0411       0.5729   147.7
0.0180      -24728.4582  -24729.0600       0.6018   155.2
0.0185      -24728.4934  -24729.0701       0.5767   148.7
0.0190      -24728.5077  -24729.0729       0.5651   145.7
0.0195      -24728.5273  -24729.0707       0.5433   140.1
0.0200      -24728.5422  -24729.0640       0.5218   134.6
0.0205      -24728.5398  -24729.0559       0.5161   133.1
0.0210      -24728.5022  -24729.0488       0.5466   140.9
0.0215      -24728.4917  -24729.0427       0.5510   142.1
0.0220      -24728.4864  -24729.0401       0.5537   142.8
0.0225      -24728.4991  -24729.0400       0.5409   139.5
0.0230      -24728.4981  -24729.0364       0.5383   138.8
0.0235      -24728.4959  -24729.0278       0.5318   137.1
0.0240      -24728.4999  -24729.0141       0.5142   132.6
0.0245      -24728.4746  -24728.9937       0.5191   133.9
0.0250      -24728.4831  -24728.9700       0.4869   125.6
0.0255      -24728.4540  -24728.9446       0.4906   126.5
0.0260      -24728.4638  -24728.9236       0.4598   118.6
0.0265      -24728.4588  -24728.9075       0.4487   115.7
0.0270      -24728.4454  -24728.8970       0.4517   116.5
0.0275      -24728.4371  -24728.8933       0.4562   117.7
0.0280      -24728.4232  -24728.9013       0.4780   123.3
0.0285      -24728.4278  -24728.9186       0.4908   126.6
0.0290      -24728.4397  -24728.9422       0.5025   129.6
0.0295      -24728.3955  -24728.9657       0.5702   147.0
0.0300      -24728.3993  -24728.9781       0.5787   149.2
0.0305      -24728.4236  -24728.9751       0.5515   142.2
0.0310      -24728.4314  -24728.9572       0.5259   135.6
0.0315      -24728.4220  -24728.9324       0.5104   131.6
0.0320      -24728.4094  -24728.9091       0.4998   128.9
0.0325      -24728.4074  -24728.8914       0.4840   124.8
0.0330      -24728.4122  -24728.8859       0.4737   122.1
0.0335      -24728.4215  -24728.8907       0.4692   121.0
0.0340      -24728.3957  -24728.9056       0.5099   131.5
0.0345      -24728.4154  -24728.9229       0.5075   130.9
0.0350      -24728.4145  -24728.9382       0.5237   135.0
0.0355      -24728.4052  -24728.9447       0.5395   139.1
0.0360      -24728.3972  -24728.9366       0.5394   139.1
0.0365      -24728.4017  -24728.9154       0.5138   132.5
0.0370      -24728.4113  -24728.8818       0.4705   121.3
0.0375      -24728.3860  -24728.8392       0.4532   116.9
0.0380      -24728.3898  -24728.7959       0.4060   104.7
0.0385      -24728.3692  -24728.7621       0.3929   101.3
0.0390      -24728.3537  -24728.7437       0.3900   100.6
