Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.2560  -24729.2560       0.0000     0.0
0.0005      -24729.2433  -24729.2673       0.0240     6.2
0.0010      -24729.2294  -24729.3002       0.0709    18.3
0.0015      -24729.2196  -24729.3426       0.1230    31.7
0.0020      -24729.1957  -24729.3718       0.1761    45.4
0.0025      -24729.1924  -24729.3625       0.1701    43.9
0.0030      -24729.1663  -24729.3167       0.1504    38.8
0.0035      -24729.1563  -24729.2643       0.1081    27.9
0.0040      -24729.1311  -24729.2358       0.1047    27.0
0.0045      -24729.1139  -24729.2431       0.1292    33.3
0.0050      -24729.1068  -24729.2794       0.1726    44.5
0.0055      -24729.0964  -24729.3191       0.2227    57.4
0.0060      -24729.0851  -24729.3327       0.2476    63.9
0.0065      -24729.0978  -24729.3085       0.2108    54.3
0.0070      -24729.1031  -24729.2691       0.1661    42.8
0.0075      -24729.0806  -24729.2338       0.1532    39.5
0.0080      -24729.0705  -24729.2135       0.1431    36.9
0.0085      -24729.0649  -24729.2142       0.1493    38.5
0.0090      -24729.0631  -24729.2364       0.1733    44.7
0.0095      -24729.0583  -24729.2707       0.2124    54.8
0.0100      -24729.0638  -24729.2962       0.2325    60.0
0.0105      -24729.0458  -24729.3005       0.2548    65.7
0.0110      -24729.0211  -24729.2863       0.2652    68.4
0.0115      -24728.9972  -24729.2673       0.2701    69.7
0.0120      -24728.9839  -24729.2556       0.2718    70.1
0.0125      -24728.9526  -24729.2535       0.3009    77.6
0.0130      -24728.9535  -24729.2561       0.3026    78.0
0.0135      -24728.9557  -24729.2638       0.3081    79.4
0.0140      -24728.9642  -24729.2741       0.3099    79.9
0.0145      -24728.9504  -24729.2804       0.3301    85.1
0.0150      -24728.9438  -24729.2791       0.3353    86.5
0.0155      -24728.9464  -24729.2688       0.3224    83.1
0.0160      -24728.9503  -24729.2551       0.3048    78.6
0.0165      -24728.9292  -24729.2417       0.3125    80.6
0.0170      -24728.9311  -24729.2313       0.3002    77.4
0.0175      -24728.9434  -24729.2311       0.2876    74.2
0.0180      -24728.9294  -24729.2433       0.3139    80.9
0.0185      -24728.9280  -24729.2584       0.3303    85.2
0.0190      -24728.9067  -24729.2690       0.3623    93.4
0.0195      -24728.9042  -24729.2676       0.3634    93.7
0.0200      -24728.9073  -24729.2522       0.3449    88.9
0.0205      -24728.9284  -24729.2273       0.2988    77.1
0.0210      -24728.9323  -24729.1989       0.2665    68.7
0.0215      -24728.9094  -24729.1786       0.2692    69.4
0.0220      -24728.9212  -24729.1707       0.2495    64.3
0.0225      -24728.9304  -24729.1736       0.2432    62.7
0.0230      -24728.9372  -24729.1863       0.2491    64.2
0.0235      -24728.9007  -24729.2017       0.3010    77.6
0.0240      -24728.9090  -24729.2138       0.3048    78.6
0.0245      -24728.8836  -24729.2219       0.3383    87.2
0.0250      -24728.8794  -24729.2210       0.3416    88.1
0.0255      -24728.8770  -24729.2102       0.3332    85.9
0.0260      -24728.8692  -24729.1902       0.3210    82.8
0.0265      -24728.8697  -24729.1679       0.2982    76.9
0.0270      -24728.8909  -24729.1511       0.2602    67.1
0.0275      -24728.8737  -24729.1434       0.2697    69.6
0.0280      -24728.8557  -24729.1473       0.2916    75.2
0.0285      -24728.8522  -24729.1599       0.3077    79.3
0.0290      -24728.8163  -24729.1754       0.3591    92.6
0.0295      -24728.7751  -24729.1878       0.4127   106.4
0.0300      -24728.7598  -24729.1896       0.4298   110.8
0.0305      -24728.7607  -24729.1802       0.4196   108.2
0.0310      -24728.7450  -24729.1600       0.4150   107.0
0.0315      -24728.7298  -24729.1345       0.4046   104.3
0.0320      -24728.7273  -24729.1101       0.3828    98.7
0.0325      -24728.7392  -24729.0925       0.3533    91.1
0.0330      -24728.7541  -24729.0837       0.3297    85.0
0.0335      -24728.7464  -24729.0830       0.3366    86.8
0.0340      -24728.7537  -24729.0898       0.3361    86.7
0.0345      -24728.7535  -24729.1011       0.3476    89.6
0.0350      -24728.7484  -24729.1135       0.3651    94.2
0.0355      -24728.7345  -24729.1243       0.3897   100.5
0.0360      -24728.7253  -24729.1283       0.4030   103.9
0.0365      -24728.7188  -24729.1265       0.4077   105.1
0.0370      -24728.7014  -24729.1192       0.4179   107.8
0.0375      -24728.6934  -24729.1093       0.4159   107.3
0.0380      -24728.6599  -24729.1025       0.4426   114.1
0.0385      -24728.6416  -24729.0995       0.4579   118.1
0.0390      -24728.6250  -24729.1011       0.4761   122.8
0.0395      -24728.6203  -24729.1078       0.4875   125.7
0.0400      -24728.6316  -24729.1202       0.4885   126.0
0.0405      -24728.6079  -24729.1358       0.5279   136.1
0.0410      -24728.5790  -24729.1492       0.5702   147.0
0.0415      -24728.5831  -24729.1522       0.5691   146.8
0.0420      -24728.5764  -24729.1443       0.5679   146.4
0.0425      -24728.5400  -24729.1274       0.5873   151.5
0.0430      -24728.5605  -24729.1019       0.5415   139.6
0.0435      -24728.5438  -24729.0746       0.5308   136.9
0.0440      -24728.5455  -24729.0490       0.5035   129.8
0.0445      -24728.5609  -24729.0295       0.4686   120.8
0.0450      -24728.5623  -24729.0180       0.4557   117.5
0.0455      -24728.5482  -24729.0129       0.4647   119.8
0.0460      -24728.5537  -24729.0111       0.4575   118.0
0.0465      -24728.5480  -24729.0073       0.4594   118.5
0.0470      -24728.5539  -24729.0032       0.4493   115.9
0.0475      -24728.5568  -24729.0021       0.4453   114.8
0.0480      -24728.5565  -24729.0066       0.4500   116.1
0.0485      -24728.5462  -24729.0155       0.4693   121.0
0.0490      -24728.5100  -24729.0288       0.5188   133.8
0.0495      -24728.5030  -24729.0339       0.5309   136.9
0.0500      -24728.4564  -24729.0276       0.5712   147.3
0.0505      -24728.4173  -24729.0117       0.5944   153.3
0.0510      -24728.4664  -24728.9839       0.5175   133.5
0.0515      -24728.4598  -24728.9583       0.4985   128.5
0.0520      -24728.4772  -24728.9418       0.4647   119.8
0.0525      -24728.4723  -24728.9409       0.4686   120.8
0.0530      -24728.4686  -24728.9586       0.4900   126.3
0.0535      -24728.4572  -24728.9861       0.5289   136.4
0.0540      -24728.4318  -24729.0127       0.5809   149.8
0.0545      -24728.4155  -24729.0249       0.6093   157.1
0.0550      -24728.4126  -24729.0205       0.6079   156.8
0.0555      -24728.4347  -24728.9991       0.5644   145.5
0.0560      -24728.4365  -24728.9662       0.5297   136.6
0.0565      -24728.4194  -24728.9315       0.5121   132.1
0.0570      -24728.4001  -24728.9036       0.5035   129.8
0.0575      -24728.3460  -24728.8873       0.5413   139.6
0.0580      -24728.3215  -24728.8817       0.5602   144.5
0.0585      -24728.3352  -24728.8887       0.5535   142.7
0.0590      -24728.3484  -24728.9098       0.5614   144.8
0.0595      -24728.3539  -24728.9415       0.5875   151.5
0.0600      -24728.3719  -24728.9758       0.6040   155.7
0.0605      -24728.3468  -24729.0035       0.6568   169.4
0.0610      -24728.3635  -24729.0167       0.6533   168.5
0.0615      -24728.3708  -24729.0112       0.6403   165.1
0.0620      -24728.3455  -24728.9880       0.6425   165.7
0.0625      -24728.3640  -24728.9569       0.5929   152.9
0.0630      -24728.3707  -24728.9266       0.5559   143.4
0.0635      -24728.4141  -24728.9036       0.4895   126.2
0.0640      -24728.4221  -24728.8986       0.4765   122.9
0.0645      -24728.3816  -24728.9141       0.5325   137.3
0.0650      -24728.3379  -24728.9455       0.6076   156.7
0.0655      -24728.3775  -24728.9780       0.6005   154.9
0.0660      -24728.4281  -24729.0021       0.5740   148.0
0.0665      -24728.4473  -24729.0129       0.5656   145.9
0.0670      -24728.4403  -24729.0091       0.5688   146.7
0.0675      -24728.4109  -24728.9952       0.5843   150.7
0.0680      -24728.3879  -24728.9775       0.5896   152.0
0.0685      -24728.3667  -24728.9589       0.5921   152.7
0.0690      -24728.3930  -24728.9439       0.5509   142.1
0.0695      -24728.3873  -24728.9385       0.5512   142.1
0.0700      -24728.3918  -24728.9450       0.5532   142.7
0.0705      -24728.3975  -24728.9553       0.5577   143.8
0.0710      -24728.3994  -24728.9641       0.5647   145.6
0.0715      -24728.4157  -24728.9722       0.5565   143.5
0.0720      -24728.3932  -24728.9788       0.5856   151.0
0.0725      -24728.3885  -24728.9798       0.5914   152.5
0.0730      -24728.3736  -24728.9729       0.5993   154.5
0.0735      -24728.3778  -24728.9593       0.5815   149.9
0.0740      -24728.3703  -24728.9396       0.5693   146.8
0.0745      -24728.4052  -24728.9162       0.5110   131.8
0.0750      -24728.3999  -24728.8942       0.4943   127.5
0.0755      -24728.3758  -24728.8804       0.5046   130.1
0.0760      -24728.3694  -24728.8802       0.5108   131.7
0.0765      -24728.3533  -24728.8938       0.5406   139.4
0.0770      -24728.3674  -24728.9097       0.5423   139.9
0.0775      -24728.3427  -24728.9186       0.5759   148.5
0.0780      -24728.3205  -24728.9118       0.5912   152.5
0.0785      -24728.3191  -24728.8901       0.5710   147.2
0.0790      -24728.3149  -24728.8635       0.5486   141.5
0.0795      -24728.3094  -24728.8404       0.5310   136.9
0.0800      -24728.3054  -24728.8309       0.5255   135.5
0.0805      -24728.3045  -24728.8390       0.5345   137.8
0.0810      -24728.3026  -24728.8571       0.5544   143.0
0.0815      -24728.3027  -24728.8798       0.5770   148.8
0.0820      -24728.2984  -24728.9026       0.6042   155.8
0.0825      -24728.3090  -24728.9183       0.6093   157.1
0.0830      -24728.2910  -24728.9248       0.6338   163.5
0.0835      -24728.2909  -24728.9229       0.6320   163.0
0.0840      -24728.2619  -24728.9109       0.6490   167.4
0.0845      -24728.2471  -24728.8958       0.6487   167.3
0.0850      -24728.2373  -24728.8801       0.6429   165.8
0.0855      -24728.2311  -24728.8665       0.6355   163.9
0.0860      -24728.2162  -24728.8644       0.6481   167.1
0.0865      -24728.2286  -24728.8698       0.6413   165.4
0.0870      -24728.2087  -24728.8850       0.6763   174.4
0.0875      -24728.1960  -24728.9016       0.7055   181.9
0.0880      -24728.2253  -24728.9145       0.6892   177.7
0.0885      -24728.1929  -24728.9198       0.7269   187.4
0.0890      -24728.1912  -24728.9202       0.7291   188.0
0.0895      -24728.2004  -24728.9140       0.7136   184.0
0.0900      -24728.1884  -24728.9008       0.7124   183.7
0.0905      -24728.1866  -24728.8814       0.6948   179.2
0.0910      -24728.1507  -24728.8606       0.7099   183.1
0.0915      -24728.1331  -24728.8401       0.7070   182.3
0.0920      -24728.1736  -24728.8244       0.6508   167.8
0.0925      -24728.1625  -24728.8135       0.6509   167.9
0.0930      -24728.1594  -24728.8094       0.6500   167.6
0.0935      -24728.1368  -24728.8114       0.6746   174.0
0.0940      -24728.1263  -24728.8187       0.6924   178.5
0.0945      -24728.1044  -24728.8321       0.7277   187.7
0.0950      -24728.1053  -24728.8469       0.7416   191.2
0.0955      -24728.0816  -24728.8559       0.7742   199.7
0.0960      -24728.0514  -24728.8506       0.7992   206.1
0.0965      -24728.0802  -24728.8338       0.7536   194.3
0.0970      -24728.0780  -24728.8094       0.7315   188.6
0.0975      -24728.0735  -24728.7790       0.7055   181.9
0.0980      -24728.0716  -24728.7552       0.6835   176.3
0.0985      -24728.0866  -24728.7455       0.6589   169.9
0.0990      -24728.0714  -24728.7533       0.6819   175.8
0.0995      -24728.0635  -24728.7681       0.7045   181.7
0.1000      -24728.0616  -24728.7847       0.7231   186.5
0.1005      -24728.0572  -24728.7881       0.7310   188.5
0.1010      -24728.0612  -24728.7750       0.7138   184.1
0.1015      -24728.0631  -24728.7456       0.6825   176.0
0.1020      -24728.0703  -24728.7062       0.6358   164.0
0.1025      -24728.0778  -24728.6692       0.5913   152.5
0.1030      -24728.0772  -24728.6437       0.5665   146.1
0.1035      -24728.0546  -24728.6334       0.5788   149.3
0.1040      -24728.0465  -24728.6343       0.5879   151.6
0.1045      -24728.0700  -24728.6448       0.5749   148.2
0.1050      -24728.0143  -24728.6633       0.6490   167.4
0.1055      -24728.0162  -24728.6793       0.6631   171.0
0.1060      -24728.0114  -24728.6898       0.6783   174.9
0.1065      -24728.0159  -24728.6941       0.6782   174.9
0.1070      -24728.0017  -24728.6938       0.6921   178.5
0.1075      -24727.9999  -24728.6888       0.6889   177.6
0.1080      -24727.9683  -24728.6945       0.7262   187.3
0.1085      -24727.9670  -24728.7073       0.7402   190.9
0.1090      -24727.9929  -24728.7185       0.7256   187.1
0.1095      -24727.9491  -24728.7263       0.7773   200.4
0.1100      -24727.9892  -24728.7294       0.7402   190.9
0.1105      -24727.9741  -24728.7261       0.7520   193.9
0.1110      -24728.0052  -24728.7204       0.7152   184.4
0.1115      -24728.0123  -24728.7157       0.7033   181.4
0.1120      -24728.0104  -24728.7116       0.7012   180.8
0.1125      -24728.0250  -24728.7078       0.6828   176.1
0.1130      -24728.0091  -24728.7035       0.6944   179.1
0.1135      -24728.0132  -24728.6961       0.6829   176.1
0.1140      -24728.0102  -24728.6893       0.6790   175.1
0.1145      -24727.9868  -24728.6847       0.6980   180.0
0.1150      -24727.9491  -24728.6828       0.7337   189.2
0.1155      -24727.9175  -24728.6863       0.7689   198.3
0.1160      -24727.9417  -24728.6903       0.7486   193.1
0.1165      -24727.9447  -24728.6892       0.7445   192.0
0.1170      -24727.9468  -24728.6789       0.7321   188.8
0.1175      -24727.9532  -24728.6630       0.7099   183.1
0.1180      -24727.9640  -24728.6510       0.6870   177.2
0.1185      -24727.9325  -24728.6425       0.7099   183.1
0.1190      -24727.9542  -24728.6416       0.6874   177.3
0.1195      -24727.8993  -24728.6481       0.7489   193.1
0.1200      -24727.8775  -24728.6550       0.7775   200.5
0.1205      -24727.8521  -24728.6532       0.8011   206.6
0.1210      -24727.8423  -24728.6403       0.7980   205.8
0.1215      -24727.8492  -24728.6175       0.7683   198.1
0.1220      -24727.8437  -24728.5953       0.7516   193.8
0.1225      -24727.8239  -24728.5812       0.7573   195.3
0.1230      -24727.7985  -24728.5858       0.7874   203.0
0.1235      -24727.7791  -24728.6007       0.8215   211.9
0.1240      -24727.7700  -24728.6251       0.8551   220.5
0.1245      -24727.7748  -24728.6472       0.8724   225.0
0.1250      -24727.7454  -24728.6660       0.9205   237.4
0.1255      -24727.7140  -24728.6810       0.9671   249.4
0.1260      -24727.7091  -24728.6907       0.9816   253.1
0.1265      -24727.7050  -24728.6896       0.9847   253.9
0.1270      -24727.7477  -24728.6800       0.9323   240.4
0.1275      -24727.7419  -24728.6692       0.9272   239.1
0.1280      -24727.7308  -24728.6596       0.9288   239.5
0.1285      -24727.7370  -24728.6613       0.9243   238.4
0.1290      -24727.6992  -24728.6745       0.9754   251.5
0.1295      -24727.7214  -24728.6966       0.9752   251.5
0.1300      -24727.7397  -24728.7253       0.9856   254.2
0.1305      -24727.7742  -24728.7478       0.9737   251.1
0.1310      -24727.7755  -24728.7558       0.9803   252.8
0.1315      -24727.7862  -24728.7439       0.9577   247.0
0.1320      -24727.7863  -24728.7120       0.9257   238.7
0.1325      -24727.8007  -24728.6696       0.8689   224.1
0.1330      -24727.8253  -24728.6262       0.8010   206.6
0.1335      -24727.8584  -24728.5900       0.7316   188.7
0.1340      -24727.8411  -24728.5659       0.7249   186.9
0.1345      -24727.8185  -24728.5584       0.7399   190.8
0.1350      -24727.8390  -24728.5729       0.7339   189.2
0.1355      -24727.8205  -24728.5997       0.7792   200.9
0.1360      -24727.8268  -24728.6252       0.7984   205.9
0.1365      -24727.8051  -24728.6431       0.8380   216.1
0.1370      -24727.7937  -24728.6598       0.8660   223.3
0.1375      -24727.8093  -24728.6732       0.8640   222.8
0.1380      -24727.7666  -24728.6800       0.9134   235.5
0.1385      -24727.7945  -24728.6774       0.8829   227.7
0.1390      -24727.8126  -24728.6690       0.8564   220.8
0.1395      -24727.8174  -24728.6594       0.8420   217.1
0.1400      -24727.8395  -24728.6575       0.8181   211.0
0.1405      -24727.8562  -24728.6643       0.8081   208.4
0.1410      -24727.9025  -24728.6810       0.7785   200.8
0.1415      -24727.8742  -24728.7066       0.8324   214.7
0.1420      -24727.9089  -24728.7341       0.8252   212.8
0.1425      -24727.8990  -24728.7533       0.8543   220.3
0.1430      -24727.9270  -24728.7530       0.8260   213.0
0.1435      -24727.9204  -24728.7333       0.8129   209.6
0.1440      -24727.9330  -24728.7065       0.7735   199.5
0.1445      -24727.9240  -24728.6822       0.7583   195.5
0.1450      -24727.9046  -24728.6691       0.7645   197.2
0.1455      -24727.8859  -24728.6675       0.7816   201.6
0.1460      -24727.9074  -24728.6744       0.7669   197.8
0.1465      -24727.9247  -24728.6879       0.7632   196.8
0.1470      -24727.8944  -24728.7032       0.8089   208.6
0.1475      -24727.9004  -24728.7145       0.8141   209.9
0.1480      -24727.8638  -24728.7148       0.8509   219.4
0.1485      -24727.8353  -24728.7114       0.8762   225.9
0.1490      -24727.8336  -24728.7109       0.8773   226.2
0.1495      -24727.8294  -24728.7194       0.8900   229.5
0.1500      -24727.8258  -24728.7327       0.9069   233.9
0.1505      -24727.7971  -24728.7446       0.9475   244.3
0.1510      -24727.8129  -24728.7493       0.9364   241.5
0.1515      -24727.7507  -24728.7407       0.9900   255.3
0.1520      -24727.7254  -24728.7211       0.9957   256.8
0.1525      -24727.7467  -24728.6969       0.9502   245.0
0.1530      -24727.7424  -24728.6735       0.9310   240.1
0.1535      -24727.7509  -24728.6478       0.8968   231.3
0.1540      -24727.7540  -24728.6253       0.8713   224.7
0.1545      -24727.7558  -24728.6089       0.8531   220.0
0.1550      -24727.7385  -24728.5965       0.8580   221.3
0.1555      -24727.7105  -24728.5887       0.8782   226.5
0.1560      -24727.7297  -24728.5864       0.8567   220.9
0.1565      -24727.6985  -24728.5836       0.8851   228.2
0.1570      -24727.7078  -24728.5751       0.8673   223.6
0.1575      -24727.7207  -24728.5592       0.8385   216.2
0.1580      -24727.7215  -24728.5345       0.8130   209.7
0.1585      -24727.7501  -24728.5152       0.7651   197.3
0.1590      -24727.7379  -24728.5110       0.7730   199.3
0.1595      -24727.7327  -24728.5244       0.7917   204.2
0.1600      -24727.7262  -24728.5522       0.8260   213.0
0.1605      -24727.7251  -24728.5863       0.8611   222.1
0.1610      -24727.7167  -24728.6234       0.9067   233.8
0.1615      -24727.6967  -24728.6542       0.9575   246.9
0.1620      -24727.6553  -24728.6738       1.0185   262.6
0.1625      -24727.6948  -24728.6813       0.9865   254.4
0.1630      -24727.7365  -24728.6759       0.9395   242.3
0.1635      -24727.7194  -24728.6569       0.9375   241.8
0.1640      -24727.7145  -24728.6287       0.9142   235.7
0.1645      -24727.7226  -24728.5968       0.8743   225.5
0.1650      -24727.7311  -24728.5676       0.8366   215.7
0.1655      -24727.7401  -24728.5459       0.8059   207.8
0.1660      -24727.7436  -24728.5367       0.7931   204.5
0.1665      -24727.7175  -24728.5457       0.8282   213.6
0.1670      -24727.7199  -24728.5690       0.8491   219.0
0.1675      -24727.7138  -24728.6037       0.8898   229.5
0.1680      -24727.6837  -24728.6395       0.9558   246.5
0.1685      -24727.7095  -24728.6485       0.9390   242.2
0.1690      -24727.7105  -24728.6064       0.8959   231.0
0.1695      -24727.6992  -24728.5213       0.8221   212.0
0.1700      -24727.6516  -24728.4329       0.7813   201.5
0.1705      -24727.6763  -24728.3879       0.7116   183.5
0.1710      -24727.6885  -24728.4143       0.7258   187.2
0.1715      -24727.6802  -24728.4999       0.8197   211.4
0.1720      -24727.7237  -24728.5972       0.8735   225.3
0.1725      -24727.7280  -24728.6616       0.9336   240.8
0.1730      -24727.7014  -24728.6842       0.9827   253.4
0.1735      -24727.6642  -24728.6777       1.0136   261.4
0.1740      -24727.7049  -24728.6586       0.9537   245.9
0.1745      -24727.6655  -24728.6380       0.9726   250.8
0.1750      -24727.6907  -24728.6239       0.9332   240.7
0.1755      -24727.6441  -24728.6165       0.9724   250.8
0.1760      -24727.6451  -24728.6130       0.9680   249.6
0.1765      -24727.6386  -24728.6140       0.9754   251.5
0.1770      -24727.6503  -24728.6225       0.9722   250.7
0.1775      -24727.6587  -24728.6349       0.9762   251.7
0.1780      -24727.6639  -24728.6568       0.9929   256.1
0.1785      -24727.6965  -24728.6796       0.9831   253.5
0.1790      -24727.6616  -24728.6996       1.0380   267.7
0.1795      -24727.7011  -24728.7201       1.0191   262.8
0.1800      -24727.6748  -24728.7442       1.0694   275.8
0.1805      -24727.6562  -24728.7585       1.1022   284.2
0.1810      -24727.6502  -24728.7520       1.1018   284.1
0.1815      -24727.6756  -24728.7363       1.0607   273.5
0.1820      -24727.6621  -24728.7217       1.0596   273.2
0.1825      -24727.6507  -24728.7127       1.0620   273.9
0.1830      -24727.6185  -24728.7200       1.1016   284.1
0.1835      -24727.6578  -24728.7330       1.0752   277.3
0.1840      -24727.6777  -24728.7350       1.0572   272.6
0.1845      -24727.7089  -24728.7266       1.0177   262.4
0.1850      -24727.7156  -24728.7130       0.9974   257.2
0.1855      -24727.6754  -24728.7017       1.0263   264.7
0.1860      -24727.6701  -24728.7035       1.0334   266.5
0.1865      -24727.6457  -24728.7119       1.0662   274.9
0.1870      -24727.6269  -24728.7190       1.0921   281.6
0.1875      -24727.6726  -24728.7221       1.0494   270.6
0.1880      -24727.6101  -24728.7198       1.1096   286.2
0.1885      -24727.6250  -24728.7093       1.0843   279.6
0.1890      -24727.6385  -24728.6910       1.0524   271.4
0.1895      -24727.6792  -24728.6707       0.9915   255.7
0.1900      -24727.6756  -24728.6591       0.9835   253.6
0.1905      -24727.6648  -24728.6610       0.9962   256.9
0.1910      -24727.6316  -24728.6781       1.0465   269.9
0.1915      -24727.6220  -24728.7072       1.0853   279.9
0.1920      -24727.5911  -24728.7361       1.1450   295.3
0.1925      -24727.5990  -24728.7552       1.1562   298.1
0.1930      -24727.5723  -24728.7567       1.1844   305.4
0.1935      -24727.5718  -24728.7470       1.1752   303.1
0.1940      -24727.5658  -24728.7347       1.1690   301.4
0.1945      -24727.5651  -24728.7236       1.1585   298.8
0.1950      -24727.5681  -24728.7196       1.1515   297.0
0.1955      -24727.5505  -24728.7324       1.1820   304.8
0.1960      -24727.5536  -24728.7610       1.2074   311.4
0.1965      -24727.5612  -24728.7920       1.2308   317.4
0.1970      -24727.5502  -24728.8132       1.2629   325.7
0.1975      -24727.5001  -24728.8127       1.3127   338.5
0.1980      -24727.4945  -24728.7883       1.2937   333.6
0.1985      -24727.5349  -24728.7485       1.2136   313.0
0.1990      -24727.5673  -24728.7012       1.1340   292.4
0.1995      -24727.5957  -24728.6581       1.0624   274.0
0.2000      -24727.5701  -24728.6274       1.0573   272.6
