Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24725.1183  -24725.1183       0.0000     0.0
0.0005      -24725.1076  -24725.1230       0.0153     4.0
0.0010      -24725.0966  -24725.1368       0.0403    10.4
0.0015      -24725.0882  -24725.1607       0.0726    18.7
0.0020      -24725.0725  -24725.1920       0.1194    30.8
0.0025      -24725.0673  -24725.2318       0.1645    42.4
0.0030      -24725.0486  -24725.2780       0.2294    59.2
0.0035      -24725.0374  -24725.3311       0.2937    75.7
0.0040      -24725.0449  -24725.3881       0.3432    88.5
0.0045      -24725.0565  -24725.4471       0.3906   100.7
0.0050      -24725.0366  -24725.5073       0.4706   121.4
0.0055      -24725.0333  -24725.5679       0.5346   137.9
0.0060      -24725.0590  -24725.6269       0.5680   146.5
0.0065      -24725.0385  -24725.6836       0.6451   166.3
0.0070      -24725.0523  -24725.7403       0.6880   177.4
0.0075      -24725.0163  -24725.7974       0.7811   201.4
0.0080      -24725.0191  -24725.8536       0.8345   215.2
0.0085      -24725.0070  -24725.9101       0.9031   232.9
0.0090      -24724.9825  -24725.9667       0.9842   253.8
0.0095      -24724.9913  -24726.0209       1.0296   265.5
0.0100      -24724.9753  -24726.0746       1.0993   283.5
0.0105      -24724.9752  -24726.1249       1.1496   296.5
0.0110      -24724.9444  -24726.1725       1.2281   316.7
0.0115      -24724.9143  -24726.2209       1.3065   336.9
0.0120      -24724.8436  -24726.2682       1.4246   367.4
0.0125      -24724.8127  -24726.3114       1.4987   386.5
0.0130      -24724.8515  -24726.3512       1.4997   386.7
0.0135      -24724.8393  -24726.3860       1.5467   398.9
0.0140      -24724.8821  -24726.4182       1.5361   396.1
0.0145      -24724.8459  -24726.4449       1.5990   412.3
0.0150      -24724.8611  -24726.4663       1.6053   414.0
0.0155      -24724.8672  -24726.4824       1.6152   416.5
0.0160      -24724.8706  -24726.4907       1.6202   417.8
0.0165      -24724.8839  -24726.4918       1.6079   414.6
