Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4180.2989   -4180.2989       0.0000     0.0
0.0005       -4180.2979   -4180.3017       0.0038     4.2
0.0010       -4180.2868   -4180.3109       0.0241    26.6
0.0015       -4180.2850   -4180.3264       0.0414    45.7
0.0020       -4180.2841   -4180.3470       0.0629    69.5
0.0025       -4180.2812   -4180.3717       0.0905   100.0
0.0030       -4180.2704   -4180.4008       0.1304   144.1
0.0035       -4180.2774   -4180.4322       0.1548   171.1
0.0040       -4180.2578   -4180.4624       0.2046   226.1
0.0045       -4180.2551   -4180.4932       0.2381   263.2
0.0050       -4180.2734   -4180.5238       0.2504   276.7
0.0055       -4180.2820   -4180.5534       0.2714   300.0
0.0060       -4180.2525   -4180.5868       0.3343   369.5
0.0065       -4180.2817   -4180.6279       0.3463   382.7
0.0070       -4180.2734   -4180.6805       0.4071   449.9
0.0075       -4180.2964   -4180.7469       0.4505   497.8
0.0080       -4180.2644   -4180.8333       0.5690   628.8
0.0085       -4180.2934   -4180.9407       0.6473   715.4
0.0090       -4180.3277   -4181.0577       0.7299   806.7
0.0095       -4180.3552   -4181.1707       0.8156   901.3
0.0100       -4180.3718   -4181.2754       0.9036   998.7
0.0105       -4180.3801   -4181.3851       1.0049  1110.6
0.0110       -4180.3480   -4181.5088       1.1608  1282.9
0.0115       -4180.3052   -4181.6451       1.3399  1480.8
0.0120       -4180.3155   -4181.7806       1.4651  1619.3
0.0125       -4180.3570   -4181.9031       1.5460  1708.6
0.0130       -4180.4288   -4182.0059       1.5772  1743.1
0.0135       -4180.4518   -4182.0955       1.6437  1816.6
0.0140       -4180.3888   -4182.1698       1.7809  1968.3
0.0145       -4180.3768   -4182.2200       1.8433  2037.2
0.0150       -4180.3850   -4182.2356       1.8506  2045.3
0.0155       -4180.2658   -4182.2059       1.9401  2144.2
0.0160       -4180.2852   -4182.1235       1.8383  2031.7
0.0165       -4180.3131   -4182.0015       1.6884  1866.0
0.0170       -4180.3012   -4181.8654       1.5641  1728.7
0.0175       -4180.3261   -4181.7429       1.4167  1565.8
0.0180       -4180.3051   -4181.6566       1.3514  1493.6
0.0185       -4180.2956   -4181.6111       1.3155  1453.9
0.0190       -4180.2946   -4181.6046       1.3100  1447.8
0.0195       -4180.3398   -4181.6314       1.2916  1427.5
0.0200       -4180.3349   -4181.6927       1.3578  1500.7
0.0205       -4180.3410   -4181.7756       1.4346  1585.5
0.0210       -4180.3153   -4181.8713       1.5561  1719.8
0.0215       -4180.2992   -4181.9793       1.6801  1856.9
0.0220       -4180.3356   -4182.1001       1.7645  1950.1
0.0225       -4180.3452   -4182.2262       1.8810  2078.8
0.0230       -4180.4069   -4182.3581       1.9513  2156.5
0.0235       -4180.4399   -4182.4904       2.0505  2266.2
0.0240       -4180.4579   -4182.6208       2.1630  2390.5
0.0245       -4180.4580   -4182.7418       2.2838  2524.1
0.0250       -4180.4728   -4182.8451       2.3723  2621.8
0.0255       -4180.4762   -4182.9302       2.4540  2712.2
0.0260       -4180.5738   -4183.0006       2.4267  2682.0
0.0265       -4180.5928   -4183.0588       2.4660  2725.4
0.0270       -4180.6111   -4183.1087       2.4976  2760.3
0.0275       -4180.5723   -4183.1511       2.5788  2850.0
0.0280       -4180.6140   -4183.1891       2.5751  2846.0
0.0285       -4180.6258   -4183.2296       2.6038  2877.7
0.0290       -4180.6238   -4183.2697       2.6459  2924.3
0.0295       -4180.6687   -4183.3084       2.6396  2917.3
0.0300       -4180.7109   -4183.3470       2.6362  2913.5
0.0305       -4180.7316   -4183.3821       2.6505  2929.3
0.0310       -4180.7637   -4183.4091       2.6454  2923.7
0.0315       -4180.8018   -4183.4282       2.6264  2902.7
0.0320       -4180.7596   -4183.4348       2.6753  2956.7
0.0325       -4180.7850   -4183.4280       2.6430  2921.0
0.0330       -4180.8310   -4183.4022       2.5712  2841.7
0.0335       -4180.8042   -4183.3569       2.5527  2821.2
0.0340       -4180.7742   -4183.2887       2.5145  2779.0
0.0345       -4180.7653   -4183.1965       2.4312  2686.9
0.0350       -4180.7777   -4183.0828       2.3052  2547.6
0.0355       -4180.7657   -4182.9500       2.1843  2414.0
0.0360       -4180.7451   -4182.8063       2.0612  2278.1
0.0365       -4180.7425   -4182.6580       1.9155  2117.0
0.0370       -4180.7664   -4182.5152       1.7487  1932.7
0.0375       -4180.8414   -4182.3888       1.5473  1710.1
0.0380       -4180.9004   -4182.2853       1.3849  1530.5
0.0385       -4180.9407   -4182.2111       1.2704  1404.1
0.0390       -4181.0352   -4182.1676       1.1325  1251.6
0.0395       -4180.9823   -4182.1538       1.1714  1294.7
0.0400       -4180.9726   -4182.1616       1.1890  1314.1
0.0405       -4180.9064   -4182.1923       1.2859  1421.2
0.0410       -4180.9458   -4182.2409       1.2951  1431.4
0.0415       -4180.9294   -4182.3024       1.3730  1517.4
0.0420       -4180.9120   -4182.3660       1.4540  1607.0
0.0425       -4180.8933   -4182.4203       1.5270  1687.6
0.0430       -4180.9149   -4182.4607       1.5459  1708.5
0.0435       -4180.8733   -4182.4867       1.6134  1783.2
0.0440       -4180.8654   -4182.4963       1.6309  1802.5
0.0445       -4180.8631   -4182.4875       1.6244  1795.3
0.0450       -4180.8696   -4182.4646       1.5950  1762.8
0.0455       -4180.9387   -4182.4318       1.4930  1650.1
0.0460       -4180.9049   -4182.3913       1.4864  1642.8
0.0465       -4180.8776   -4182.3432       1.4656  1619.8
0.0470       -4180.8659   -4182.2912       1.4253  1575.2
0.0475       -4180.8577   -4182.2372       1.3795  1524.6
0.0480       -4180.8506   -4182.1832       1.3326  1472.7
0.0485       -4180.8303   -4182.1295       1.2992  1435.9
0.0490       -4180.7947   -4182.0744       1.2797  1414.4
0.0495       -4180.8282   -4182.0156       1.1874  1312.3
0.0500       -4180.8541   -4181.9547       1.1006  1216.4
0.0505       -4180.8830   -4181.8923       1.0094  1115.6
0.0510       -4180.9127   -4181.8286       0.9159  1012.3
0.0515       -4180.9350   -4181.7610       0.8260   912.8
0.0520       -4180.9480   -4181.6915       0.7435   821.7
0.0525       -4180.9081   -4181.6207       0.7126   787.5
0.0530       -4180.9389   -4181.5494       0.6105   674.7
