Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24728.4231  -24728.4231       0.0000     0.0
0.0005      -24728.4076  -24728.4272       0.0196     5.1
0.0010      -24728.4024  -24728.4392       0.0367     9.5
0.0015      -24728.3883  -24728.4598       0.0715    18.4
0.0020      -24728.3734  -24728.4883       0.1149    29.6
0.0025      -24728.3702  -24728.5229       0.1527    39.4
0.0030      -24728.3706  -24728.5590       0.1884    48.6
0.0035      -24728.3517  -24728.5973       0.2457    63.3
0.0040      -24728.3290  -24728.6400       0.3110    80.2
0.0045      -24728.3072  -24728.6849       0.3777    97.4
0.0050      -24728.3181  -24728.7296       0.4115   106.1
0.0055      -24728.3273  -24728.7718       0.4445   114.6
0.0060      -24728.2961  -24728.8139       0.5178   133.5
0.0065      -24728.3046  -24728.8533       0.5487   141.5
0.0070      -24728.3223  -24728.8886       0.5663   146.0
0.0075      -24728.2963  -24728.9196       0.6233   160.7
0.0080      -24728.3212  -24728.9439       0.6226   160.6
0.0085      -24728.2935  -24728.9626       0.6691   172.5
0.0090      -24728.3087  -24728.9776       0.6690   172.5
0.0095      -24728.3045  -24728.9901       0.6856   176.8
0.0100      -24728.3115  -24729.0007       0.6891   177.7
0.0105      -24728.3242  -24729.0089       0.6846   176.6
0.0110      -24728.2930  -24729.0134       0.7204   185.8
0.0115      -24728.3141  -24729.0143       0.7002   180.6
0.0120      -24728.3018  -24729.0124       0.7106   183.2
0.0125      -24728.2739  -24729.0093       0.7354   189.6
0.0130      -24728.2824  -24729.0044       0.7220   186.2
0.0135      -24728.2903  -24728.9978       0.7075   182.5
0.0140      -24728.2993  -24728.9919       0.6927   178.6
0.0145      -24728.2833  -24728.9903       0.7070   182.3
0.0150      -24728.2605  -24728.9922       0.7316   188.7
0.0155      -24728.2455  -24729.0004       0.7550   194.7
0.0160      -24728.1985  -24729.0093       0.8108   209.1
0.0165      -24728.1921  -24729.0187       0.8266   213.2
0.0170      -24728.2098  -24729.0269       0.8171   210.7
0.0175      -24728.2150  -24729.0320       0.8170   210.7
0.0180      -24728.2213  -24729.0308       0.8095   208.8
0.0185      -24728.2192  -24729.0246       0.8054   207.7
0.0190      -24728.2330  -24729.0134       0.7804   201.3
0.0195      -24728.2444  -24728.9994       0.7551   194.7
0.0200      -24728.2523  -24728.9876       0.7352   189.6
0.0205      -24728.2704  -24728.9810       0.7106   183.2
0.0210      -24728.2803  -24728.9807       0.7004   180.6
0.0215      -24728.2418  -24728.9868       0.7450   192.1
0.0220      -24728.2834  -24728.9937       0.7102   183.2
0.0225      -24728.3001  -24729.0000       0.6999   180.5
0.0230      -24728.2684  -24729.0079       0.7395   190.7
0.0235      -24728.2769  -24729.0140       0.7370   190.1
0.0240      -24728.2684  -24729.0165       0.7481   192.9
0.0245      -24728.2709  -24729.0136       0.7427   191.5
0.0250      -24728.2695  -24729.0068       0.7373   190.1
0.0255      -24728.2572  -24728.9929       0.7358   189.7
0.0260      -24728.2775  -24728.9781       0.7006   180.7
0.0265      -24728.2713  -24728.9664       0.6951   179.3
0.0270      -24728.2682  -24728.9569       0.6887   177.6
0.0275      -24728.2680  -24728.9515       0.6835   176.3
0.0280      -24728.2920  -24728.9513       0.6593   170.0
0.0285      -24728.2610  -24728.9531       0.6921   178.5
0.0290      -24728.2590  -24728.9525       0.6935   178.8
0.0295      -24728.2888  -24728.9431       0.6543   168.7
0.0300      -24728.2646  -24728.9264       0.6618   170.7
0.0305      -24728.2660  -24728.9049       0.6389   164.8
0.0310      -24728.3106  -24728.8830       0.5725   147.6
0.0315      -24728.2850  -24728.8615       0.5766   148.7
0.0320      -24728.2604  -24728.8473       0.5869   151.4
0.0325      -24728.2738  -24728.8451       0.5713   147.3
0.0330      -24728.2514  -24728.8572       0.6059   156.2
0.0335      -24728.2502  -24728.8787       0.6285   162.1
0.0340      -24728.2585  -24728.9066       0.6482   167.2
0.0345      -24728.2528  -24728.9373       0.6845   176.5
0.0350      -24728.2218  -24728.9638       0.7420   191.3
0.0355      -24728.2049  -24728.9821       0.7772   200.4
0.0360      -24728.1883  -24728.9865       0.7982   205.8
0.0365      -24728.1935  -24728.9777       0.7841   202.2
0.0370      -24728.2099  -24728.9599       0.7500   193.4
0.0375      -24728.1693  -24728.9399       0.7707   198.7
0.0380      -24728.1638  -24728.9251       0.7613   196.3
0.0385      -24728.1695  -24728.9206       0.7511   193.7
0.0390      -24728.1395  -24728.9265       0.7870   202.9
0.0395      -24728.1484  -24728.9365       0.7881   203.2
0.0400      -24728.1430  -24728.9474       0.8043   207.4
0.0405      -24728.1171  -24728.9537       0.8367   215.8
0.0410      -24728.1217  -24728.9470       0.8253   212.8
0.0415      -24728.1199  -24728.9243       0.8045   207.5
0.0420      -24728.1450  -24728.8896       0.7446   192.0
0.0425      -24728.1068  -24728.8497       0.7429   191.6
0.0430      -24728.1543  -24728.8145       0.6602   170.3
0.0435      -24728.1353  -24728.7958       0.6605   170.3
0.0440      -24728.1222  -24728.7951       0.6730   173.5
0.0445      -24728.1133  -24728.8105       0.6972   179.8
0.0450      -24728.1121  -24728.8365       0.7244   186.8
0.0455      -24728.1074  -24728.8693       0.7619   196.5
0.0460      -24728.1002  -24728.8968       0.7965   205.4
0.0465      -24728.0759  -24728.9149       0.8390   216.4
0.0470      -24728.0470  -24728.9260       0.8789   226.7
0.0475      -24728.0628  -24728.9290       0.8661   223.4
0.0480      -24728.0807  -24728.9270       0.8462   218.2
0.0485      -24728.0605  -24728.9248       0.8643   222.9
0.0490      -24728.0870  -24728.9253       0.8383   216.2
0.0495      -24728.0470  -24728.9296       0.8826   227.6
0.0500      -24728.0748  -24728.9344       0.8596   221.7
0.0505      -24728.0746  -24728.9483       0.8738   225.3
0.0510      -24728.0600  -24728.9737       0.9138   235.6
0.0515      -24728.0546  -24729.0024       0.9478   244.4
0.0520      -24728.1079  -24729.0237       0.9158   236.2
0.0525      -24728.1037  -24729.0387       0.9350   241.1
0.0530      -24728.0771  -24729.0441       0.9670   249.4
0.0535      -24728.0612  -24729.0393       0.9781   252.2
0.0540      -24728.0539  -24729.0303       0.9764   251.8
0.0545      -24728.0620  -24729.0209       0.9589   247.3
0.0550      -24728.0571  -24729.0120       0.9549   246.3
0.0555      -24728.0507  -24729.0053       0.9546   246.2
0.0560      -24728.0416  -24729.0028       0.9612   247.9
0.0565      -24728.0461  -24729.0087       0.9626   248.2
0.0570      -24728.0404  -24729.0239       0.9835   253.6
0.0575      -24727.9963  -24729.0442       1.0478   270.2
0.0580      -24727.9901  -24729.0616       1.0714   276.3
0.0585      -24727.9766  -24729.0726       1.0960   282.6
0.0590      -24727.9987  -24729.0777       1.0790   278.2
0.0595      -24727.9549  -24729.0784       1.1235   289.7
0.0600      -24727.9474  -24729.0759       1.1285   291.0
0.0605      -24727.9366  -24729.0694       1.1328   292.1
0.0610      -24727.9545  -24729.0611       1.1066   285.4
0.0615      -24727.9405  -24729.0522       1.1117   286.7
0.0620      -24727.9497  -24729.0482       1.0985   283.3
0.0625      -24727.9502  -24729.0511       1.1008   283.9
0.0630      -24727.9937  -24729.0561       1.0623   274.0
0.0635      -24728.0079  -24729.0609       1.0530   271.5
0.0640      -24727.9992  -24729.0612       1.0620   273.9
0.0645      -24728.0126  -24729.0525       1.0399   268.2
0.0650      -24728.0021  -24729.0333       1.0312   265.9
0.0655      -24727.9961  -24729.0117       1.0156   261.9
0.0660      -24728.0122  -24728.9909       0.9787   252.4
0.0665      -24728.0079  -24728.9761       0.9682   249.7
0.0670      -24728.0034  -24728.9671       0.9637   248.5
0.0675      -24728.0089  -24728.9639       0.9550   246.3
0.0680      -24728.0159  -24728.9655       0.9496   244.9
0.0685      -24728.0633  -24728.9708       0.9075   234.0
0.0690      -24728.0956  -24728.9794       0.8838   227.9
0.0695      -24728.1242  -24728.9927       0.8685   224.0
0.0700      -24728.1221  -24729.0085       0.8864   228.6
0.0705      -24728.0811  -24729.0248       0.9437   243.4
0.0710      -24728.0618  -24729.0371       0.9752   251.5
0.0715      -24728.0631  -24729.0466       0.9836   253.6
0.0720      -24728.0280  -24729.0540       1.0261   264.6
0.0725      -24728.0400  -24729.0588       1.0189   262.7
0.0730      -24728.0451  -24729.0597       1.0146   261.6
0.0735      -24728.0346  -24729.0608       1.0262   264.6
0.0740      -24728.0557  -24729.0649       1.0092   260.3
0.0745      -24728.0625  -24729.0687       1.0062   259.5
0.0750      -24728.0723  -24729.0753       1.0030   258.7
0.0755      -24728.0714  -24729.0837       1.0123   261.0
0.0760      -24728.0879  -24729.0900       1.0021   258.4
0.0765      -24727.9973  -24729.0865       1.0892   280.9
0.0770      -24728.0135  -24729.0645       1.0511   271.0
0.0775      -24728.0039  -24729.0220       1.0181   262.6
0.0780      -24727.9815  -24728.9599       0.9784   252.3
0.0785      -24728.0046  -24728.8910       0.8864   228.6
0.0790      -24728.0014  -24728.8287       0.8273   213.3
0.0795      -24728.0193  -24728.7839       0.7646   197.2
0.0800      -24728.0175  -24728.7636       0.7461   192.4
0.0805      -24727.9956  -24728.7644       0.7688   198.3
0.0810      -24728.0400  -24728.7727       0.7327   188.9
0.0815      -24728.0536  -24728.7840       0.7304   188.4
0.0820      -24728.0716  -24728.7928       0.7212   186.0
0.0825      -24728.0688  -24728.7987       0.7299   188.2
0.0830      -24728.0707  -24728.8010       0.7303   188.3
0.0835      -24728.0707  -24728.7990       0.7282   187.8
0.0840      -24728.0321  -24728.7960       0.7639   197.0
0.0845      -24728.0232  -24728.7934       0.7702   198.6
0.0850      -24728.0420  -24728.7928       0.7508   193.6
0.0855      -24728.0573  -24728.8007       0.7434   191.7
0.0860      -24728.0393  -24728.8157       0.7764   200.2
0.0865      -24728.0597  -24728.8375       0.7779   200.6
0.0870      -24728.0664  -24728.8695       0.8030   207.1
0.0875      -24728.0535  -24728.9059       0.8524   219.8
0.0880      -24728.0850  -24728.9417       0.8567   220.9
0.0885      -24728.1165  -24728.9691       0.8526   219.9
0.0890      -24728.1398  -24728.9848       0.8450   217.9
0.0895      -24728.0915  -24728.9824       0.8909   229.7
0.0900      -24728.1191  -24728.9601       0.8411   216.9
0.0905      -24728.1332  -24728.9250       0.7918   204.2
0.0910      -24728.1569  -24728.8881       0.7312   188.6
0.0915      -24728.1373  -24728.8601       0.7228   186.4
0.0920      -24728.1397  -24728.8495       0.7097   183.0
0.0925      -24728.1235  -24728.8544       0.7309   188.5
0.0930      -24728.1299  -24728.8756       0.7457   192.3
0.0935      -24728.1122  -24728.9066       0.7944   204.9
0.0940      -24728.0967  -24728.9384       0.8417   217.1
0.0945      -24728.0493  -24728.9612       0.9119   235.1
0.0950      -24728.0504  -24728.9704       0.9200   237.3
0.0955      -24728.0799  -24728.9630       0.8830   227.7
0.0960      -24728.0653  -24728.9458       0.8805   227.1
0.0965      -24728.0507  -24728.9210       0.8703   224.4
0.0970      -24728.0725  -24728.8943       0.8218   211.9
0.0975      -24728.0617  -24728.8770       0.8153   210.2
0.0980      -24728.0459  -24728.8789       0.8330   214.8
0.0985      -24728.0037  -24728.9090       0.9052   233.4
0.0990      -24727.9673  -24728.9527       0.9855   254.1
0.0995      -24727.9692  -24729.0005       1.0313   266.0
0.1000      -24727.9267  -24729.0421       1.1155   287.7
0.1005      -24727.9111  -24729.0604       1.1493   296.4
0.1010      -24727.9164  -24729.0501       1.1337   292.4
0.1015      -24727.9073  -24729.0074       1.1001   283.7
0.1020      -24727.9433  -24728.9421       0.9988   257.6
0.1025      -24727.9892  -24728.8766       0.8874   228.8
0.1030      -24727.9911  -24728.8318       0.8407   216.8
0.1035      -24727.9910  -24728.8191       0.8281   213.5
0.1040      -24728.0312  -24728.8375       0.8063   207.9
0.1045      -24728.0244  -24728.8765       0.8521   219.7
0.1050      -24728.0167  -24728.9215       0.9048   233.3
0.1055      -24728.0073  -24728.9609       0.9536   245.9
0.1060      -24727.9770  -24728.9826       1.0056   259.3
0.1065      -24727.9756  -24728.9793       1.0037   258.8
0.1070      -24727.9326  -24728.9511       1.0184   262.6
0.1075      -24727.9575  -24728.9135       0.9560   246.5
0.1080      -24727.9778  -24728.8774       0.8996   232.0
0.1085      -24728.0076  -24728.8562       0.8486   218.8
0.1090      -24728.0016  -24728.8567       0.8551   220.5
0.1095      -24727.9822  -24728.8746       0.8923   230.1
0.1100      -24727.9420  -24728.9119       0.9699   250.1
0.1105      -24727.9464  -24728.9583       1.0119   260.9
0.1110      -24727.9651  -24728.9977       1.0326   266.3
0.1115      -24727.9821  -24729.0157       1.0336   266.5
0.1120      -24727.9618  -24729.0100       1.0482   270.3
0.1125      -24727.9969  -24728.9791       0.9822   253.3
0.1130      -24727.9532  -24728.9286       0.9754   251.5
0.1135      -24727.9310  -24728.8703       0.9392   242.2
0.1140      -24727.9172  -24728.8233       0.9062   233.7
0.1145      -24727.9505  -24728.7989       0.8484   218.8
0.1150      -24727.9587  -24728.8078       0.8492   219.0
0.1155      -24727.9916  -24728.8459       0.8543   220.3
0.1160      -24727.9711  -24728.8993       0.9282   239.4
0.1165      -24727.9879  -24728.9568       0.9689   249.9
0.1170      -24727.9894  -24729.0070       1.0176   262.4
0.1175      -24727.9786  -24729.0390       1.0604   273.5
0.1180      -24728.0015  -24729.0476       1.0462   269.8
0.1185      -24728.0224  -24729.0374       1.0150   261.8
0.1190      -24728.0135  -24729.0132       0.9997   257.8
0.1195      -24728.0406  -24728.9835       0.9429   243.1
0.1200      -24728.0104  -24728.9669       0.9565   246.7
0.1205      -24728.0221  -24728.9738       0.9517   245.4
0.1210      -24728.0330  -24729.0017       0.9687   249.8
0.1215      -24728.0289  -24729.0392       1.0103   260.5
0.1220      -24728.0296  -24729.0751       1.0456   269.6
0.1225      -24728.0359  -24729.0965       1.0606   273.5
0.1230      -24728.0350  -24729.0930       1.0580   272.8
0.1235      -24728.0014  -24729.0645       1.0631   274.2
0.1240      -24727.9955  -24729.0185       1.0230   263.8
0.1245      -24727.9888  -24728.9676       0.9788   252.4
0.1250      -24727.9863  -24728.9233       0.9370   241.6
0.1255      -24727.9809  -24728.8946       0.9136   235.6
0.1260      -24728.0153  -24728.8833       0.8680   223.8
0.1265      -24727.9829  -24728.8838       0.9009   232.3
0.1270      -24727.9715  -24728.8878       0.9163   236.3
0.1275      -24728.0322  -24728.8906       0.8583   221.3
0.1280      -24728.0505  -24728.8929       0.8423   217.2
0.1285      -24728.0561  -24728.8978       0.8416   217.0
0.1290      -24728.0844  -24728.9052       0.8208   211.7
0.1295      -24728.0676  -24728.9105       0.8430   217.4
0.1300      -24728.0644  -24728.9094       0.8450   217.9
0.1305      -24728.0965  -24728.9051       0.8086   208.5
0.1310      -24728.1215  -24728.9060       0.7845   202.3
0.1315      -24728.1023  -24728.9121       0.8099   208.8
0.1320      -24728.1070  -24728.9213       0.8143   210.0
0.1325      -24728.0847  -24728.9340       0.8493   219.0
0.1330      -24728.0969  -24728.9440       0.8471   218.4
0.1335      -24728.0694  -24728.9417       0.8723   225.0
0.1340      -24728.0770  -24728.9326       0.8556   220.6
0.1345      -24728.0547  -24728.9202       0.8656   223.2
0.1350      -24728.0673  -24728.9092       0.8419   217.1
0.1355      -24728.0758  -24728.9044       0.8286   213.7
0.1360      -24728.0761  -24728.9139       0.8378   216.1
0.1365      -24728.0879  -24728.9398       0.8519   219.7
0.1370      -24728.0730  -24728.9731       0.9001   232.1
0.1375      -24728.0814  -24729.0038       0.9224   237.9
0.1380      -24728.0564  -24729.0183       0.9619   248.0
0.1385      -24728.0746  -24729.0082       0.9336   240.8
0.1390      -24728.0448  -24728.9692       0.9244   238.4
0.1395      -24728.0423  -24728.9124       0.8702   224.4
0.1400      -24728.0621  -24728.8604       0.7982   205.9
0.1405      -24728.0726  -24728.8288       0.7562   195.0
0.1410      -24728.0716  -24728.8264       0.7548   194.7
0.1415      -24728.0819  -24728.8525       0.7707   198.7
0.1420      -24728.0859  -24728.9025       0.8166   210.6
0.1425      -24728.0900  -24728.9566       0.8666   223.5
0.1430      -24728.1029  -24728.9977       0.8949   230.8
0.1435      -24728.1037  -24729.0045       0.9008   232.3
0.1440      -24728.1223  -24728.9735       0.8511   219.5
0.1445      -24728.1244  -24728.9178       0.7934   204.6
0.1450      -24728.0997  -24728.8584       0.7586   195.6
0.1455      -24728.0933  -24728.8037       0.7105   183.2
0.1460      -24728.1115  -24728.7679       0.6564   169.3
