Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.2574  -24729.2574       0.0000     0.0
0.0005      -24729.2434  -24729.2586       0.0152     3.9
0.0010      -24729.2345  -24729.2614       0.0269     6.9
0.0015      -24729.2086  -24729.2656       0.0570    14.7
0.0020      -24729.2041  -24729.2697       0.0656    16.9
0.0025      -24729.2051  -24729.2728       0.0677    17.5
0.0030      -24729.1950  -24729.2757       0.0807    20.8
0.0035      -24729.1825  -24729.2791       0.0967    24.9
0.0040      -24729.1805  -24729.2830       0.1025    26.4
0.0045      -24729.1752  -24729.2880       0.1128    29.1
0.0050      -24729.1760  -24729.2947       0.1187    30.6
0.0055      -24729.1773  -24729.3013       0.1240    32.0
0.0060      -24729.1572  -24729.3074       0.1501    38.7
0.0065      -24729.1484  -24729.3114       0.1630    42.0
0.0070      -24729.1253  -24729.3131       0.1878    48.4
0.0075      -24729.1062  -24729.3125       0.2063    53.2
0.0080      -24729.1103  -24729.3095       0.1992    51.4
0.0085      -24729.1060  -24729.3054       0.1994    51.4
0.0090      -24729.1088  -24729.2999       0.1912    49.3
0.0095      -24729.1084  -24729.2964       0.1880    48.5
0.0100      -24729.0875  -24729.2929       0.2054    53.0
0.0105      -24729.0872  -24729.2897       0.2026    52.2
0.0110      -24729.0783  -24729.2886       0.2102    54.2
0.0115      -24729.0498  -24729.2864       0.2366    61.0
0.0120      -24729.0322  -24729.2828       0.2506    64.6
0.0125      -24729.0118  -24729.2779       0.2661    68.6
0.0130      -24729.0006  -24729.2723       0.2717    70.1
0.0135      -24728.9929  -24729.2652       0.2723    70.2
0.0140      -24728.9926  -24729.2591       0.2665    68.7
0.0145      -24728.9714  -24729.2536       0.2822    72.8
0.0150      -24728.9713  -24729.2494       0.2781    71.7
0.0155      -24728.9567  -24729.2469       0.2903    74.9
0.0160      -24728.9574  -24729.2444       0.2871    74.0
0.0165      -24728.9720  -24729.2393       0.2674    68.9
0.0170      -24728.9619  -24729.2347       0.2727    70.3
0.0175      -24728.9526  -24729.2293       0.2767    71.3
0.0180      -24728.9653  -24729.2229       0.2575    66.4
0.0185      -24728.9791  -24729.2180       0.2389    61.6
0.0190      -24728.9690  -24729.2160       0.2470    63.7
0.0195      -24728.9540  -24729.2191       0.2650    68.3
0.0200      -24728.9390  -24729.2230       0.2840    73.2
0.0205      -24728.9128  -24729.2271       0.3143    81.1
0.0210      -24728.9024  -24729.2298       0.3274    84.4
0.0215      -24728.8981  -24729.2298       0.3317    85.5
0.0220      -24728.8780  -24729.2289       0.3509    90.5
0.0225      -24728.8774  -24729.2278       0.3503    90.3
0.0230      -24728.8186  -24729.2243       0.4057   104.6
0.0235      -24728.7850  -24729.2170       0.4320   111.4
0.0240      -24728.7697  -24729.2072       0.4375   112.8
0.0245      -24728.7561  -24729.1966       0.4405   113.6
0.0250      -24728.7548  -24729.1852       0.4304   111.0
0.0255      -24728.7670  -24729.1742       0.4071   105.0
0.0260      -24728.7641  -24729.1633       0.3992   102.9
0.0265      -24728.7558  -24729.1537       0.3979   102.6
0.0270      -24728.7594  -24729.1471       0.3877   100.0
0.0275      -24728.7345  -24729.1389       0.4045   104.3
0.0280      -24728.6904  -24729.1274       0.4371   112.7
0.0285      -24728.6894  -24729.1156       0.4261   109.9
0.0290      -24728.6799  -24729.1063       0.4264   110.0
0.0295      -24728.6187  -24729.0963       0.4776   123.2
0.0300      -24728.6143  -24729.0837       0.4694   121.1
0.0305      -24728.5947  -24729.0701       0.4754   122.6
0.0310      -24728.5648  -24729.0620       0.4972   128.2
0.0315      -24728.5384  -24729.0605       0.5221   134.6
0.0320      -24728.5509  -24729.0665       0.5156   133.0
0.0325      -24728.5625  -24729.0744       0.5118   132.0
0.0330      -24728.5372  -24729.0803       0.5431   140.1
0.0335      -24728.5361  -24729.0827       0.5466   141.0
0.0340      -24728.5380  -24729.0821       0.5442   140.3
0.0345      -24728.5180  -24729.0802       0.5622   145.0
0.0350      -24728.5035  -24729.0797       0.5762   148.6
0.0355      -24728.5167  -24729.0836       0.5669   146.2
0.0360      -24728.5227  -24729.0912       0.5686   146.6
0.0365      -24728.5272  -24729.0979       0.5707   147.2
0.0370      -24728.5370  -24729.0991       0.5621   144.9
0.0375      -24728.5324  -24729.0942       0.5618   144.9
0.0380      -24728.5171  -24729.0864       0.5694   146.8
0.0385      -24728.5148  -24729.0812       0.5664   146.1
0.0390      -24728.5012  -24729.0727       0.5715   147.4
0.0395      -24728.4984  -24729.0576       0.5592   144.2
0.0400      -24728.4762  -24729.0407       0.5645   145.6
0.0405      -24728.4591  -24729.0249       0.5658   145.9
0.0410      -24728.4555  -24729.0178       0.5623   145.0
0.0415      -24728.4695  -24729.0213       0.5518   142.3
0.0420      -24728.4502  -24729.0342       0.5840   150.6
0.0425      -24728.4413  -24729.0499       0.6086   156.9
0.0430      -24728.4550  -24729.0600       0.6050   156.0
0.0435      -24728.4681  -24729.0585       0.5904   152.3
0.0440      -24728.4566  -24729.0434       0.5868   151.3
0.0445      -24728.4800  -24729.0224       0.5424   139.9
0.0450      -24728.4568  -24729.0005       0.5437   140.2
0.0455      -24728.4286  -24728.9851       0.5565   143.5
0.0460      -24728.4057  -24728.9767       0.5710   147.3
0.0465      -24728.4176  -24728.9745       0.5570   143.6
0.0470      -24728.4025  -24728.9765       0.5740   148.0
0.0475      -24728.4051  -24728.9828       0.5777   149.0
0.0480      -24728.4043  -24728.9881       0.5838   150.5
0.0485      -24728.3727  -24728.9907       0.6180   159.4
0.0490      -24728.3932  -24728.9878       0.5946   153.3
0.0495      -24728.3924  -24728.9770       0.5846   150.7
0.0500      -24728.3811  -24728.9561       0.5750   148.3
0.0505      -24728.3796  -24728.9258       0.5462   140.9
0.0510      -24728.3391  -24728.8912       0.5521   142.4
0.0515      -24728.3397  -24728.8619       0.5221   134.6
0.0520      -24728.3245  -24728.8458       0.5213   134.4
0.0525      -24728.3288  -24728.8454       0.5166   133.2
0.0530      -24728.3132  -24728.8568       0.5436   140.2
0.0535      -24728.3334  -24728.8779       0.5445   140.4
0.0540      -24728.3347  -24728.9018       0.5670   146.2
0.0545      -24728.3563  -24728.9270       0.5707   147.2
0.0550      -24728.3432  -24728.9511       0.6079   156.8
0.0555      -24728.3604  -24728.9727       0.6123   157.9
0.0560      -24728.3695  -24728.9956       0.6261   161.5
0.0565      -24728.3608  -24729.0175       0.6567   169.4
0.0570      -24728.3182  -24729.0312       0.7130   183.9
0.0575      -24728.3171  -24729.0382       0.7211   186.0
0.0580      -24728.3256  -24729.0431       0.7176   185.0
0.0585      -24728.3102  -24729.0467       0.7365   189.9
0.0590      -24728.2819  -24729.0507       0.7688   198.3
0.0595      -24728.3231  -24729.0537       0.7305   188.4
0.0600      -24728.3052  -24729.0572       0.7519   193.9
0.0605      -24728.3053  -24729.0564       0.7511   193.7
0.0610      -24728.3361  -24729.0526       0.7165   184.8
0.0615      -24728.3603  -24729.0418       0.6815   175.7
0.0620      -24728.3639  -24729.0250       0.6611   170.5
0.0625      -24728.3630  -24729.0036       0.6406   165.2
0.0630      -24728.3670  -24728.9798       0.6128   158.0
0.0635      -24728.3511  -24728.9595       0.6084   156.9
0.0640      -24728.3521  -24728.9401       0.5881   151.6
0.0645      -24728.3471  -24728.9266       0.5795   149.4
0.0650      -24728.3472  -24728.9212       0.5740   148.0
0.0655      -24728.3393  -24728.9212       0.5819   150.0
0.0660      -24728.3318  -24728.9290       0.5972   154.0
0.0665      -24728.3154  -24728.9432       0.6278   161.9
0.0670      -24728.3191  -24728.9629       0.6438   166.0
0.0675      -24728.3184  -24728.9865       0.6681   172.3
0.0680      -24728.3467  -24729.0115       0.6649   171.5
0.0685      -24728.3439  -24729.0345       0.6906   178.1
0.0690      -24728.3210  -24729.0505       0.7295   188.1
0.0695      -24728.2975  -24729.0573       0.7598   195.9
0.0700      -24728.3235  -24729.0540       0.7305   188.4
0.0705      -24728.3409  -24729.0448       0.7039   181.5
0.0710      -24728.3013  -24729.0328       0.7315   188.6
0.0715      -24728.2831  -24729.0196       0.7365   189.9
0.0720      -24728.2838  -24729.0061       0.7223   186.3
0.0725      -24728.2735  -24728.9973       0.7237   186.6
0.0730      -24728.3087  -24728.9965       0.6878   177.4
0.0735      -24728.3020  -24728.9979       0.6959   179.5
0.0740      -24728.2733  -24728.9994       0.7261   187.2
0.0745      -24728.2969  -24728.9954       0.6985   180.1
0.0750      -24728.3110  -24728.9891       0.6781   174.9
0.0755      -24728.3051  -24728.9802       0.6751   174.1
0.0760      -24728.2951  -24728.9698       0.6746   174.0
0.0765      -24728.2783  -24728.9540       0.6758   174.3
0.0770      -24728.2761  -24728.9316       0.6555   169.0
0.0775      -24728.2358  -24728.9138       0.6780   174.9
0.0780      -24728.2459  -24728.9054       0.6595   170.1
0.0785      -24728.2259  -24728.9099       0.6841   176.4
0.0790      -24728.2702  -24728.9326       0.6624   170.8
0.0795      -24728.2836  -24728.9667       0.6831   176.1
0.0800      -24728.3039  -24729.0037       0.6998   180.5
0.0805      -24728.3369  -24729.0382       0.7013   180.8
0.0810      -24728.3518  -24729.0703       0.7185   185.3
0.0815      -24728.3662  -24729.0955       0.7293   188.1
0.0820      -24728.4047  -24729.1110       0.7064   182.2
0.0825      -24728.3838  -24729.1159       0.7321   188.8
0.0830      -24728.3805  -24729.1143       0.7338   189.2
0.0835      -24728.4077  -24729.1093       0.7017   180.9
0.0840      -24728.3941  -24729.1046       0.7106   183.2
0.0845      -24728.4065  -24729.1018       0.6953   179.3
0.0850      -24728.3672  -24729.1074       0.7401   190.9
0.0855      -24728.3823  -24729.1268       0.7444   192.0
0.0860      -24728.3992  -24729.1568       0.7576   195.4
0.0865      -24728.3959  -24729.1866       0.7906   203.9
0.0870      -24728.3721  -24729.2029       0.8308   214.3
0.0875      -24728.3476  -24729.1933       0.8457   218.1
0.0880      -24728.3359  -24729.1546       0.8187   211.1
0.0885      -24728.3165  -24729.0932       0.7766   200.3
0.0890      -24728.2893  -24729.0227       0.7334   189.1
0.0895      -24728.3176  -24728.9660       0.6484   167.2
0.0900      -24728.3261  -24728.9341       0.6080   156.8
0.0905      -24728.3488  -24728.9309       0.5822   150.1
0.0910      -24728.3318  -24728.9500       0.6182   159.4
0.0915      -24728.3338  -24728.9840       0.6502   167.7
0.0920      -24728.3307  -24729.0218       0.6911   178.2
0.0925      -24728.3242  -24729.0555       0.7314   188.6
0.0930      -24728.2973  -24729.0761       0.7789   200.9
0.0935      -24728.3136  -24729.0814       0.7678   198.0
0.0940      -24728.2881  -24729.0720       0.7839   202.1
0.0945      -24728.2783  -24729.0558       0.7775   200.5
0.0950      -24728.2847  -24729.0411       0.7564   195.0
0.0955      -24728.2778  -24729.0337       0.7559   194.9
0.0960      -24728.2920  -24729.0402       0.7482   192.9
0.0965      -24728.2450  -24729.0598       0.8148   210.1
0.0970      -24728.2319  -24729.0857       0.8538   220.2
0.0975      -24728.2167  -24729.1107       0.8940   230.5
0.0980      -24728.2202  -24729.1253       0.9051   233.4
0.0985      -24728.2368  -24729.1266       0.8898   229.5
0.0990      -24728.2755  -24729.1139       0.8384   216.2
0.0995      -24728.2784  -24729.0931       0.8146   210.1
0.1000      -24728.2416  -24729.0637       0.8221   212.0
0.1005      -24728.2478  -24729.0278       0.7800   201.2
0.1010      -24728.2567  -24728.9926       0.7359   189.8
0.1015      -24728.2429  -24728.9636       0.7207   185.9
0.1020      -24728.2468  -24728.9458       0.6990   180.3
0.1025      -24728.2465  -24728.9404       0.6939   178.9
0.1030      -24728.2466  -24728.9472       0.7006   180.7
0.1035      -24728.1791  -24728.9554       0.7762   200.2
0.1040      -24728.1766  -24728.9602       0.7835   202.1
0.1045      -24728.1957  -24728.9631       0.7674   197.9
0.1050      -24728.1971  -24728.9661       0.7690   198.3
0.1055      -24728.1858  -24728.9726       0.7868   202.9
0.1060      -24728.1985  -24728.9865       0.7880   203.2
0.1065      -24728.1675  -24729.0053       0.8378   216.0
0.1070      -24728.1668  -24729.0216       0.8548   220.4
0.1075      -24728.1283  -24729.0312       0.9029   232.8
0.1080      -24728.0830  -24729.0297       0.9466   244.1
0.1085      -24728.0280  -24729.0173       0.9893   255.1
0.1090      -24728.0688  -24729.0031       0.9343   240.9
0.1095      -24728.0816  -24728.9977       0.9161   236.2
0.1100      -24728.0481  -24729.0037       0.9556   246.4
0.1105      -24728.0561  -24729.0212       0.9651   248.9
0.1110      -24728.0165  -24729.0445       1.0280   265.1
0.1115      -24728.0037  -24729.0664       1.0627   274.0
0.1120      -24727.9896  -24729.0812       1.0916   281.5
0.1125      -24727.9726  -24729.0846       1.1121   286.8
0.1130      -24727.9628  -24729.0752       1.1124   286.9
0.1135      -24727.8709  -24729.0504       1.1795   304.2
0.1140      -24727.8619  -24729.0076       1.1457   295.5
0.1145      -24727.8776  -24728.9544       1.0769   277.7
0.1150      -24727.8823  -24728.9016       1.0193   262.9
0.1155      -24727.8796  -24728.8555       0.9759   251.7
0.1160      -24727.8340  -24728.8217       0.9876   254.7
0.1165      -24727.8512  -24728.8104       0.9592   247.3
0.1170      -24727.8767  -24728.8164       0.9396   242.3
0.1175      -24727.8831  -24728.8323       0.9492   244.8
0.1180      -24727.8855  -24728.8503       0.9648   248.8
0.1185      -24727.8556  -24728.8619       1.0063   259.5
0.1190      -24727.8381  -24728.8566       1.0185   262.6
0.1195      -24727.8591  -24728.8320       0.9729   250.9
0.1200      -24727.8813  -24728.7970       0.9157   236.1
0.1205      -24727.8721  -24728.7667       0.8946   230.7
0.1210      -24727.8491  -24728.7524       0.9033   232.9
0.1215      -24727.8596  -24728.7593       0.8997   232.0
