Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4183.4391   -4183.4391       0.0000     0.0
0.0005       -4183.4350   -4183.4409       0.0059     6.5
0.0010       -4183.4357   -4183.4463       0.0106    11.7
0.0015       -4183.4323   -4183.4552       0.0229    25.4
0.0020       -4183.4273   -4183.4673       0.0400    44.2
0.0025       -4183.4240   -4183.4818       0.0578    63.9
0.0030       -4183.4121   -4183.4994       0.0872    96.4
0.0035       -4183.4081   -4183.5178       0.1097   121.2
0.0040       -4183.4137   -4183.5358       0.1221   134.9
0.0045       -4183.4100   -4183.5542       0.1442   159.4
0.0050       -4183.4161   -4183.5720       0.1559   172.3
0.0055       -4183.4292   -4183.5883       0.1591   175.9
0.0060       -4183.4575   -4183.6023       0.1447   160.0
0.0065       -4183.4783   -4183.6140       0.1357   149.9
0.0070       -4183.4767   -4183.6233       0.1466   162.0
0.0075       -4183.4668   -4183.6299       0.1631   180.2
0.0080       -4183.4644   -4183.6323       0.1678   185.5
0.0085       -4183.4551   -4183.6316       0.1765   195.0
0.0090       -4183.4468   -4183.6275       0.1808   199.8
0.0095       -4183.4481   -4183.6225       0.1744   192.8
0.0100       -4183.4457   -4183.6163       0.1706   188.5
0.0105       -4183.4380   -4183.6096       0.1716   189.7
0.0110       -4183.4351   -4183.6039       0.1688   186.5
0.0115       -4183.4161   -4183.6017       0.1856   205.2
0.0120       -4183.4183   -4183.6009       0.1826   201.8
0.0125       -4183.4141   -4183.6008       0.1867   206.3
0.0130       -4183.4124   -4183.6034       0.1910   211.1
0.0135       -4183.3912   -4183.6058       0.2146   237.1
0.0140       -4183.3821   -4183.6098       0.2277   251.7
0.0145       -4183.3540   -4183.6162       0.2623   289.8
0.0150       -4183.3346   -4183.6234       0.2887   319.1
0.0155       -4183.3274   -4183.6291       0.3017   333.4
0.0160       -4183.3075   -4183.6323       0.3247   358.9
0.0165       -4183.2699   -4183.6332       0.3633   401.6
0.0170       -4183.2881   -4183.6328       0.3447   381.0
0.0175       -4183.2705   -4183.6339       0.3634   401.6
0.0180       -4183.2616   -4183.6363       0.3747   414.1
0.0185       -4183.2659   -4183.6378       0.3719   411.0
0.0190       -4183.2414   -4183.6374       0.3960   437.7
0.0195       -4183.2198   -4183.6357       0.4159   459.7
0.0200       -4183.1949   -4183.6318       0.4370   482.9
0.0205       -4183.2205   -4183.6281       0.4076   450.4
0.0210       -4183.2192   -4183.6240       0.4048   447.4
0.0215       -4183.2325   -4183.6200       0.3875   428.3
0.0220       -4183.2578   -4183.6163       0.3586   396.3
0.0225       -4183.2841   -4183.6161       0.3319   366.9
0.0230       -4183.2675   -4183.6205       0.3530   390.1
0.0235       -4183.2818   -4183.6264       0.3447   380.9
0.0240       -4183.2674   -4183.6353       0.3679   406.6
0.0245       -4183.2962   -4183.6512       0.3549   392.3
0.0250       -4183.2945   -4183.6723       0.3777   417.4
0.0255       -4183.2935   -4183.6972       0.4037   446.2
0.0260       -4183.2980   -4183.7224       0.4244   469.0
0.0265       -4183.2877   -4183.7439       0.4562   504.2
0.0270       -4183.3313   -4183.7595       0.4281   473.2
0.0275       -4183.3627   -4183.7675       0.4048   447.4
0.0280       -4183.3547   -4183.7704       0.4157   459.4
0.0285       -4183.3525   -4183.7675       0.4150   458.7
0.0290       -4183.4014   -4183.7597       0.3582   395.9
0.0295       -4183.4051   -4183.7491       0.3440   380.2
0.0300       -4183.4236   -4183.7400       0.3163   349.6
0.0305       -4183.4220   -4183.7309       0.3089   341.4
0.0310       -4183.4301   -4183.7230       0.2929   323.8
0.0315       -4183.4378   -4183.7154       0.2776   306.8
0.0320       -4183.4109   -4183.7058       0.2949   325.9
0.0325       -4183.4062   -4183.6917       0.2854   315.5
0.0330       -4183.4232   -4183.6716       0.2483   274.4
0.0335       -4183.4174   -4183.6465       0.2291   253.2
0.0340       -4183.4100   -4183.6183       0.2083   230.2
0.0345       -4183.4122   -4183.5929       0.1807   199.7
0.0350       -4183.4165   -4183.5724       0.1560   172.4
0.0355       -4183.4033   -4183.5577       0.1544   170.7
0.0360       -4183.3984   -4183.5515       0.1530   169.1
0.0365       -4183.4046   -4183.5523       0.1477   163.3
0.0370       -4183.4003   -4183.5563       0.1560   172.4
0.0375       -4183.4001   -4183.5621       0.1620   179.0
0.0380       -4183.3907   -4183.5677       0.1770   195.6
0.0385       -4183.4159   -4183.5727       0.1568   173.3
0.0390       -4183.4088   -4183.5774       0.1686   186.3
0.0395       -4183.4059   -4183.5833       0.1774   196.0
0.0400       -4183.3914   -4183.5910       0.1997   220.7
0.0405       -4183.3991   -4183.5994       0.2003   221.4
0.0410       -4183.4133   -4183.6055       0.1922   212.4
0.0415       -4183.4090   -4183.6077       0.1987   219.6
0.0420       -4183.3856   -4183.6053       0.2197   242.9
