Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1746  -24729.1746       0.0000     0.0
0.0005      -24729.1678  -24729.1863       0.0185     4.8
0.0010      -24729.1650  -24729.2158       0.0508    13.1
0.0015      -24729.1517  -24729.2604       0.1088    28.0
0.0020      -24729.1429  -24729.3105       0.1676    43.2
0.0025      -24729.1216  -24729.3453       0.2237    57.7
0.0030      -24729.1019  -24729.3395       0.2376    61.3
0.0035      -24729.0970  -24729.2952       0.1983    51.1
0.0040      -24729.0747  -24729.2365       0.1618    41.7
0.0045      -24729.0699  -24729.1891       0.1191    30.7
0.0050      -24729.0512  -24729.1701       0.1189    30.7
0.0055      -24729.0290  -24729.1860       0.1570    40.5
0.0060      -24729.0308  -24729.2251       0.1943    50.1
0.0065      -24729.0193  -24729.2691       0.2498    64.4
0.0070      -24729.0139  -24729.2932       0.2793    72.0
0.0075      -24729.0336  -24729.2843       0.2506    64.6
0.0080      -24729.0448  -24729.2509       0.2060    53.1
0.0085      -24729.0213  -24729.2103       0.1890    48.7
0.0090      -24729.0009  -24729.1761       0.1752    45.2
0.0095      -24729.0051  -24729.1606       0.1555    40.1
0.0100      -24728.9806  -24729.1688       0.1881    48.5
0.0105      -24728.9803  -24729.1957       0.2154    55.6
0.0110      -24728.9904  -24729.2314       0.2411    62.2
0.0115      -24728.9852  -24729.2577       0.2725    70.3
0.0120      -24728.9860  -24729.2615       0.2755    71.0
0.0125      -24728.9853  -24729.2396       0.2543    65.6
0.0130      -24728.9834  -24729.2056       0.2222    57.3
0.0135      -24728.9479  -24729.1719       0.2240    57.8
0.0140      -24728.9445  -24729.1500       0.2055    53.0
0.0145      -24728.9356  -24729.1465       0.2109    54.4
0.0150      -24728.9524  -24729.1628       0.2104    54.3
0.0155      -24728.9432  -24729.1882       0.2450    63.2
0.0160      -24728.9495  -24729.2120       0.2625    67.7
0.0165      -24728.9467  -24729.2252       0.2785    71.8
0.0170      -24728.9453  -24729.2242       0.2788    71.9
0.0175      -24728.9241  -24729.2101       0.2860    73.8
0.0180      -24728.9259  -24729.1888       0.2629    67.8
0.0185      -24728.9286  -24729.1667       0.2381    61.4
0.0190      -24728.9001  -24729.1553       0.2553    65.8
0.0195      -24728.8882  -24729.1522       0.2640    68.1
0.0200      -24728.8713  -24729.1530       0.2816    72.6
0.0205      -24728.8581  -24729.1556       0.2975    76.7
0.0210      -24728.8720  -24729.1640       0.2920    75.3
0.0215      -24728.8535  -24729.1743       0.3208    82.7
0.0220      -24728.8375  -24729.1774       0.3399    87.7
0.0225      -24728.8016  -24729.1713       0.3697    95.3
0.0230      -24728.7630  -24729.1580       0.3949   101.8
0.0235      -24728.7568  -24729.1412       0.3844    99.1
0.0240      -24728.7677  -24729.1215       0.3539    91.3
0.0245      -24728.7461  -24729.1061       0.3600    92.8
0.0250      -24728.7204  -24729.0951       0.3747    96.6
0.0255      -24728.7108  -24729.0866       0.3758    96.9
0.0260      -24728.6999  -24729.0812       0.3813    98.3
0.0265      -24728.6846  -24729.0753       0.3906   100.7
0.0270      -24728.6773  -24729.0683       0.3910   100.8
0.0275      -24728.6716  -24729.0582       0.3866    99.7
0.0280      -24728.6563  -24729.0486       0.3923   101.2
0.0285      -24728.6404  -24729.0404       0.4000   103.1
0.0290      -24728.6597  -24729.0353       0.3757    96.9
0.0295      -24728.6524  -24729.0358       0.3834    98.9
0.0300      -24728.6491  -24729.0384       0.3893   100.4
0.0305      -24728.6234  -24729.0384       0.4150   107.0
0.0310      -24728.6298  -24729.0367       0.4070   105.0
0.0315      -24728.6131  -24729.0370       0.4239   109.3
0.0320      -24728.6148  -24729.0358       0.4210   108.6
0.0325      -24728.6126  -24729.0314       0.4188   108.0
0.0330      -24728.6170  -24729.0236       0.4066   104.9
0.0335      -24728.6006  -24729.0144       0.4138   106.7
0.0340      -24728.5831  -24729.0071       0.4240   109.3
0.0345      -24728.5827  -24729.0015       0.4189   108.0
0.0350      -24728.5579  -24728.9979       0.4400   113.5
0.0355      -24728.5802  -24728.9941       0.4138   106.7
0.0360      -24728.5793  -24728.9863       0.4070   104.9
0.0365      -24728.5930  -24728.9775       0.3844    99.1
0.0370      -24728.5907  -24728.9656       0.3749    96.7
0.0375      -24728.5679  -24728.9492       0.3812    98.3
0.0380      -24728.5394  -24728.9326       0.3932   101.4
0.0385      -24728.5237  -24728.9171       0.3934   101.4
0.0390      -24728.5260  -24728.9072       0.3812    98.3
0.0395      -24728.4986  -24728.9050       0.4064   104.8
0.0400      -24728.4723  -24728.9074       0.4350   112.2
0.0405      -24728.4593  -24728.9101       0.4508   116.2
0.0410      -24728.4652  -24728.9116       0.4464   115.1
0.0415      -24728.4667  -24728.9062       0.4395   113.3
0.0420      -24728.4431  -24728.8947       0.4515   116.4
0.0425      -24728.4280  -24728.8773       0.4493   115.9
0.0430      -24728.4044  -24728.8600       0.4555   117.5
0.0435      -24728.4123  -24728.8487       0.4364   112.5
0.0440      -24728.3845  -24728.8465       0.4621   119.2
0.0445      -24728.4091  -24728.8525       0.4434   114.3
0.0450      -24728.4281  -24728.8659       0.4378   112.9
0.0455      -24728.4037  -24728.8840       0.4803   123.9
0.0460      -24728.3775  -24728.9021       0.5246   135.3
0.0465      -24728.3910  -24728.9184       0.5274   136.0
0.0470      -24728.3831  -24728.9355       0.5524   142.4
0.0475      -24728.3540  -24728.9543       0.6003   154.8
0.0480      -24728.3562  -24728.9757       0.6195   159.8
0.0485      -24728.3628  -24728.9961       0.6333   163.3
0.0490      -24728.3687  -24729.0122       0.6435   165.9
0.0495      -24728.3791  -24729.0207       0.6416   165.5
0.0500      -24728.3981  -24729.0203       0.6222   160.4
0.0505      -24728.3542  -24729.0114       0.6571   169.5
0.0510      -24728.3457  -24728.9942       0.6485   167.2
0.0515      -24728.3230  -24728.9777       0.6547   168.8
0.0520      -24728.3273  -24728.9696       0.6423   165.6
