Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1830  -24729.1830       0.0000     0.0
0.0005      -24729.1723  -24729.1935       0.0212     5.5
0.0010      -24729.1590  -24729.2249       0.0659    17.0
0.0015      -24729.1435  -24729.2752       0.1317    34.0
0.0020      -24729.1335  -24729.3329       0.1995    51.4
0.0025      -24729.1242  -24729.3772       0.2530    65.2
0.0030      -24729.1094  -24729.3866       0.2772    71.5
0.0035      -24729.0985  -24729.3584       0.2600    67.0
0.0040      -24729.0948  -24729.3078       0.2130    54.9
0.0045      -24729.0906  -24729.2552       0.1646    42.4
0.0050      -24729.0773  -24729.2141       0.1367    35.3
0.0055      -24729.0626  -24729.1885       0.1259    32.5
0.0060      -24729.0504  -24729.1831       0.1326    34.2
0.0065      -24729.0636  -24729.1971       0.1335    34.4
0.0070      -24729.0533  -24729.2258       0.1726    44.5
0.0075      -24729.0384  -24729.2615       0.2230    57.5
0.0080      -24729.0306  -24729.2923       0.2617    67.5
0.0085      -24729.0337  -24729.3082       0.2745    70.8
0.0090      -24729.0305  -24729.3025       0.2720    70.1
0.0095      -24729.0145  -24729.2770       0.2624    67.7
0.0100      -24729.0203  -24729.2390       0.2187    56.4
0.0105      -24729.0092  -24729.2046       0.1954    50.4
0.0110      -24728.9972  -24729.1804       0.1832    47.2
0.0115      -24728.9628  -24729.1682       0.2054    53.0
0.0120      -24728.9576  -24729.1724       0.2148    55.4
0.0125      -24728.9422  -24729.1870       0.2448    63.1
0.0130      -24728.9070  -24729.2051       0.2981    76.9
0.0135      -24728.8646  -24729.2213       0.3567    92.0
0.0140      -24728.8475  -24729.2303       0.3828    98.7
0.0145      -24728.8310  -24729.2291       0.3981   102.7
0.0150      -24728.8271  -24729.2171       0.3901   100.6
0.0155      -24728.7916  -24729.2004       0.4088   105.4
0.0160      -24728.7915  -24729.1842       0.3927   101.3
0.0165      -24728.7989  -24729.1716       0.3727    96.1
0.0170      -24728.7762  -24729.1626       0.3864    99.6
0.0175      -24728.7360  -24729.1544       0.4184   107.9
0.0180      -24728.7134  -24729.1440       0.4306   111.0
0.0185      -24728.7147  -24729.1338       0.4191   108.1
0.0190      -24728.7060  -24729.1231       0.4171   107.6
0.0195      -24728.6986  -24729.1122       0.4135   106.6
0.0200      -24728.6761  -24729.1015       0.4254   109.7
0.0205      -24728.6664  -24729.0911       0.4247   109.5
0.0210      -24728.6623  -24729.0840       0.4217   108.7
0.0215      -24728.6904  -24729.0806       0.3902   100.6
0.0220      -24728.6791  -24729.0822       0.4031   103.9
0.0225      -24728.6213  -24729.0905       0.4692   121.0
0.0230      -24728.6392  -24729.1045       0.4653   120.0
0.0235      -24728.6290  -24729.1235       0.4945   127.5
