Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4181.0009   -4181.0009       0.0000     0.0
0.0005       -4180.9975   -4181.0105       0.0130    14.4
0.0010       -4180.9943   -4181.0374       0.0431    47.6
0.0015       -4181.0014   -4181.0792       0.0778    86.0
0.0020       -4181.0067   -4181.1357       0.1290   142.6
0.0025       -4181.0075   -4181.2054       0.1978   218.6
0.0030       -4181.0230   -4181.2885       0.2655   293.4
0.0035       -4181.0124   -4181.3831       0.3708   409.8
0.0040       -4180.9952   -4181.4885       0.4933   545.1
0.0045       -4180.9895   -4181.6017       0.6121   676.5
0.0050       -4180.9894   -4181.7198       0.7304   807.3
0.0055       -4180.9910   -4181.8439       0.8529   942.6
0.0060       -4180.9798   -4181.9741       0.9943  1098.9
0.0065       -4180.9779   -4182.1073       1.1294  1248.3
0.0070       -4180.9983   -4182.2385       1.2402  1370.6
0.0075       -4180.9769   -4182.3628       1.3860  1531.8
0.0080       -4180.9784   -4182.4766       1.4982  1655.8
0.0085       -4180.9756   -4182.5788       1.6032  1771.9
0.0090       -4180.9620   -4182.6713       1.7093  1889.1
0.0095       -4180.9719   -4182.7541       1.7822  1969.6
0.0100       -4180.9634   -4182.8284       1.8650  2061.2
0.0105       -4180.9709   -4182.8957       1.9248  2127.2
0.0110       -4180.9779   -4182.9548       1.9768  2184.8
0.0115       -4180.9703   -4183.0069       2.0367  2250.9
0.0120       -4180.9773   -4183.0513       2.0739  2292.1
0.0125       -4181.0128   -4183.0871       2.0743  2292.5
0.0130       -4181.0000   -4183.1126       2.1126  2334.9
0.0135       -4180.9970   -4183.1317       2.1347  2359.3
0.0140       -4181.0272   -4183.1435       2.1164  2339.0
0.0145       -4181.0107   -4183.1493       2.1385  2363.5
0.0150       -4181.0170   -4183.1495       2.1325  2356.8
0.0155       -4180.9978   -4183.1479       2.1501  2376.3
0.0160       -4180.9607   -4183.1458       2.1852  2415.0
0.0165       -4180.9658   -4183.1433       2.1775  2406.6
0.0170       -4181.0297   -4183.1436       2.1139  2336.2
0.0175       -4181.0703   -4183.1465       2.0762  2294.6
0.0180       -4181.0778   -4183.1505       2.0727  2290.7
0.0185       -4181.0960   -4183.1516       2.0556  2271.9
0.0190       -4181.1567   -4183.1498       1.9931  2202.8
0.0195       -4181.1442   -4183.1416       1.9974  2207.5
0.0200       -4181.2158   -4183.1221       1.9063  2106.8
0.0205       -4181.1962   -4183.0919       1.8956  2095.1
0.0210       -4181.2524   -4183.0574       1.8050  1994.9
0.0215       -4181.2696   -4183.0254       1.7558  1940.5
0.0220       -4181.2625   -4182.9999       1.7374  1920.2
0.0225       -4181.2693   -4182.9817       1.7124  1892.5
0.0230       -4181.2790   -4182.9718       1.6928  1870.9
0.0235       -4181.2266   -4182.9716       1.7450  1928.6
0.0240       -4181.1867   -4182.9756       1.7890  1977.1
0.0245       -4181.2434   -4182.9811       1.7377  1920.5
0.0250       -4181.2680   -4182.9840       1.7160  1896.5
0.0255       -4181.2300   -4182.9833       1.7533  1937.7
0.0260       -4181.1607   -4182.9774       1.8167  2007.7
0.0265       -4181.1279   -4182.9601       1.8322  2025.0
0.0270       -4181.1201   -4182.9366       1.8165  2007.6
0.0275       -4181.1282   -4182.9138       1.7856  1973.4
0.0280       -4181.1627   -4182.8994       1.7368  1919.5
0.0285       -4181.1561   -4182.8954       1.7393  1922.2
0.0290       -4181.1588   -4182.9027       1.7439  1927.4
0.0295       -4181.1299   -4182.9115       1.7816  1969.0
0.0300       -4181.1634   -4182.9078       1.7444  1927.9
0.0305       -4181.1528   -4182.8805       1.7277  1909.5
0.0310       -4181.1216   -4182.8278       1.7061  1885.6
0.0315       -4181.1000   -4182.7518       1.6517  1825.5
0.0320       -4181.1495   -4182.6607       1.5113  1670.3
0.0325       -4181.1277   -4182.5683       1.4405  1592.1
0.0330       -4181.1407   -4182.4798       1.3392  1480.0
0.0335       -4181.1960   -4182.3977       1.2017  1328.1
0.0340       -4181.1522   -4182.3200       1.1678  1290.6
0.0345       -4181.1475   -4182.2462       1.0987  1214.3
0.0350       -4181.1419   -4182.1803       1.0384  1147.7
0.0355       -4181.1268   -4182.1210       0.9942  1098.8
0.0360       -4181.1580   -4182.0698       0.9118  1007.7
0.0365       -4181.1677   -4182.0264       0.8587   949.0
0.0370       -4181.1700   -4181.9903       0.8204   906.6
0.0375       -4181.2040   -4181.9544       0.7505   829.4
0.0380       -4181.1801   -4181.9183       0.7382   815.9
0.0385       -4181.1893   -4181.8813       0.6921   764.9
0.0390       -4181.1807   -4181.8430       0.6623   732.0
0.0395       -4181.1909   -4181.8098       0.6190   684.1
0.0400       -4181.1842   -4181.7862       0.6019   665.2
0.0405       -4181.1908   -4181.7755       0.5846   646.1
