Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.2967  -24729.2967       0.0000     0.0
0.0005      -24729.2834  -24729.2987       0.0153     3.9
0.0010      -24729.2698  -24729.3028       0.0331     8.5
0.0015      -24729.2606  -24729.3082       0.0475    12.3
0.0020      -24729.2461  -24729.3133       0.0673    17.4
0.0025      -24729.2474  -24729.3174       0.0700    18.0
0.0030      -24729.2388  -24729.3196       0.0808    20.8
0.0035      -24729.2283  -24729.3201       0.0918    23.7
0.0040      -24729.2172  -24729.3198       0.1026    26.5
0.0045      -24729.1885  -24729.3186       0.1301    33.6
0.0050      -24729.1751  -24729.3172       0.1421    36.6
0.0055      -24729.1761  -24729.3155       0.1394    36.0
0.0060      -24729.1718  -24729.3144       0.1427    36.8
0.0065      -24729.1534  -24729.3145       0.1610    41.5
0.0070      -24729.1449  -24729.3139       0.1690    43.6
0.0075      -24729.1277  -24729.3118       0.1841    47.5
0.0080      -24729.1239  -24729.3081       0.1841    47.5
0.0085      -24729.1237  -24729.3024       0.1788    46.1
0.0090      -24729.1023  -24729.2937       0.1914    49.4
0.0095      -24729.0987  -24729.2846       0.1859    47.9
0.0100      -24729.1117  -24729.2760       0.1643    42.4
0.0105      -24729.0982  -24729.2677       0.1695    43.7
0.0110      -24729.0853  -24729.2591       0.1738    44.8
0.0115      -24729.0957  -24729.2513       0.1557    40.1
0.0120      -24729.0872  -24729.2454       0.1581    40.8
0.0125      -24729.0714  -24729.2410       0.1696    43.7
0.0130      -24729.0517  -24729.2395       0.1878    48.4
0.0135      -24729.0196  -24729.2417       0.2221    57.3
0.0140      -24729.0004  -24729.2418       0.2414    62.2
0.0145      -24728.9738  -24729.2376       0.2639    68.0
0.0150      -24728.9575  -24729.2288       0.2713    70.0
0.0155      -24728.9526  -24729.2161       0.2635    68.0
0.0160      -24728.9601  -24729.2019       0.2418    62.3
0.0165      -24728.9602  -24729.1882       0.2281    58.8
0.0170      -24728.9650  -24729.1765       0.2114    54.5
0.0175      -24728.9533  -24729.1679       0.2146    55.3
0.0180      -24728.9349  -24729.1617       0.2268    58.5
0.0185      -24728.9252  -24729.1586       0.2334    60.2
0.0190      -24728.9165  -24729.1582       0.2417    62.3
0.0195      -24728.9175  -24729.1592       0.2417    62.3
0.0200      -24728.9094  -24729.1611       0.2517    64.9
0.0205      -24728.8970  -24729.1621       0.2651    68.4
0.0210      -24728.8918  -24729.1614       0.2696    69.5
0.0215      -24728.8821  -24729.1630       0.2809    72.4
0.0220      -24728.8520  -24729.1671       0.3151    81.3
0.0225      -24728.8694  -24729.1729       0.3035    78.3
0.0230      -24728.8451  -24729.1802       0.3351    86.4
0.0235      -24728.8265  -24729.1893       0.3628    93.6
0.0240      -24728.8225  -24729.2009       0.3784    97.6
0.0245      -24728.8189  -24729.2118       0.3929   101.3
0.0250      -24728.8039  -24729.2193       0.4155   107.1
0.0255      -24728.7675  -24729.2248       0.4572   117.9
0.0260      -24728.7805  -24729.2279       0.4473   115.4
0.0265      -24728.7756  -24729.2269       0.4513   116.4
0.0270      -24728.7843  -24729.2216       0.4373   112.8
0.0275      -24728.7782  -24729.2118       0.4336   111.8
0.0280      -24728.7593  -24729.2005       0.4412   113.8
0.0285      -24728.7451  -24729.1878       0.4427   114.2
0.0290      -24728.7447  -24729.1769       0.4322   111.4
0.0295      -24728.7220  -24729.1692       0.4472   115.3
0.0300      -24728.7084  -24729.1623       0.4539   117.0
0.0305      -24728.7239  -24729.1557       0.4318   111.3
0.0310      -24728.7197  -24729.1505       0.4309   111.1
0.0315      -24728.7023  -24729.1458       0.4436   114.4
0.0320      -24728.6982  -24729.1426       0.4444   114.6
0.0325      -24728.6792  -24729.1413       0.4622   119.2
0.0330      -24728.6764  -24729.1419       0.4655   120.0
0.0335      -24728.6763  -24729.1422       0.4660   120.2
0.0340      -24728.6570  -24729.1429       0.4859   125.3
0.0345      -24728.6194  -24729.1450       0.5255   135.5
0.0350      -24728.6277  -24729.1514       0.5236   135.0
0.0355      -24728.6366  -24729.1606       0.5240   135.1
0.0360      -24728.6596  -24729.1668       0.5072   130.8
0.0365      -24728.6480  -24729.1709       0.5230   134.9
0.0370      -24728.6465  -24729.1731       0.5266   135.8
0.0375      -24728.6560  -24729.1707       0.5146   132.7
0.0380      -24728.6511  -24729.1649       0.5138   132.5
0.0385      -24728.6465  -24729.1538       0.5073   130.8
0.0390      -24728.6066  -24729.1390       0.5324   137.3
0.0395      -24728.5718  -24729.1178       0.5460   140.8
0.0400      -24728.5561  -24729.0956       0.5395   139.1
0.0405      -24728.5594  -24729.0720       0.5126   132.2
0.0410      -24728.5468  -24729.0503       0.5035   129.8
0.0415      -24728.5177  -24729.0333       0.5157   133.0
0.0420      -24728.5188  -24729.0170       0.4983   128.5
0.0425      -24728.5102  -24729.0044       0.4942   127.4
0.0430      -24728.4974  -24728.9973       0.4999   128.9
0.0435      -24728.5032  -24728.9931       0.4899   126.3
