Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24728.9455  -24728.9455       0.0000     0.0
0.0005      -24728.9337  -24728.9553       0.0216     5.6
0.0010      -24728.9133  -24728.9832       0.0699    18.0
0.0015      -24728.9092  -24729.0271       0.1178    30.4
0.0020      -24728.8923  -24729.0713       0.1790    46.2
0.0025      -24728.8823  -24729.0978       0.2155    55.6
0.0030      -24728.8607  -24729.0892       0.2285    58.9
0.0035      -24728.8501  -24729.0499       0.1998    51.5
0.0040      -24728.8430  -24729.0009       0.1579    40.7
0.0045      -24728.8305  -24728.9650       0.1344    34.7
0.0050      -24728.8146  -24728.9535       0.1390    35.8
0.0055      -24728.8153  -24728.9656       0.1503    38.8
0.0060      -24728.8087  -24728.9930       0.1843    47.5
0.0065      -24728.7906  -24729.0280       0.2374    61.2
0.0070      -24728.7717  -24729.0586       0.2868    74.0
0.0075      -24728.7718  -24729.0688       0.2970    76.6
0.0080      -24728.7688  -24729.0544       0.2856    73.6
0.0085      -24728.7466  -24729.0214       0.2748    70.9
0.0090      -24728.7668  -24728.9840       0.2172    56.0
0.0095      -24728.7795  -24728.9615       0.1820    46.9
0.0100      -24728.7819  -24728.9558       0.1739    44.9
0.0105      -24728.7590  -24728.9676       0.2086    53.8
0.0110      -24728.7639  -24728.9918       0.2279    58.8
0.0115      -24728.7554  -24729.0181       0.2627    67.8
0.0120      -24728.7476  -24729.0370       0.2895    74.6
0.0125      -24728.7386  -24729.0436       0.3050    78.6
0.0130      -24728.7090  -24729.0340       0.3250    83.8
0.0135      -24728.7219  -24729.0192       0.2973    76.7
0.0140      -24728.7107  -24729.0077       0.2970    76.6
0.0145      -24728.7180  -24729.0067       0.2887    74.5
0.0150      -24728.7112  -24729.0145       0.3033    78.2
0.0155      -24728.7078  -24729.0312       0.3235    83.4
0.0160      -24728.6801  -24729.0533       0.3732    96.2
0.0165      -24728.6763  -24729.0703       0.3940   101.6
0.0170      -24728.6425  -24729.0735       0.4310   111.2
0.0175      -24728.6418  -24729.0595       0.4177   107.7
0.0180      -24728.6384  -24729.0312       0.3928   101.3
0.0185      -24728.6207  -24728.9942       0.3736    96.3
0.0190      -24728.6036  -24728.9563       0.3527    91.0
0.0195      -24728.5910  -24728.9290       0.3380    87.2
0.0200      -24728.6085  -24728.9138       0.3053    78.7
0.0205      -24728.5768  -24728.9127       0.3359    86.6
0.0210      -24728.5393  -24728.9266       0.3873    99.9
0.0215      -24728.5294  -24728.9563       0.4269   110.1
0.0220      -24728.5261  -24728.9916       0.4655   120.0
0.0225      -24728.5187  -24729.0173       0.4986   128.6
0.0230      -24728.4949  -24729.0231       0.5282   136.2
0.0235      -24728.4655  -24729.0055       0.5401   139.3
0.0240      -24728.4646  -24728.9696       0.5049   130.2
0.0245      -24728.4483  -24728.9261       0.4779   123.2
0.0250      -24728.4505  -24728.8981       0.4476   115.4
0.0255      -24728.4483  -24728.8974       0.4491   115.8
0.0260      -24728.4060  -24728.9250       0.5190   133.8
0.0265      -24728.3922  -24728.9739       0.5817   150.0
0.0270      -24728.3850  -24729.0241       0.6391   164.8
0.0275      -24728.3735  -24729.0616       0.6881   177.5
0.0280      -24728.4110  -24729.0782       0.6672   172.1
0.0285      -24728.4137  -24729.0713       0.6577   169.6
0.0290      -24728.3827  -24729.0440       0.6613   170.5
0.0295      -24728.3983  -24729.0041       0.6058   156.2
0.0300      -24728.3872  -24728.9631       0.5759   148.5
0.0305      -24728.3700  -24728.9262       0.5562   143.4
0.0310      -24728.3710  -24728.8982       0.5273   136.0
0.0315      -24728.3614  -24728.8858       0.5243   135.2
0.0320      -24728.3824  -24728.8872       0.5047   130.2
0.0325      -24728.3835  -24728.9016       0.5182   133.6
0.0330      -24728.3651  -24728.9229       0.5577   143.8
0.0335      -24728.3998  -24728.9475       0.5477   141.2
0.0340      -24728.4012  -24728.9685       0.5672   146.3
0.0345      -24728.3992  -24728.9767       0.5775   148.9
0.0350      -24728.3657  -24728.9687       0.6030   155.5
0.0355      -24728.3739  -24728.9448       0.5709   147.2
0.0360      -24728.3626  -24728.9137       0.5512   142.1
0.0365      -24728.3419  -24728.8850       0.5431   140.1
0.0370      -24728.3244  -24728.8688       0.5444   140.4
0.0375      -24728.3532  -24728.8718       0.5186   133.7
0.0380      -24728.3986  -24728.8939       0.4953   127.7
0.0385      -24728.4078  -24728.9257       0.5179   133.5
0.0390      -24728.3860  -24728.9606       0.5746   148.2
0.0395      -24728.4009  -24728.9869       0.5859   151.1
0.0400      -24728.3835  -24728.9966       0.6131   158.1
0.0405      -24728.3616  -24728.9877       0.6262   161.5
0.0410      -24728.3478  -24728.9620       0.6142   158.4
0.0415      -24728.3506  -24728.9272       0.5765   148.7
0.0420      -24728.3367  -24728.8915       0.5548   143.1
0.0425      -24728.3425  -24728.8637       0.5212   134.4
0.0430      -24728.3350  -24728.8531       0.5181   133.6
0.0435      -24728.3258  -24728.8609       0.5351   138.0
0.0440      -24728.3220  -24728.8809       0.5589   144.1
0.0445      -24728.3035  -24728.9019       0.5985   154.3
0.0450      -24728.2825  -24728.9168       0.6344   163.6
0.0455      -24728.2726  -24728.9203       0.6477   167.0
0.0460      -24728.2829  -24728.9132       0.6303   162.5
0.0465      -24728.2700  -24728.9002       0.6302   162.5
0.0470      -24728.2569  -24728.8867       0.6298   162.4
0.0475      -24728.2390  -24728.8770       0.6381   164.5
0.0480      -24728.2352  -24728.8767       0.6415   165.4
0.0485      -24728.2437  -24728.8857       0.6420   165.6
0.0490      -24728.2510  -24728.9024       0.6515   168.0
0.0495      -24728.2579  -24728.9228       0.6649   171.5
0.0500      -24728.2442  -24728.9458       0.7017   180.9
0.0505      -24728.2302  -24728.9617       0.7314   188.6
0.0510      -24728.2457  -24728.9743       0.7285   187.9
0.0515      -24728.2331  -24728.9803       0.7472   192.7
0.0520      -24728.2106  -24728.9806       0.7699   198.6
0.0525      -24728.1864  -24728.9780       0.7916   204.1
0.0530      -24728.1968  -24728.9772       0.7804   201.3
0.0535      -24728.1949  -24728.9790       0.7842   202.2
0.0540      -24728.2022  -24728.9807       0.7785   200.8
0.0545      -24728.1951  -24728.9807       0.7856   202.6
0.0550      -24728.1903  -24728.9774       0.7871   203.0
0.0555      -24728.2015  -24728.9729       0.7715   198.9
0.0560      -24728.2054  -24728.9675       0.7621   196.5
0.0565      -24728.2134  -24728.9582       0.7448   192.1
0.0570      -24728.2210  -24728.9460       0.7250   187.0
0.0575      -24728.2063  -24728.9361       0.7297   188.2
0.0580      -24728.2087  -24728.9332       0.7245   186.8
0.0585      -24728.2012  -24728.9354       0.7343   189.3
0.0590      -24728.2195  -24728.9411       0.7216   186.1
0.0595      -24728.1913  -24728.9456       0.7543   194.5
0.0600      -24728.1936  -24728.9500       0.7563   195.0
0.0605      -24728.1796  -24728.9548       0.7752   199.9
0.0610      -24728.1857  -24728.9601       0.7743   199.7
0.0615      -24728.1571  -24728.9630       0.8059   207.8
0.0620      -24728.1449  -24728.9620       0.8171   210.7
0.0625      -24728.1415  -24728.9532       0.8117   209.3
0.0630      -24728.1339  -24728.9397       0.8058   207.8
0.0635      -24728.1190  -24728.9228       0.8038   207.3
0.0640      -24728.1147  -24728.9004       0.7857   202.6
0.0645      -24728.0881  -24728.8821       0.7940   204.8
0.0650      -24728.0539  -24728.8720       0.8182   211.0
0.0655      -24728.0726  -24728.8724       0.7998   206.2
0.0660      -24728.0805  -24728.8868       0.8062   207.9
0.0665      -24728.0711  -24728.9071       0.8361   215.6
0.0670      -24728.0560  -24728.9288       0.8728   225.1
0.0675      -24728.0258  -24728.9408       0.9150   236.0
0.0680      -24728.0144  -24728.9362       0.9218   237.7
0.0685      -24728.0444  -24728.9121       0.8677   223.8
0.0690      -24728.0691  -24728.8739       0.8048   207.5
0.0695      -24728.0410  -24728.8304       0.7893   203.6
0.0700      -24728.0219  -24728.7938       0.7719   199.1
0.0705      -24728.0520  -24728.7702       0.7182   185.2
0.0710      -24728.0924  -24728.7675       0.6752   174.1
0.0715      -24728.0573  -24728.7869       0.7296   188.1
0.0720      -24728.0956  -24728.8175       0.7219   186.2
0.0725      -24728.0793  -24728.8415       0.7621   196.5
0.0730      -24728.0631  -24728.8490       0.7859   202.7
0.0735      -24728.0484  -24728.8377       0.7893   203.5
0.0740      -24728.0428  -24728.8062       0.7633   196.8
0.0745      -24728.0337  -24728.7616       0.7279   187.7
0.0750      -24728.0224  -24728.7194       0.6970   179.7
0.0755      -24728.0292  -24728.6954       0.6662   171.8
0.0760      -24728.0080  -24728.6921       0.6842   176.4
0.0765      -24727.9881  -24728.7091       0.7210   185.9
0.0770      -24727.9736  -24728.7407       0.7671   197.8
0.0775      -24727.9842  -24728.7751       0.7909   204.0
0.0780      -24727.9907  -24728.8019       0.8112   209.2
0.0785      -24727.9690  -24728.8139       0.8449   217.9
0.0790      -24727.9463  -24728.8085       0.8622   222.3
0.0795      -24727.9200  -24728.7890       0.8690   224.1
0.0800      -24727.9209  -24728.7608       0.8399   216.6
0.0805      -24727.9003  -24728.7364       0.8361   215.6
0.0810      -24727.9216  -24728.7245       0.8029   207.1
0.0815      -24727.9246  -24728.7362       0.8117   209.3
0.0820      -24727.9797  -24728.7706       0.7909   204.0
0.0825      -24727.9489  -24728.8192       0.8703   224.4
0.0830      -24727.9297  -24728.8679       0.9382   241.9
0.0835      -24727.9171  -24728.9071       0.9900   255.3
0.0840      -24727.8722  -24728.9215       1.0494   270.6
0.0845      -24727.8820  -24728.9027       1.0206   263.2
0.0850      -24727.8628  -24728.8625       0.9997   257.8
0.0855      -24727.8662  -24728.8154       0.9493   244.8
0.0860      -24727.9273  -24728.7726       0.8453   218.0
0.0865      -24727.9157  -24728.7455       0.8298   214.0
0.0870      -24727.9107  -24728.7354       0.8247   212.7
0.0875      -24727.9082  -24728.7427       0.8345   215.2
0.0880      -24727.8997  -24728.7604       0.8607   221.9
0.0885      -24727.8771  -24728.7794       0.9023   232.7
0.0890      -24727.8801  -24728.7896       0.9095   234.5
0.0895      -24727.8744  -24728.7866       0.9122   235.2
0.0900      -24727.8747  -24728.7662       0.8915   229.9
0.0905      -24727.8801  -24728.7434       0.8634   222.6
0.0910      -24727.8894  -24728.7240       0.8346   215.2
0.0915      -24727.8650  -24728.7140       0.8490   218.9
0.0920      -24727.8563  -24728.7099       0.8536   220.1
0.0925      -24727.8353  -24728.7152       0.8800   226.9
0.0930      -24727.8270  -24728.7289       0.9020   232.6
0.0935      -24727.8074  -24728.7378       0.9304   239.9
0.0940      -24727.7959  -24728.7378       0.9420   242.9
0.0945      -24727.8361  -24728.7300       0.8939   230.5
0.0950      -24727.8304  -24728.7249       0.8944   230.7
0.0955      -24727.8131  -24728.7288       0.9157   236.1
0.0960      -24727.8285  -24728.7453       0.9169   236.4
0.0965      -24727.8313  -24728.7723       0.9410   242.7
0.0970      -24727.8661  -24728.7988       0.9327   240.5
0.0975      -24727.9020  -24728.8197       0.9177   236.7
0.0980      -24727.8683  -24728.8390       0.9707   250.3
0.0985      -24727.8484  -24728.8586       1.0102   260.5
0.0990      -24727.8448  -24728.8749       1.0302   265.7
0.0995      -24727.8556  -24728.8892       1.0336   266.5
0.1000      -24727.8331  -24728.8862       1.0531   271.6
0.1005      -24727.8664  -24728.8445       0.9781   252.2
0.1010      -24727.8778  -24728.7670       0.8892   229.3
0.1015      -24727.8531  -24728.6829       0.8298   214.0
0.1020      -24727.8486  -24728.6246       0.7760   200.1
0.1025      -24727.8363  -24728.6136       0.7772   200.4
0.1030      -24727.7758  -24728.6463       0.8705   224.5
0.1035      -24727.7889  -24728.7086       0.9197   237.2
0.1040      -24727.8020  -24728.7693       0.9673   249.4
0.1045      -24727.8415  -24728.7981       0.9566   246.7
0.1050      -24727.8264  -24728.7872       0.9608   247.8
0.1055      -24727.7913  -24728.7449       0.9536   245.9
0.1060      -24727.8020  -24728.6919       0.8899   229.5
0.1065      -24727.7927  -24728.6519       0.8592   221.6
0.1070      -24727.7969  -24728.6353       0.8383   216.2
0.1075      -24727.7902  -24728.6472       0.8571   221.0
0.1080      -24727.7820  -24728.6768       0.8948   230.7
0.1085      -24727.7553  -24728.7088       0.9535   245.9
0.1090      -24727.7930  -24728.7340       0.9410   242.7
0.1095      -24727.8443  -24728.7406       0.8963   231.1
0.1100      -24727.8423  -24728.7282       0.8859   228.5
0.1105      -24727.8328  -24728.7006       0.8678   223.8
0.1110      -24727.7971  -24728.6701       0.8730   225.1
0.1115      -24727.7843  -24728.6435       0.8592   221.6
0.1120      -24727.8082  -24728.6308       0.8225   212.1
0.1125      -24727.7741  -24728.6398       0.8657   223.3
0.1130      -24727.7897  -24728.6733       0.8836   227.9
0.1135      -24727.7463  -24728.7249       0.9786   252.4
0.1140      -24727.7883  -24728.7810       0.9926   256.0
0.1145      -24727.7952  -24728.8378       1.0426   268.9
0.1150      -24727.7961  -24728.8871       1.0910   281.3
0.1155      -24727.7456  -24728.9109       1.1653   300.5
0.1160      -24727.7347  -24728.8945       1.1598   299.1
0.1165      -24727.6974  -24728.8348       1.1375   293.3
0.1170      -24727.7394  -24728.7444       1.0050   259.2
0.1175      -24727.7318  -24728.6582       0.9264   238.9
0.1180      -24727.6994  -24728.6107       0.9113   235.0
0.1185      -24727.6530  -24728.6272       0.9742   251.2
0.1190      -24727.6896  -24728.6843       0.9947   256.5
0.1195      -24727.6846  -24728.7472       1.0627   274.0
0.1200      -24727.6601  -24728.7814       1.1213   289.2
0.1205      -24727.6368  -24728.7723       1.1355   292.8
0.1210      -24727.5872  -24728.7292       1.1420   294.5
0.1215      -24727.5814  -24728.6714       1.0899   281.1
0.1220      -24727.6318  -24728.6096       0.9778   252.2
0.1225      -24727.6066  -24728.5568       0.9502   245.0
0.1230      -24727.6079  -24728.5209       0.9130   235.4
0.1235      -24727.5779  -24728.5069       0.9289   239.5
0.1240      -24727.5639  -24728.5147       0.9508   245.2
0.1245      -24727.5603  -24728.5433       0.9830   253.5
0.1250      -24727.5606  -24728.5776       1.0171   262.3
0.1255      -24727.5626  -24728.6110       1.0484   270.4
0.1260      -24727.5816  -24728.6364       1.0548   272.0
0.1265      -24727.5977  -24728.6581       1.0604   273.5
0.1270      -24727.6044  -24728.6779       1.0735   276.8
0.1275      -24727.6205  -24728.6950       1.0745   277.1
0.1280      -24727.5983  -24728.7096       1.1112   286.6
0.1285      -24727.5889  -24728.7185       1.1296   291.3
0.1290      -24727.5815  -24728.7237       1.1423   294.6
