Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1807  -24729.1807       0.0000     0.0
0.0005      -24729.1681  -24729.1921       0.0240     6.2
0.0010      -24729.1592  -24729.2255       0.0663    17.1
0.0015      -24729.1395  -24729.2828       0.1432    36.9
0.0020      -24729.1314  -24729.3466       0.2152    55.5
0.0025      -24729.1260  -24729.3619       0.2359    60.8
0.0030      -24729.1364  -24729.2906       0.1543    39.8
0.0035      -24729.1252  -24729.2088       0.0836    21.6
0.0040      -24729.1123  -24729.1998       0.0876    22.6
0.0045      -24729.1080  -24729.2707       0.1627    42.0
0.0050      -24729.1038  -24729.3563       0.2525    65.1
0.0055      -24729.0933  -24729.3794       0.2861    73.8
0.0060      -24729.0744  -24729.3468       0.2723    70.2
0.0065      -24729.0626  -24729.3155       0.2529    65.2
0.0070      -24729.0834  -24729.3200       0.2365    61.0
0.0075      -24729.0845  -24729.3594       0.2749    70.9
0.0080      -24729.0841  -24729.4097       0.3256    84.0
0.0085      -24729.0809  -24729.4203       0.3394    87.5
0.0090      -24729.0519  -24729.3890       0.3370    86.9
0.0095      -24729.0330  -24729.4090       0.3761    97.0
0.0100      -24729.0662  -24729.4865       0.4204   108.4
0.0105      -24729.0701  -24729.4816       0.4114   106.1
0.0110      -24729.0515  -24729.3743       0.3228    83.2
0.0115      -24729.0334  -24729.2891       0.2557    65.9
0.0120      -24729.0405  -24729.3091       0.2686    69.3
0.0125      -24729.0429  -24729.4133       0.3704    95.5
0.0130      -24729.0355  -24729.4891       0.4536   117.0
0.0135      -24729.0107  -24729.4749       0.4642   119.7
0.0140      -24728.9897  -24729.4044       0.4147   106.9
0.0145      -24728.9628  -24729.3283       0.3656    94.3
0.0150      -24728.9474  -24729.2593       0.3119    80.4
0.0155      -24728.9540  -24729.1991       0.2450    63.2
0.0160      -24728.9472  -24729.1633       0.2161    55.7
0.0165      -24728.9424  -24729.1641       0.2216    57.2
0.0170      -24728.8976  -24729.1947       0.2971    76.6
0.0175      -24728.8816  -24729.2473       0.3657    94.3
0.0180      -24728.8478  -24729.3085       0.4608   118.8
0.0185      -24728.8401  -24729.3661       0.5260   135.6
0.0190      -24728.8418  -24729.3926       0.5508   142.0
0.0195      -24728.8575  -24729.3619       0.5044   130.1
0.0200      -24728.8670  -24729.2846       0.4176   107.7
0.0205      -24728.8730  -24729.2206       0.3476    89.6
0.0210      -24728.8523  -24729.2142       0.3619    93.3
0.0215      -24728.8712  -24729.2677       0.3965   102.3
0.0220      -24728.8747  -24729.3507       0.4760   122.7
0.0225      -24728.8851  -24729.3880       0.5028   129.7
0.0230      -24728.8789  -24729.3513       0.4724   121.8
0.0235      -24728.8672  -24729.2866       0.4194   108.2
0.0240      -24728.8508  -24729.2505       0.3997   103.1
0.0245      -24728.8224  -24729.2548       0.4324   111.5
0.0250      -24728.7799  -24729.2569       0.4770   123.0
0.0255      -24728.7710  -24729.2398       0.4688   120.9
0.0260      -24728.7800  -24729.2177       0.4377   112.9
0.0265      -24728.7850  -24729.2062       0.4212   108.6
0.0270      -24728.7763  -24729.1971       0.4208   108.5
0.0275      -24728.7509  -24729.1789       0.4280   110.4
0.0280      -24728.7325  -24729.1481       0.4156   107.2
0.0285      -24728.7261  -24729.1153       0.3892   100.4
0.0290      -24728.7093  -24729.1046       0.3953   101.9
0.0295      -24728.7147  -24729.1323       0.4177   107.7
0.0300      -24728.7267  -24729.1828       0.4561   117.6
0.0305      -24728.6948  -24729.2274       0.5326   137.4
0.0310      -24728.7176  -24729.2289       0.5113   131.9
0.0315      -24728.6989  -24729.1717       0.4728   121.9
0.0320      -24728.6815  -24729.1073       0.4258   109.8
0.0325      -24728.6806  -24729.1067       0.4261   109.9
0.0330      -24728.6612  -24729.1812       0.5200   134.1
0.0335      -24728.6279  -24729.2640       0.6361   164.0
0.0340      -24728.5878  -24729.2686       0.6808   175.6
0.0345      -24728.5970  -24729.1923       0.5954   153.5
0.0350      -24728.6026  -24729.0972       0.4946   127.5
0.0355      -24728.5979  -24729.0503       0.4524   116.7
0.0360      -24728.5790  -24729.0732       0.4942   127.4
0.0365      -24728.5612  -24729.1344       0.5732   147.8
0.0370      -24728.5490  -24729.1934       0.6444   166.2
0.0375      -24728.5520  -24729.2229       0.6709   173.0
0.0380      -24728.5338  -24729.2046       0.6708   173.0
0.0385      -24728.5204  -24729.1337       0.6133   158.2
0.0390      -24728.5007  -24729.0451       0.5444   140.4
0.0395      -24728.4840  -24728.9918       0.5078   130.9
0.0400      -24728.4671  -24729.0142       0.5470   141.1
0.0405      -24728.4638  -24729.0878       0.6240   160.9
0.0410      -24728.4428  -24729.1503       0.7076   182.5
0.0415      -24728.4399  -24729.1504       0.7105   183.2
0.0420      -24728.4612  -24729.0937       0.6324   163.1
0.0425      -24728.4392  -24729.0268       0.5876   151.5
0.0430      -24728.4573  -24728.9944       0.5372   138.5
0.0435      -24728.4549  -24729.0107       0.5557   143.3
0.0440      -24728.5004  -24729.0675       0.5671   146.2
0.0445      -24728.4768  -24729.1233       0.6464   166.7
0.0450      -24728.4728  -24729.1370       0.6642   171.3
0.0455      -24728.4764  -24729.0968       0.6204   160.0
0.0460      -24728.4776  -24729.0247       0.5471   141.1
0.0465      -24728.4643  -24728.9682       0.5039   129.9
0.0470      -24728.4402  -24728.9585       0.5183   133.7
0.0475      -24728.4323  -24728.9968       0.5644   145.6
0.0480      -24728.4190  -24729.0528       0.6338   163.4
0.0485      -24728.4157  -24729.0883       0.6726   173.5
0.0490      -24728.4143  -24729.1014       0.6872   177.2
0.0495      -24728.3936  -24729.1007       0.7070   182.3
0.0500      -24728.3781  -24729.0815       0.7034   181.4
0.0505      -24728.3900  -24729.0476       0.6576   169.6
0.0510      -24728.3691  -24729.0275       0.6585   169.8
0.0515      -24728.3510  -24729.0462       0.6952   179.3
0.0520      -24728.3591  -24729.1052       0.7461   192.4
0.0525      -24728.3529  -24729.1635       0.8106   209.0
0.0530      -24728.3622  -24729.1603       0.7982   205.8
0.0535      -24728.3258  -24729.0868       0.7611   196.3
0.0540      -24728.3088  -24729.0225       0.7137   184.1
0.0545      -24728.2990  -24729.0274       0.7284   187.8
0.0550      -24728.3319  -24729.0711       0.7391   190.6
0.0555      -24728.3245  -24729.0729       0.7484   193.0
0.0560      -24728.3443  -24729.0243       0.6799   175.3
0.0565      -24728.3048  -24728.9747       0.6700   172.8
0.0570      -24728.2964  -24728.9477       0.6513   168.0
0.0575      -24728.2871  -24728.9446       0.6575   169.6
0.0580      -24728.2793  -24728.9606       0.6814   175.7
0.0585      -24728.2582  -24728.9999       0.7417   191.3
0.0590      -24728.2401  -24729.0566       0.8165   210.6
0.0595      -24728.2472  -24729.1150       0.8677   223.8
0.0600      -24728.2233  -24729.1529       0.9295   239.7
0.0605      -24728.2035  -24729.1044       0.9009   232.3
0.0610      -24728.2147  -24728.9494       0.7347   189.5
0.0615      -24728.1846  -24728.8206       0.6360   164.0
0.0620      -24728.2094  -24728.8255       0.6160   158.9
0.0625      -24728.1874  -24728.9342       0.7469   192.6
0.0630      -24728.1940  -24729.0203       0.8263   213.1
0.0635      -24728.2026  -24729.0298       0.8272   213.3
0.0640      -24728.2260  -24729.0090       0.7830   201.9
0.0645      -24728.2581  -24728.9872       0.7292   188.0
0.0650      -24728.2786  -24728.9691       0.6905   178.1
0.0655      -24728.2539  -24728.9529       0.6990   180.2
0.0660      -24728.2830  -24728.9416       0.6586   169.8
0.0665      -24728.3002  -24728.9511       0.6510   167.9
0.0670      -24728.2860  -24728.9842       0.6982   180.0
0.0675      -24728.2817  -24729.0244       0.7428   191.5
0.0680      -24728.2582  -24729.0277       0.7695   198.4
0.0685      -24728.2708  -24728.9819       0.7111   183.4
0.0690      -24728.2305  -24728.9604       0.7299   188.2
0.0695      -24728.2077  -24729.0259       0.8182   211.0
0.0700      -24728.2007  -24729.1265       0.9259   238.8
0.0705      -24728.1972  -24729.1602       0.9630   248.3
0.0710      -24728.1830  -24729.1131       0.9301   239.8
0.0715      -24728.1705  -24729.0377       0.8673   223.7
0.0720      -24728.1684  -24728.9708       0.8024   206.9
0.0725      -24728.1877  -24728.9271       0.7394   190.7
0.0730      -24728.2006  -24728.9198       0.7192   185.5
0.0735      -24728.2303  -24728.9404       0.7101   183.1
0.0740      -24728.2442  -24728.9741       0.7299   188.2
0.0745      -24728.2477  -24729.0101       0.7624   196.6
0.0750      -24728.2439  -24729.0306       0.7867   202.9
0.0755      -24728.2345  -24729.0053       0.7708   198.8
0.0760      -24728.2279  -24728.9378       0.7099   183.1
0.0765      -24728.1784  -24728.8738       0.6954   179.3
0.0770      -24728.1593  -24728.8585       0.6992   180.3
0.0775      -24728.1717  -24728.8891       0.7174   185.0
0.0780      -24728.1796  -24728.9208       0.7412   191.1
0.0785      -24728.1309  -24728.9232       0.7922   204.3
0.0790      -24728.0869  -24728.9021       0.8152   210.2
0.0795      -24728.0692  -24728.8855       0.8163   210.5
0.0800      -24728.0548  -24728.8884       0.8337   215.0
