Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24728.6800  -24728.6800       0.0000     0.0
0.0005      -24728.6659  -24728.6828       0.0170     4.4
0.0010      -24728.6566  -24728.6892       0.0326     8.4
0.0015      -24728.6453  -24728.6990       0.0537    13.8
0.0020      -24728.6403  -24728.7103       0.0700    18.1
0.0025      -24728.6267  -24728.7235       0.0968    25.0
0.0030      -24728.6053  -24728.7379       0.1326    34.2
0.0035      -24728.5920  -24728.7534       0.1614    41.6
0.0040      -24728.5854  -24728.7710       0.1856    47.9
0.0045      -24728.5840  -24728.7906       0.2066    53.3
0.0050      -24728.5709  -24728.8118       0.2409    62.1
0.0055      -24728.5704  -24728.8337       0.2632    67.9
0.0060      -24728.5724  -24728.8560       0.2836    73.1
0.0065      -24728.5433  -24728.8766       0.3333    86.0
0.0070      -24728.5520  -24728.8938       0.3418    88.1
0.0075      -24728.5312  -24728.9073       0.3761    97.0
0.0080      -24728.5126  -24728.9157       0.4031   103.9
0.0085      -24728.5027  -24728.9181       0.4154   107.1
0.0090      -24728.4913  -24728.9175       0.4261   109.9
0.0095      -24728.4876  -24728.9135       0.4259   109.8
0.0100      -24728.5011  -24728.9060       0.4049   104.4
0.0105      -24728.4949  -24728.8984       0.4035   104.0
0.0110      -24728.5030  -24728.8913       0.3883   100.1
0.0115      -24728.4747  -24728.8859       0.4112   106.0
0.0120      -24728.4427  -24728.8832       0.4404   113.6
0.0125      -24728.4212  -24728.8804       0.4591   118.4
0.0130      -24728.4380  -24728.8758       0.4378   112.9
0.0135      -24728.4200  -24728.8702       0.4502   116.1
0.0140      -24728.4267  -24728.8648       0.4381   113.0
0.0145      -24728.4294  -24728.8619       0.4325   111.5
0.0150      -24728.4105  -24728.8623       0.4518   116.5
0.0155      -24728.3936  -24728.8665       0.4729   122.0
0.0160      -24728.3937  -24728.8746       0.4809   124.0
0.0165      -24728.3620  -24728.8850       0.5230   134.9
0.0170      -24728.3465  -24728.8969       0.5505   141.9
0.0175      -24728.3732  -24728.9101       0.5369   138.4
0.0180      -24728.3795  -24728.9256       0.5461   140.8
0.0185      -24728.3887  -24728.9445       0.5558   143.3
0.0190      -24728.3901  -24728.9655       0.5754   148.4
0.0195      -24728.3954  -24728.9836       0.5882   151.7
0.0200      -24728.3918  -24728.9958       0.6040   155.7
0.0205      -24728.3758  -24729.0028       0.6270   161.7
0.0210      -24728.3879  -24729.0024       0.6145   158.5
0.0215      -24728.3870  -24728.9960       0.6089   157.0
0.0220      -24728.3879  -24728.9831       0.5952   153.5
0.0225      -24728.3785  -24728.9655       0.5870   151.4
0.0230      -24728.3769  -24728.9457       0.5687   146.7
0.0235      -24728.3459  -24728.9284       0.5826   150.2
0.0240      -24728.3298  -24728.9099       0.5801   149.6
0.0245      -24728.3245  -24728.8904       0.5659   145.9
0.0250      -24728.3190  -24728.8728       0.5538   142.8
0.0255      -24728.2907  -24728.8564       0.5657   145.9
0.0260      -24728.2690  -24728.8433       0.5743   148.1
0.0265      -24728.2601  -24728.8291       0.5690   146.7
0.0270      -24728.2543  -24728.8158       0.5615   144.8
0.0275      -24728.2648  -24728.8023       0.5375   138.6
0.0280      -24728.2647  -24728.7901       0.5254   135.5
0.0285      -24728.2941  -24728.7784       0.4843   124.9
0.0290      -24728.2761  -24728.7710       0.4949   127.6
0.0295      -24728.2476  -24728.7678       0.5203   134.2
0.0300      -24728.2374  -24728.7695       0.5321   137.2
0.0305      -24728.2202  -24728.7777       0.5575   143.8
0.0310      -24728.2055  -24728.7911       0.5856   151.0
0.0315      -24728.2213  -24728.8064       0.5851   150.9
0.0320      -24728.1899  -24728.8204       0.6304   162.6
0.0325      -24728.1947  -24728.8343       0.6396   164.9
0.0330      -24728.1902  -24728.8461       0.6559   169.1
0.0335      -24728.1977  -24728.8550       0.6573   169.5
0.0340      -24728.2114  -24728.8622       0.6509   167.8
0.0345      -24728.2059  -24728.8669       0.6609   170.4
0.0350      -24728.2402  -24728.8699       0.6297   162.4
0.0355      -24728.2441  -24728.8689       0.6248   161.1
0.0360      -24728.2619  -24728.8684       0.6065   156.4
0.0365      -24728.2781  -24728.8701       0.5921   152.7
0.0370      -24728.2741  -24728.8744       0.6003   154.8
0.0375      -24728.2799  -24728.8801       0.6002   154.8
0.0380      -24728.2952  -24728.8882       0.5930   152.9
0.0385      -24728.2894  -24728.8959       0.6064   156.4
0.0390      -24728.2753  -24728.9004       0.6252   161.2
0.0395      -24728.2700  -24728.9016       0.6316   162.9
0.0400      -24728.2594  -24728.8994       0.6401   165.1
0.0405      -24728.2570  -24728.8953       0.6383   164.6
0.0410      -24728.2736  -24728.8905       0.6169   159.1
0.0415      -24728.2797  -24728.8884       0.6087   157.0
0.0420      -24728.2409  -24728.8900       0.6491   167.4
0.0425      -24728.2272  -24728.8940       0.6668   171.9
0.0430      -24728.2293  -24728.8979       0.6686   172.4
0.0435      -24728.2293  -24728.8989       0.6696   172.7
0.0440      -24728.2294  -24728.8971       0.6677   172.2
0.0445      -24728.2091  -24728.8923       0.6832   176.2
0.0450      -24728.1974  -24728.8838       0.6864   177.0
0.0455      -24728.1687  -24728.8690       0.7003   180.6
0.0460      -24728.1747  -24728.8499       0.6752   174.1
0.0465      -24728.1665  -24728.8323       0.6658   171.7
0.0470      -24728.1753  -24728.8184       0.6431   165.8
0.0475      -24728.1674  -24728.8072       0.6398   165.0
0.0480      -24728.1337  -24728.7955       0.6618   170.7
0.0485      -24728.1122  -24728.7775       0.6653   171.6
0.0490      -24728.0807  -24728.7531       0.6723   173.4
0.0495      -24728.0592  -24728.7295       0.6703   172.8
0.0500      -24728.0493  -24728.7057       0.6564   169.3
0.0505      -24728.0497  -24728.6862       0.6365   164.1
0.0510      -24728.0173  -24728.6760       0.6587   169.9
0.0515      -24728.0102  -24728.6809       0.6707   173.0
0.0520      -24727.9812  -24728.6985       0.7174   185.0
0.0525      -24727.9586  -24728.7181       0.7595   195.9
0.0530      -24727.9682  -24728.7332       0.7651   197.3
0.0535      -24727.9600  -24728.7456       0.7856   202.6
0.0540      -24727.9313  -24728.7546       0.8234   212.3
0.0545      -24727.9445  -24728.7576       0.8131   209.7
0.0550      -24727.9258  -24728.7640       0.8382   216.1
0.0555      -24727.8997  -24728.7750       0.8752   225.7
0.0560      -24727.9104  -24728.7875       0.8770   226.2
0.0565      -24727.8827  -24728.7969       0.9143   235.8
0.0570      -24727.8356  -24728.8026       0.9671   249.4
0.0575      -24727.7990  -24728.8016       1.0026   258.6
0.0580      -24727.7974  -24728.7956       0.9982   257.4
0.0585      -24727.8223  -24728.7869       0.9646   248.7
0.0590      -24727.7820  -24728.7725       0.9905   255.4
0.0595      -24727.7694  -24728.7561       0.9866   254.4
0.0600      -24727.7654  -24728.7410       0.9756   251.6
0.0605      -24727.7641  -24728.7262       0.9621   248.1
0.0610      -24727.7647  -24728.7102       0.9455   243.8
0.0615      -24727.8019  -24728.6914       0.8895   229.4
0.0620      -24727.7935  -24728.6682       0.8747   225.6
0.0625      -24727.8556  -24728.6447       0.7891   203.5
0.0630      -24727.8518  -24728.6240       0.7722   199.1
0.0635      -24727.8397  -24728.6081       0.7684   198.1
0.0640      -24727.8443  -24728.5944       0.7501   193.4
0.0645      -24727.8358  -24728.5879       0.7521   194.0
0.0650      -24727.7831  -24728.5875       0.8044   207.4
0.0655      -24727.8300  -24728.5953       0.7654   197.4
0.0660      -24727.8191  -24728.6144       0.7953   205.1
0.0665      -24727.8261  -24728.6426       0.8166   210.6
0.0670      -24727.8054  -24728.6797       0.8744   225.5
0.0675      -24727.7987  -24728.7184       0.9196   237.2
0.0680      -24727.8207  -24728.7559       0.9352   241.2
0.0685      -24727.7946  -24728.7857       0.9911   255.6
0.0690      -24727.7989  -24728.8054       1.0065   259.5
0.0695      -24727.8047  -24728.8124       1.0077   259.9
0.0700      -24727.7852  -24728.8056       1.0205   263.2
0.0705      -24727.7826  -24728.7908       1.0081   260.0
0.0710      -24727.7956  -24728.7717       0.9761   251.7
0.0715      -24727.7555  -24728.7585       1.0030   258.6
0.0720      -24727.7402  -24728.7559       1.0157   261.9
0.0725      -24727.7318  -24728.7649       1.0331   266.4
0.0730      -24727.7689  -24728.7758       1.0070   259.7
0.0735      -24727.7011  -24728.7830       1.0820   279.0
0.0740      -24727.7164  -24728.7816       1.0653   274.7
0.0745      -24727.7338  -24728.7678       1.0340   266.7
0.0750      -24727.7798  -24728.7395       0.9597   247.5
0.0755      -24727.7455  -24728.7018       0.9563   246.6
0.0760      -24727.7649  -24728.6603       0.8954   230.9
0.0765      -24727.7466  -24728.6216       0.8750   225.6
0.0770      -24727.7803  -24728.5948       0.8144   210.0
0.0775      -24727.7637  -24728.5838       0.8201   211.5
0.0780      -24727.7953  -24728.5864       0.7911   204.0
0.0785      -24727.7723  -24728.5980       0.8257   212.9
0.0790      -24727.7703  -24728.6103       0.8400   216.6
0.0795      -24727.7728  -24728.6163       0.8435   217.5
0.0800      -24727.7540  -24728.6109       0.8569   221.0
0.0805      -24727.7018  -24728.5952       0.8933   230.4
0.0810      -24727.6813  -24728.5686       0.8873   228.8
0.0815      -24727.6493  -24728.5376       0.8883   229.1
0.0820      -24727.6622  -24728.5109       0.8486   218.8
0.0825      -24727.6569  -24728.4935       0.8366   215.7
0.0830      -24727.6599  -24728.4897       0.8298   214.0
0.0835      -24727.6087  -24728.4999       0.8911   229.8
0.0840      -24727.6105  -24728.5137       0.9033   232.9
0.0845      -24727.5773  -24728.5249       0.9476   244.4
0.0850      -24727.5502  -24728.5295       0.9793   252.5
0.0855      -24727.5258  -24728.5198       0.9940   256.3
0.0860      -24727.5168  -24728.4947       0.9779   252.2
0.0865      -24727.4725  -24728.4615       0.9890   255.0
0.0870      -24727.4587  -24728.4314       0.9727   250.9
0.0875      -24727.4472  -24728.4081       0.9609   247.8
0.0880      -24727.3964  -24728.3954       0.9989   257.6
0.0885      -24727.3982  -24728.4013       1.0030   258.7
